#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
100	16	6	94	0	16	0	1617.76	EvolutionaryComputationStrategyPlacement	0.7262670993804932
100	32	10	90	0	32	0	2561.04	EvolutionaryComputationStrategyPlacement	1.3767411708831787
100	48	16	84	0	48	0	3720.96	EvolutionaryComputationStrategyPlacement	2.435822010040283
100	64	22	78	0	64	0	4772.08	EvolutionaryComputationStrategyPlacement	3.7710039615631104
100	80	27	73	0	80	0	5712.839999999999	EvolutionaryComputationStrategyPlacement	4.9645140171051025
100	96	33	67	0	96	0	6954.36	EvolutionaryComputationStrategyPlacement	6.683255910873413
100	112	39	61	0	112	0	8193.160000000003	EvolutionaryComputationStrategyPlacement	8.798344850540161
100	128	45	55	0	128	0	9445.560000000001	EvolutionaryComputationStrategyPlacement	10.78200387954712
100	144	52	48	0	144	0	10874.959999999997	EvolutionaryComputationStrategyPlacement	13.450799226760864
100	160	57	43	0	160	0	12014.28	EvolutionaryComputationStrategyPlacement	15.762042999267578
100	176	64	36	0	176	0	13304.959999999997	EvolutionaryComputationStrategyPlacement	18.743494987487793
100	192	69	31	0	192	0	14457.880000000001	EvolutionaryComputationStrategyPlacement	21.381179094314575
100	208	77	23	0	208	0	15970.44	EvolutionaryComputationStrategyPlacement	24.854117155075073
100	224	82	18	0	224	0	16979.2	EvolutionaryComputationStrategyPlacement	27.923771858215332
100	240	87	13	0	240	0	18040.999999999993	EvolutionaryComputationStrategyPlacement	30.760024070739746
100	256	93	7	0	256	0	19400.84	EvolutionaryComputationStrategyPlacement	34.62516379356384
100	272	97	3	0	272	0	20372.679999999993	EvolutionaryComputationStrategyPlacement	37.90644907951355
100	288	100	0	0	279	9	20847.920000000002	EvolutionaryComputationStrategyPlacement	41.6517448425293
