strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	70.0	0.0	0.0	0.0831057627996	0.000626553422118	OpenOptStrategyPlacement	1467.76	0.0	8.63541595312e-14	64.0	1467.76	64.0	6.0	0.0	0.0	0.0861520767212	16.0	16.0	70.0	0.0	0.0	0.0	6.0	0.0	16.0	0.0	16.0
0	0	0.0	70.0	0.0	0.0	0.110184844335	0.00111004146471	OpenOptStrategyPlacement	2520.04	0.0	0.0	59.0	2520.04	59.0	11.0	0.0	0.0	0.119477033615	32.0	32.0	70.0	0.0	0.0	0.0	11.0	0.0	32.0	0.0	32.0
0	0	0.0	70.0	0.0	0.0	0.222240924835	0.00160541282195	OpenOptStrategyPlacement	3570.96	0.0	6.9083327625e-13	54.0	3570.96	54.0	16.0	0.0	0.0	0.232729911804	48.0	48.0	70.0	0.0	0.0	0.0	16.0	0.0	48.0	0.0	48.0
0	0	0.0	70.0	0.0	0.0	0.384990604719	0.0024735543875	OpenOptStrategyPlacement	4622.08	0.0	3.45416638125e-13	48.0	4622.08	48.0	22.0	0.0	0.0	0.394231081009	64.0	64.0	70.0	0.0	0.0	0.0	22.0	0.0	64.0	0.0	64.0
0	0	0.0	70.0	0.0	0.0	0.52926876545	0.00410533516101	OpenOptStrategyPlacement	5453.84	0.0	1.03624991437e-12	44.0	5453.84	44.0	26.0	0.0	0.0	0.553219079971	80.0	80.0	70.0	0.0	0.0	0.0	26.0	0.0	80.0	0.0	80.0
0	0	0.0	70.0	0.0	0.0	0.734746440252	0.00684831463839	OpenOptStrategyPlacement	6586.36	0.0	1.72708319062e-12	39.0	6586.36	39.0	31.0	0.0	0.0	0.777237892151	96.0	96.0	70.0	0.0	0.0	0.0	31.0	0.0	96.0	0.0	96.0
0	0	0.0	70.0	0.0	0.0	1.02683429718	0.0102607606023	OpenOptStrategyPlacement	7825.16	0.0	3.45416638125e-13	33.0	7825.16	33.0	37.0	0.0	0.0	1.08706784248	112.0	112.0	70.0	0.0	0.0	0.0	37.0	0.0	112.0	0.0	112.0
0	0	0.0	70.0	0.0	0.0	1.28150439262	0.0125556373924	OpenOptStrategyPlacement	9077.56	0.0	0.0	27.0	9077.56	27.0	43.0	0.0	0.0	1.33739495277	128.0	128.0	70.0	0.0	0.0	0.0	43.0	0.0	128.0	0.0	128.0
0	0	0.0	70.0	0.0	0.0	1.61319839954	0.0160208600055	OpenOptStrategyPlacement	10397.96	0.0	0.0	21.0	10397.96	21.0	49.0	0.0	0.0	1.67197394371	144.0	144.0	70.0	0.0	0.0	0.0	49.0	0.0	144.0	0.0	144.0
0	0	0.0	70.0	0.0	0.0	1.90574680964	0.0147436717042	OpenOptStrategyPlacement	11210.28	0.0	1.3816665525e-12	19.0	11210.28	19.0	51.0	0.0	0.0	1.95330691338	160.0	160.0	70.0	0.0	0.0	0.0	51.0	0.0	160.0	0.0	160.0
0	0	0.0	70.0	0.0	0.0	2.31993764242	0.014215509128	OpenOptStrategyPlacement	12173.96	0.0	2.07249982875e-12	15.0	12173.96	15.0	55.0	0.0	0.0	2.39298391342	176.0	176.0	70.0	0.0	0.0	0.0	55.0	0.0	176.0	0.0	176.0
0	0	0.0	70.0	0.0	0.0	2.87319085598	0.0165279215294	OpenOptStrategyPlacement	13653.88	0.0	2.07249982875e-12	7.0	13653.88	7.0	63.0	0.0	0.0	2.97444796562	192.0	192.0	70.0	0.0	0.0	0.0	63.0	0.0	192.0	0.0	192.0
0	0	0.0	70.0	0.0	0.0	3.41163425446	0.0266794449689	OpenOptStrategyPlacement	14512.44	0.0	6.9083327625e-13	5.0	14512.44	5.0	65.0	0.0	0.0	3.55642199516	208.0	208.0	70.0	0.0	0.0	0.0	65.0	0.0	208.0	0.0	208.0
0	0	0.0	70.0	0.0	0.0	3.81408054829	0.0229665931358	OpenOptStrategyPlacement	15412.2	0.0	3.45416638125e-12	1.0	15412.2	1.0	69.0	0.0	0.0	3.912088871	224.0	224.0	70.0	0.0	0.0	0.0	69.0	0.0	224.0	0.0	224.0
0	0	0.0	70.0	0.0	0.0	4.47351836363	0.0205428599535	OpenOptStrategyPlacement	15740.16	0.0	2.763333105e-12	0.0	15740.16	0.0	70.0	0.0	0.0	4.57879805565	234.0	234.0	70.0	6.0	0.0	6.0	70.0	0.0	240.0	0.0	240.0
0	0	0.0	70.0	0.0	0.0	5.06907413006	0.0180745298796	OpenOptStrategyPlacement	15938.72	0.0	4.1449996575e-12	0.0	15938.72	0.0	70.0	0.0	0.0	5.1766037941	240.0	240.0	70.0	16.0	0.0	16.0	70.0	0.0	256.0	0.0	256.0
0	0	0.0	70.0	0.0	0.0	5.583081158	0.0180086177102	OpenOptStrategyPlacement	15967.28	0.0	2.763333105e-12	0.0	15967.28	0.0	70.0	0.0	0.0	5.65159893036	247.0	247.0	70.0	25.0	0.0	25.0	70.0	0.0	272.0	0.0	272.0
0	0	0.0	70.0	0.0	0.0	6.04360174338	0.0149836786723	OpenOptStrategyPlacement	16008.08	0.0	3.45416638125e-12	0.0	16008.08	0.0	70.0	0.0	0.0	6.13817501068	255.0	255.0	70.0	33.0	0.0	33.0	70.0	0.0	288.0	0.0	288.0
