strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	90.0	0.0	0.0	0.0831223169963	0.000572562531291	OpenOptStrategyPlacement	1567.76	0.0	0.0	84.0	1567.76	84.0	6.0	0.0	0.0	0.0805289745331	16.0	16.0	90.0	0.0	0.0	0.0	6.0	0.0	16.0	0.0	16.0
0	0	0.0	90.0	0.0	0.0	0.110463817914	0.000788327281645	OpenOptStrategyPlacement	2620.04	0.0	1.72708319062e-13	79.0	2620.04	79.0	11.0	0.0	0.0	0.106840848923	32.0	32.0	90.0	0.0	0.0	0.0	11.0	0.0	32.0	0.0	32.0
0	0	0.0	90.0	0.0	0.0	0.224750685692	0.00261479809108	OpenOptStrategyPlacement	3670.96	0.0	8.63541595312e-13	74.0	3670.96	74.0	16.0	0.0	0.0	0.216391086578	48.0	48.0	90.0	0.0	0.0	0.0	16.0	0.0	48.0	0.0	48.0
0	0	0.0	90.0	0.0	0.0	0.384360655149	0.00227596349561	OpenOptStrategyPlacement	4722.08	0.0	0.0	68.0	4722.08	68.0	22.0	0.0	0.0	0.370075941086	64.0	64.0	90.0	0.0	0.0	0.0	22.0	0.0	64.0	0.0	64.0
0	0	0.0	90.0	0.0	0.0	0.528398005168	0.00328630858969	OpenOptStrategyPlacement	5553.84	0.0	1.03624991437e-12	64.0	5553.84	64.0	26.0	0.0	0.0	0.51235294342	80.0	80.0	90.0	0.0	0.0	0.0	26.0	0.0	80.0	0.0	80.0
0	0	0.0	90.0	0.0	0.0	0.727158459028	0.00597820434237	OpenOptStrategyPlacement	6686.36	0.0	1.72708319062e-12	59.0	6686.36	59.0	31.0	0.0	0.0	0.705945014954	96.0	96.0	90.0	0.0	0.0	0.0	31.0	0.0	96.0	0.0	96.0
0	0	0.0	90.0	0.0	0.0	1.01812446117	0.00755949219183	OpenOptStrategyPlacement	7925.16	0.0	3.45416638125e-13	53.0	7925.16	53.0	37.0	0.0	0.0	0.995902061462	112.0	112.0	90.0	0.0	0.0	0.0	37.0	0.0	112.0	0.0	112.0
0	0	0.0	90.0	0.0	0.0	1.27059944471	0.0107028696659	OpenOptStrategyPlacement	9177.56	0.0	0.0	47.0	9177.56	47.0	43.0	0.0	0.0	1.22777819633	128.0	128.0	90.0	0.0	0.0	0.0	43.0	0.0	128.0	0.0	128.0
0	0	0.0	90.0	0.0	0.0	1.59929260413	0.013633071784	OpenOptStrategyPlacement	10497.96	0.0	6.9083327625e-13	41.0	10497.96	41.0	49.0	0.0	0.0	1.54440116882	144.0	144.0	90.0	0.0	0.0	0.0	49.0	0.0	144.0	0.0	144.0
0	0	0.0	90.0	0.0	0.0	1.88430043856	0.0115738963318	OpenOptStrategyPlacement	11310.28	0.0	1.3816665525e-12	39.0	11310.28	39.0	51.0	0.0	0.0	1.84093785286	160.0	160.0	90.0	0.0	0.0	0.0	51.0	0.0	160.0	0.0	160.0
0	0	0.0	90.0	0.0	0.0	2.29793457985	0.0158334388682	OpenOptStrategyPlacement	12273.96	0.0	2.07249982875e-12	35.0	12273.96	35.0	55.0	0.0	0.0	2.19695496559	176.0	176.0	90.0	0.0	0.0	0.0	55.0	0.0	176.0	0.0	176.0
0	0	0.0	90.0	0.0	0.0	2.81622418563	0.0221608380088	OpenOptStrategyPlacement	13753.88	0.0	2.07249982875e-12	27.0	13753.88	27.0	63.0	0.0	0.0	2.68175411224	192.0	192.0	90.0	0.0	0.0	0.0	63.0	0.0	192.0	0.0	192.0
0	0	0.0	90.0	0.0	0.0	3.34868737062	0.0300016751951	OpenOptStrategyPlacement	14612.44	0.0	6.9083327625e-13	25.0	14612.44	25.0	65.0	0.0	0.0	3.21367478371	208.0	208.0	90.0	0.0	0.0	0.0	65.0	0.0	208.0	0.0	208.0
0	0	0.0	90.0	0.0	0.0	3.75423936844	0.0271473750893	OpenOptStrategyPlacement	15512.2	0.0	3.45416638125e-12	21.0	15512.2	21.0	69.0	0.0	0.0	3.55829310417	224.0	224.0	90.0	0.0	0.0	0.0	69.0	0.0	224.0	0.0	224.0
0	0	0.0	90.0	0.0	0.0	4.44092986584	0.0157334572389	OpenOptStrategyPlacement	16465.0	0.0	1.3816665525e-12	17.0	16465.0	17.0	73.0	0.0	0.0	4.38218092918	240.0	240.0	90.0	0.0	0.0	0.0	73.0	0.0	240.0	0.0	240.0
0	0	0.0	90.0	0.0	0.0	5.11307210922	0.020825060753	OpenOptStrategyPlacement	18042.84	0.0	4.1449996575e-12	9.0	18042.84	9.0	81.0	0.0	0.0	4.9683201313	256.0	256.0	90.0	0.0	0.0	0.0	81.0	0.0	256.0	0.0	256.0
0	0	0.0	90.0	0.0	0.0	5.63579047521	0.0167111878762	OpenOptStrategyPlacement	18796.68	0.0	0.0	7.0	18796.68	7.0	83.0	0.0	0.0	5.54267191887	272.0	272.0	90.0	0.0	0.0	0.0	83.0	0.0	272.0	0.0	272.0
0	0	0.0	90.0	0.0	0.0	6.22454720338	0.0160384716061	OpenOptStrategyPlacement	19861.2	0.0	0.0	2.0	19861.2	2.0	88.0	0.0	0.0	6.11478185654	288.0	288.0	90.0	0.0	0.0	0.0	88.0	0.0	288.0	0.0	288.0
