strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	100.0	0.0	0.0	0.0830559333165	0.000558094213329	OpenOptStrategyPlacement	1617.76	0.0	0.0	94.0	1617.76	94.0	6.0	0.0	0.0	0.0830559333165	16.0	16.0	100.0	0.0	0.0	0.0	6.0	0.0	16.0	0.0	16.0
0	0	0.0	100.0	0.0	0.0	0.110467012723	0.000765095108366	OpenOptStrategyPlacement	2670.04	0.0	1.72708319062e-13	89.0	2670.04	89.0	11.0	0.0	0.0	0.110467012723	32.0	32.0	100.0	0.0	0.0	0.0	11.0	0.0	32.0	0.0	32.0
0	0	0.0	100.0	0.0	0.0	0.223188328743	0.00161334671707	OpenOptStrategyPlacement	3720.96	0.0	8.63541595312e-13	84.0	3720.96	84.0	16.0	0.0	0.0	0.223188328743	48.0	48.0	100.0	0.0	0.0	0.0	16.0	0.0	48.0	0.0	48.0
0	0	0.0	100.0	0.0	0.0	0.382067028681	0.00256074307831	OpenOptStrategyPlacement	4772.08	0.0	0.0	78.0	4772.08	78.0	22.0	0.0	0.0	0.382067028681	64.0	64.0	100.0	0.0	0.0	0.0	22.0	0.0	64.0	0.0	64.0
0	0	0.0	100.0	0.0	0.0	0.525536886851	0.00353286610275	OpenOptStrategyPlacement	5603.84	0.0	1.03624991437e-12	74.0	5603.84	74.0	26.0	0.0	0.0	0.525536886851	80.0	80.0	100.0	0.0	0.0	0.0	26.0	0.0	80.0	0.0	80.0
0	0	0.0	100.0	0.0	0.0	0.723448713621	0.00513516338488	OpenOptStrategyPlacement	6736.36	0.0	1.72708319062e-12	69.0	6736.36	69.0	31.0	0.0	0.0	0.723448713621	96.0	96.0	100.0	0.0	0.0	0.0	31.0	0.0	96.0	0.0	96.0
0	0	0.0	100.0	0.0	0.0	1.01111193498	0.00682625439432	OpenOptStrategyPlacement	7975.16	0.0	3.45416638125e-13	63.0	7975.16	63.0	37.0	0.0	0.0	1.01111193498	112.0	112.0	100.0	0.0	0.0	0.0	37.0	0.0	112.0	0.0	112.0
0	0	0.0	100.0	0.0	0.0	1.26146734556	0.00961641694314	OpenOptStrategyPlacement	9227.56	0.0	0.0	57.0	9227.56	57.0	43.0	0.0	0.0	1.26146734556	128.0	128.0	100.0	0.0	0.0	0.0	43.0	0.0	128.0	0.0	128.0
0	0	0.0	100.0	0.0	0.0	1.59085294406	0.011265198465	OpenOptStrategyPlacement	10547.96	0.0	6.9083327625e-13	51.0	10547.96	51.0	49.0	0.0	0.0	1.59085294406	144.0	144.0	100.0	0.0	0.0	0.0	49.0	0.0	144.0	0.0	144.0
0	0	0.0	100.0	0.0	0.0	1.8752797842	0.0152498579991	OpenOptStrategyPlacement	11360.28	0.0	1.3816665525e-12	49.0	11360.28	49.0	51.0	0.0	0.0	1.8752797842	160.0	160.0	100.0	0.0	0.0	0.0	51.0	0.0	160.0	0.0	160.0
0	0	0.0	100.0	0.0	0.0	2.28280629317	0.0141868914378	OpenOptStrategyPlacement	12323.96	0.0	2.07249982875e-12	45.0	12323.96	45.0	55.0	0.0	0.0	2.28280629317	176.0	176.0	100.0	0.0	0.0	0.0	55.0	0.0	176.0	0.0	176.0
0	0	0.0	100.0	0.0	0.0	2.80981361071	0.0232496610154	OpenOptStrategyPlacement	13803.88	0.0	2.07249982875e-12	37.0	13803.88	37.0	63.0	0.0	0.0	2.80981361071	192.0	192.0	100.0	0.0	0.0	0.0	63.0	0.0	192.0	0.0	192.0
0	0	0.0	100.0	0.0	0.0	3.33035302957	0.0338474457224	OpenOptStrategyPlacement	14662.44	0.0	6.9083327625e-13	35.0	14662.44	35.0	65.0	0.0	0.0	3.33035302957	208.0	208.0	100.0	0.0	0.0	0.0	65.0	0.0	208.0	0.0	208.0
0	0	0.0	100.0	0.0	0.0	3.72092268467	0.03060946806	OpenOptStrategyPlacement	15562.2	0.0	3.45416638125e-12	31.0	15562.2	31.0	69.0	0.0	0.0	3.72092268467	224.0	224.0	100.0	0.0	0.0	0.0	69.0	0.0	224.0	0.0	224.0
0	0	0.0	100.0	0.0	0.0	4.42207004229	0.0231966092683	OpenOptStrategyPlacement	16515.0	0.0	1.3816665525e-12	27.0	16515.0	27.0	73.0	0.0	0.0	4.42207004229	240.0	240.0	100.0	0.0	0.0	0.0	73.0	0.0	240.0	0.0	240.0
0	0	0.0	100.0	0.0	0.0	5.11333703995	0.0227802237974	OpenOptStrategyPlacement	18092.84	0.0	4.1449996575e-12	19.0	18092.84	19.0	81.0	0.0	0.0	5.11333703995	256.0	256.0	100.0	0.0	0.0	0.0	81.0	0.0	256.0	0.0	256.0
0	0	0.0	100.0	0.0	0.0	5.63430728912	0.0181642950966	OpenOptStrategyPlacement	18846.68	0.0	0.0	17.0	18846.68	17.0	83.0	0.0	0.0	5.63430728912	272.0	272.0	100.0	0.0	0.0	0.0	83.0	0.0	272.0	0.0	272.0
0	0	0.0	100.0	0.0	0.0	6.22862050533	0.0229874307832	OpenOptStrategyPlacement	19911.2	0.0	0.0	12.0	19911.2	12.0	88.0	0.0	0.0	6.22862050533	288.0	288.0	100.0	0.0	0.0	0.0	88.0	0.0	288.0	0.0	288.0
