#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
30	16	10	0	20	16	0	4514.8	EnergyUnawareStrategyPlacement	0.0031888484954833984
30	32	23	0	7	32	0	4703.839999999998	EnergyUnawareStrategyPlacement	0.00943899154663086
30	48	30	0	0	44	4	4963.6	EnergyUnawareStrategyPlacement	0.018698930740356445
30	64	30	0	0	45	19	5113.199999999999	EnergyUnawareStrategyPlacement	0.029510974884033203
30	80	30	0	0	44	36	5132.240000000001	EnergyUnawareStrategyPlacement	0.04031491279602051
30	96	30	0	0	47	49	4981.280000000001	EnergyUnawareStrategyPlacement	0.05007290840148926
30	112	30	0	0	46	66	5177.120000000002	EnergyUnawareStrategyPlacement	0.05994701385498047
30	128	30	0	0	44	84	5265.5199999999995	EnergyUnawareStrategyPlacement	0.07011604309082031
30	144	30	0	0	50	94	5449.120000000001	EnergyUnawareStrategyPlacement	0.0792698860168457
30	160	30	0	0	50	110	5582.4000000000015	EnergyUnawareStrategyPlacement	0.0909419059753418
30	176	30	0	0	47	129	5470.88	EnergyUnawareStrategyPlacement	0.10128402709960938
30	192	30	0	0	44	148	5396.08	EnergyUnawareStrategyPlacement	0.11023497581481934
30	208	30	0	0	53	155	5772.8	EnergyUnawareStrategyPlacement	0.11910390853881836
30	224	30	0	0	51	173	6042.08	EnergyUnawareStrategyPlacement	0.12990403175354004
30	240	30	0	0	51	189	5935.999999999999	EnergyUnawareStrategyPlacement	0.14544987678527832
30	256	30	0	0	53	203	5986.32	EnergyUnawareStrategyPlacement	0.15108680725097656
30	272	30	0	0	50	222	5744.240000000001	EnergyUnawareStrategyPlacement	0.16487908363342285
30	288	30	0	0	55	233	5896.5599999999995	EnergyUnawareStrategyPlacement	0.17442798614501953
