strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.27879995164	30.0	0.0	19.1666666667	0.00355769793193	0.000251705806383	EnergyUnawareStrategyPlacement	4497.8	0.0	5.68751901345	0.0	4497.8	0.0	10.8333333333	19.1666666667	0.0	0.00355769793193	16.0	16.0	30.0	0.0	0.0	0.0	10.8333333333	0.0	16.0	0.27879995164	16.0
0	0	0.375759335359	30.0	0.0	7.56666666667	0.00979164441427	0.000261825530295	EnergyUnawareStrategyPlacement	4715.4	0.0	7.66549044133	0.0	4715.4	0.0	22.4333333333	7.56666666667	0.0	0.00979164441427	32.0	32.0	30.0	0.0	0.0	0.0	22.4333333333	0.0	32.0	0.375759335359	32.0
0	0	0.0681743214044	30.0	0.0	0.0333333333333	0.0192480246226	0.000291535834597	EnergyUnawareStrategyPlacement	4981.552	0.0	30.6484433916	0.0	4981.552	0.0	29.9666666667	0.0333333333333	0.7161381565	0.0192480246226	44.3333333333	44.3333333333	30.0	3.66666666667	0.7161381565	3.66666666667	29.9666666667	0.0	48.0	0.0681743214044	48.0
0	0	0.0	30.0	0.0	0.0	0.0296161413193	0.000310606905142	EnergyUnawareStrategyPlacement	5099.6	0.0	37.4625103818	0.0	5099.6	0.0	30.0	0.0	0.753754546182	0.0296161413193	45.1666666667	45.1666666667	30.0	18.8333333333	0.753754546182	18.8333333333	30.0	0.0	64.0	0.0	64.0
0	0	0.0	30.0	0.0	0.0	0.0398460388184	0.000803517653198	EnergyUnawareStrategyPlacement	5088.992	0.0	37.2516926403	0.0	5088.992	0.0	30.0	0.0	0.790189580778	0.0398460388184	46.0666666667	46.0666666667	30.0	33.9333333333	0.790189580778	33.9333333333	30.0	0.0	80.0	0.0	80.0
0	0	0.0	30.0	0.0	0.0	0.0498792886734	0.000591821763026	EnergyUnawareStrategyPlacement	5172.99466667	0.0	52.653597722	0.0	5172.99466667	0.0	30.0	0.0	1.04884294724	0.0498792886734	46.8	46.8	30.0	49.2	1.04884294724	49.2	30.0	0.0	96.0	0.0	96.0
0	0	0.0	30.0	0.0	0.0	0.0596992731094	0.000525332585773	EnergyUnawareStrategyPlacement	5242.58133333	0.0	45.038653631	0.0	5242.58133333	0.0	30.0	0.0	0.834097304494	0.0596992731094	47.9	47.9	30.0	64.1	0.834097304494	64.1	30.0	0.0	112.0	0.0	112.0
0	0	0.0	30.0	0.0	0.0	0.0696684598923	0.000556025140878	EnergyUnawareStrategyPlacement	5337.91733333	0.0	37.1286139167	0.0	5337.91733333	0.0	30.0	0.0	0.765882890169	0.0696684598923	48.0	48.0	30.0	80.0	0.765882890169	80.0	30.0	0.0	128.0	0.0	128.0
0	0	0.0	30.0	0.0	0.0	0.0797086795171	0.000765848249827	EnergyUnawareStrategyPlacement	5427.17866667	0.0	54.0864645872	0.0	5427.17866667	0.0	30.0	0.0	0.973147832742	0.0797086795171	48.6333333333	48.6333333333	30.0	95.3666666667	0.973147832742	95.3666666667	30.0	0.0	144.0	0.0	144.0
0	0	0.0	30.0	0.0	0.0	0.0897172371546	0.00080037605846	EnergyUnawareStrategyPlacement	5490.64533333	0.0	46.6891080529	0.0	5490.64533333	0.0	30.0	0.0	0.966206132544	0.0897172371546	48.1666666667	48.1666666667	30.0	111.833333333	0.966206132544	111.833333333	30.0	0.0	160.0	0.0	160.0
