strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	20.0	0.0	0.0	1.16458389759	0.0245117056395	EvolutionaryComputationStrategyPlacement	1873.16666667	0.207633758186	22.6320796423	10.0333333333	1767.8	11.0	9.0	0.0	0.0	1.01619791985	16.0	16.0	20.0	0.0	0.0	0.0	9.96666666667	0.0	16.0	0.207633758186	16.0
0	0	0.0	20.0	0.0	0.0	2.63632059892	0.0308319868626	EvolutionaryComputationStrategyPlacement	3390.296	0.194481289886	20.9999008844	0.266666666667	3203.04	2.0	18.0	0.0	0.0947361733231	2.43823981285	31.9333333333	32.0	20.0	0.0	0.0947361733231	0.0666666666667	19.7333333333	0.0	32.0	0.194481289886	32.0
0	0	0.0	20.0	0.0	0.0	3.25879367193	0.0217929508078	EvolutionaryComputationStrategyPlacement	3652.92	0.0	18.0596521977	0.0	3521.68	0.0	20.0	0.0	0.404316914831	3.14833593369	39.0	41.0	20.0	7.0	0.404316914831	9.0	20.0	0.0	48.0	0.0	48.0
0	0	0.0	20.0	0.0	0.0	3.96267135938	0.0253103080086	EvolutionaryComputationStrategyPlacement	3904.74666667	0.0	21.069855093	0.0	3782.8	0.0	20.0	0.0	0.317502498727	3.85327196121	42.9666666667	44.0	20.0	20.0	0.317502498727	21.0333333333	20.0	0.0	64.0	0.0	64.0
0	0	0.0	20.0	0.0	0.0	4.6612781922	0.025326586825	EvolutionaryComputationStrategyPlacement	3832.576	0.0	27.5044161	0.0	3698.48	0.0	20.0	0.0	0.341810649041	4.53515195847	43.3	45.0	20.0	35.0	0.341810649041	36.7	20.0	0.0	80.0	0.0	80.0
0	0	0.0	20.0	0.0	0.0	5.39976519744	0.0297039731562	EvolutionaryComputationStrategyPlacement	3840.464	0.0	31.1763938069	0.0	3665.84	0.0	20.0	0.0	0.326462007918	5.27835988998	42.1666666667	44.0	20.0	52.0	0.326462007918	53.8333333333	20.0	0.0	96.0	0.0	96.0
0	0	0.0	20.0	0.0	0.0	6.10039540132	0.0304866146552	EvolutionaryComputationStrategyPlacement	3872.74133333	0.0	37.5889949772	0.0	3687.6	0.0	20.0	0.0	0.388962579771	5.97754383087	41.4666666667	44.0	20.0	68.0	0.388962579771	70.5333333333	20.0	0.0	112.0	0.0	112.0
0	0	0.0	20.0	0.0	0.0	6.80851157506	0.0380362814924	EvolutionaryComputationStrategyPlacement	3919.97866667	0.0	34.7914002453	0.0	3744.72	0.0	20.0	0.0	0.372116301689	6.66232705116	41.2	44.0	20.0	84.0	0.372116301689	86.8	20.0	0.0	128.0	0.0	128.0
0	0	0.0	20.0	0.0	0.0	7.48327691555	0.0353476955604	EvolutionaryComputationStrategyPlacement	4015.58666667	0.0	44.5000172213	0.0	3826.32	0.0	20.0	0.0	0.397117818415	7.35355782509	41.8	44.0	20.0	100.0	0.397117818415	102.2	20.0	0.0	144.0	0.0	144.0
0	0	0.0	20.0	0.0	0.0	8.18146514893	0.0416186799973	EvolutionaryComputationStrategyPlacement	4077.33066667	0.0	28.4341341349	0.0	3965.04	0.0	20.0	0.0	0.374691531736	7.9644100666	41.6	43.0	20.0	117.0	0.374691531736	118.4	20.0	0.0	160.0	0.0	160.0
0	0	0.0	20.0	0.0	0.0	8.85500419935	0.0449821338353	EvolutionaryComputationStrategyPlacement	4127.46933333	0.0	34.0655635926	0.0	3895.68	0.0	20.0	0.0	0.406096748445	8.6443169117	42.3	45.0	20.0	131.0	0.406096748445	133.7	20.0	0.0	176.0	0.0	176.0
0	0	0.0	20.0	0.0	0.0	9.50181308587	0.0432291933789	EvolutionaryComputationStrategyPlacement	4147.824	0.0	39.8353766739	0.0	3914.72	0.0	20.0	0.0	0.460818349323	9.31252193451	43.1666666667	45.0	20.0	147.0	0.460818349323	148.833333333	20.0	0.0	192.0	0.0	192.0
0	0	0.0	20.0	0.0	0.0	10.1722489278	0.0445105474061	EvolutionaryComputationStrategyPlacement	4204.08266667	0.0	46.3731823432	0.0	3845.36	0.0	20.0	0.0	0.448659269083	9.97970986366	42.9333333333	46.0	20.0	162.0	0.448659269083	165.066666667	20.0	0.0	208.0	0.0	208.0
0	0	0.0	20.0	0.0	0.0	10.8547635953	0.0439679209586	EvolutionaryComputationStrategyPlacement	4200.864	0.0	35.8126050242	0.0	3992.24	0.0	20.0	0.0	0.549493138812	10.6251649857	43.8	47.0	20.0	177.0	0.549493138812	180.2	20.0	0.0	224.0	0.0	224.0
0	0	0.0	20.0	0.0	0.0	11.5164772987	0.0490851930989	EvolutionaryComputationStrategyPlacement	4239.26133333	0.0	44.3118496734	0.0	4001.76	0.0	20.0	0.0	0.67036422497	11.3385560513	44.5333333333	49.0	20.0	191.0	0.67036422497	195.466666667	20.0	0.0	240.0	0.0	240.0
0	0	0.0	20.0	0.0	0.0	12.1901340882	0.053831824484	EvolutionaryComputationStrategyPlacement	4210.33866667	0.0	33.9525494226	0.0	4026.24	0.0	20.0	0.0	0.561038373091	12.0189568996	44.5333333333	47.0	20.0	209.0	0.561038373091	211.466666667	20.0	0.0	256.0	0.0	256.0
0	0	0.0	20.0	0.0	0.0	12.850658385	0.048429286513	EvolutionaryComputationStrategyPlacement	4186.81066667	0.0	41.0028592748	0.0	3892.96	0.0	20.0	0.0	0.73643937707	12.6050000191	45.2	50.0	20.0	222.0	0.73643937707	226.8	20.0	0.0	272.0	0.0	272.0
0	0	0.0	20.0	0.0	0.0	13.5322188139	0.0509059024443	EvolutionaryComputationStrategyPlacement	4196.14933333	0.0	39.4577232436	0.0	3981.36	0.0	20.0	0.0	0.531705454064	13.3060481548	45.2	48.0	20.0	240.0	0.531705454064	242.8	20.0	0.0	288.0	0.0	288.0
