#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
60	16	10	50	0	16	0	2076.7999999999997	EvolutionaryComputationStrategyPlacement	1.1733739376068115
60	32	20	40	0	32	0	3621.0399999999995	EvolutionaryComputationStrategyPlacement	2.6547720432281494
60	48	27	33	0	48	0	4929.4	EvolutionaryComputationStrategyPlacement	3.933560848236084
60	64	38	22	0	64	0	6822.0	EvolutionaryComputationStrategyPlacement	6.088593006134033
60	80	47	13	0	80	0	8308.92	EvolutionaryComputationStrategyPlacement	8.444852113723755
60	96	53	7	0	96	0	9672.840000000002	EvolutionaryComputationStrategyPlacement	10.694941997528076
60	112	60	0	0	112	0	11110.400000000001	EvolutionaryComputationStrategyPlacement	12.82300090789795
60	128	60	0	0	119	9	11632.640000000001	EvolutionaryComputationStrategyPlacement	14.811350107192993
60	144	60	0	0	124	20	12020.240000000002	EvolutionaryComputationStrategyPlacement	16.983836889266968
60	160	60	0	0	126	34	12212.000000000002	EvolutionaryComputationStrategyPlacement	19.270827054977417
60	176	60	0	0	122	54	12348.0	EvolutionaryComputationStrategyPlacement	21.223650217056274
60	192	60	0	0	124	68	12269.12	EvolutionaryComputationStrategyPlacement	23.25011706352234
60	208	60	0	0	126	82	12562.88	EvolutionaryComputationStrategyPlacement	25.19828701019287
60	224	60	0	0	127	97	12844.4	EvolutionaryComputationStrategyPlacement	26.872519969940186
60	240	60	0	0	124	116	12486.72	EvolutionaryComputationStrategyPlacement	29.267266988754272
60	256	60	0	0	129	127	12664.880000000003	EvolutionaryComputationStrategyPlacement	30.78483295440674
60	272	60	0	0	129	143	12573.760000000002	EvolutionaryComputationStrategyPlacement	32.89500284194946
60	288	60	0	0	128	160	12645.84	EvolutionaryComputationStrategyPlacement	35.18913698196411
