strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	90.0	0.0	0.0	0.117944542567	0.00132846840162	OpenOptStrategyPlacement	2226.8	0.0	3.45416638125e-13	80.0	2226.8	80.0	10.0	0.0	0.0	0.124046802521	16.0	16.0	90.0	0.0	0.0	0.0	10.0	0.0	16.0	0.0	16.0
0	0	0.0	90.0	0.0	0.0	0.205486130714	0.00129307350098	OpenOptStrategyPlacement	3771.04	0.0	6.9083327625e-13	70.0	3771.04	70.0	20.0	0.0	0.0	0.212861061096	32.0	32.0	90.0	0.0	0.0	0.0	20.0	0.0	32.0	0.0	32.0
0	0	0.0	90.0	0.0	0.0	0.401016569138	0.0026761587465	OpenOptStrategyPlacement	5406.4	0.0	1.03624991437e-12	60.0	5406.4	60.0	30.0	0.0	0.0	0.418199062347	48.0	48.0	90.0	0.0	0.0	0.0	30.0	0.0	48.0	0.0	48.0
0	0	0.0	90.0	0.0	0.0	0.651805583636	0.0050542305437	OpenOptStrategyPlacement	7190.0	0.0	3.45416638125e-13	50.0	7190.0	50.0	40.0	0.0	0.0	0.68806886673	64.0	64.0	90.0	0.0	0.0	0.0	40.0	0.0	64.0	0.0	64.0
0	0	0.0	90.0	0.0	0.0	1.02358163993	0.00918398435157	OpenOptStrategyPlacement	8894.92	0.0	2.07249982875e-12	39.0	8894.92	39.0	51.0	0.0	0.0	1.0800909996	80.0	80.0	90.0	0.0	0.0	0.0	51.0	0.0	80.0	0.0	80.0
0	0	0.0	90.0	0.0	0.0	1.3337189436	0.0136372685682	OpenOptStrategyPlacement	10258.84	0.0	0.0	33.0	10258.84	33.0	57.0	0.0	0.0	1.40530896187	96.0	96.0	90.0	0.0	0.0	0.0	57.0	0.0	96.0	0.0	96.0
0	0	0.0	90.0	0.0	0.0	1.60114239852	0.016476127499	OpenOptStrategyPlacement	11042.4	0.0	6.9083327625e-13	32.0	11042.4	32.0	58.0	0.0	0.0	1.69691896439	112.0	112.0	90.0	0.0	0.0	0.0	58.0	0.0	112.0	0.0	112.0
0	0	0.0	90.0	0.0	0.0	2.12301804225	0.0208958633215	OpenOptStrategyPlacement	12896.52	0.0	1.3816665525e-12	23.0	12896.52	23.0	67.0	0.0	0.0	2.19649505615	128.0	128.0	90.0	0.0	0.0	0.0	67.0	0.0	128.0	0.0	128.0
0	0	0.0	90.0	0.0	0.0	2.59434663455	0.019879652093	OpenOptStrategyPlacement	14474.16	0.0	2.763333105e-12	16.0	14474.16	16.0	74.0	0.0	0.0	2.67987298965	144.0	144.0	90.0	0.0	0.0	0.0	74.0	0.0	144.0	0.0	144.0
0	0	0.0	90.0	0.0	0.0	3.23606720765	0.023007959108	OpenOptStrategyPlacement	16399.0	0.0	1.3816665525e-12	7.0	16399.0	7.0	83.0	0.0	0.0	3.35807991028	160.0	160.0	90.0	0.0	0.0	0.0	83.0	0.0	160.0	0.0	160.0
0	0	0.0	90.0	0.0	0.0	3.88674446742	0.0327492650909	OpenOptStrategyPlacement	18188.8	0.0	0.0	0.0	18188.8	0.0	90.0	0.0	0.0	4.02548003197	175.0	175.0	90.0	1.0	0.0	1.0	90.0	0.0	176.0	0.0	176.0
0	0	0.0	90.0	0.0	0.0	4.58540563583	0.0240874310928	OpenOptStrategyPlacement	18651.2	0.0	1.3816665525e-12	0.0	18651.2	0.0	90.0	0.0	0.0	4.68196487427	183.0	183.0	90.0	9.0	0.0	9.0	90.0	0.0	192.0	0.0	192.0
0	0	0.0	90.0	0.0	0.0	5.28602646987	0.0272823153322	OpenOptStrategyPlacement	19536.56	0.0	1.3816665525e-12	0.0	19536.56	0.0	90.0	0.0	0.0	5.41230177879	198.0	198.0	90.0	10.0	0.0	10.0	90.0	0.0	208.0	0.0	208.0
0	0	0.0	90.0	0.0	0.0	6.02949420611	0.0297130821795	OpenOptStrategyPlacement	19843.92	0.0	1.3816665525e-12	0.0	19843.92	0.0	90.0	0.0	0.0	6.17401981354	203.0	203.0	90.0	21.0	0.0	21.0	90.0	0.0	224.0	0.0	224.0
0	0	0.0	90.0	0.0	0.0	7.03230421543	0.0315917302891	OpenOptStrategyPlacement	20049.28	0.0	1.3816665525e-12	0.0	20049.28	0.0	90.0	0.0	0.0	7.21065092087	210.0	210.0	90.0	30.0	0.0	30.0	90.0	0.0	240.0	0.0	240.0
0	0	0.0	90.0	0.0	0.0	7.47324791749	0.0336774037058	OpenOptStrategyPlacement	19865.68	0.0	1.3816665525e-12	0.0	19865.68	0.0	90.0	0.0	0.0	7.6429810524	215.0	215.0	90.0	41.0	0.0	41.0	90.0	0.0	256.0	0.0	256.0
0	0	0.0	90.0	0.0	0.0	8.19375596046	0.0391630048905	OpenOptStrategyPlacement	19984.0	0.0	0.0	0.0	19984.0	0.0	90.0	0.0	0.0	8.41979789734	219.0	219.0	90.0	53.0	0.0	53.0	90.0	0.0	272.0	0.0	272.0
0	0	0.0	90.0	0.0	0.0	8.98780468305	0.0389279090861	OpenOptStrategyPlacement	20031.6	0.0	5.52666621e-12	0.0	20031.6	0.0	90.0	0.0	0.0	9.2005469799	221.0	221.0	90.0	67.0	0.0	67.0	90.0	0.0	288.0	0.0	288.0
