strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	10.0	0.0	0.0	0.00340047677358	0.000199459802299	EnergyUnawareStrategyPlacement	1889.81333333	0.0	31.4907831457	0.0	1889.81333333	0.0	10.0	0.0	0.523350756354	0.00340047677358	12.3666666667	12.3666666667	10.0	3.63333333333	0.523350756354	3.63333333333	10.0	0.0	16.0	0.0	16.0
0	0	0.0	10.0	0.0	0.0	0.00662345091502	8.55010977132e-05	EnergyUnawareStrategyPlacement	1845.568	0.0	24.2960716126	0.0	1845.568	0.0	10.0	0.0	0.344379812037	0.00662345091502	11.6666666667	11.6666666667	10.0	20.3333333333	0.344379812037	20.3333333333	10.0	0.0	32.0	0.0	32.0
0	0	0.0	10.0	0.0	0.0	0.0100697676341	5.60212329832e-05	EnergyUnawareStrategyPlacement	1879.06933333	0.0	29.6569782128	0.0	1879.06933333	0.0	10.0	0.0	0.387310926536	0.0100697676341	11.6	11.6	10.0	36.4	0.387310926536	36.4	10.0	0.0	48.0	0.0	48.0
0	0	0.0	10.0	0.0	0.0	0.0135826508204	6.24989015203e-05	EnergyUnawareStrategyPlacement	1879.74933333	0.0	26.7166129897	0.0	1879.74933333	0.0	10.0	0.0	0.416038673056	0.0135826508204	12.0	12.0	10.0	52.0	0.416038673056	52.0	10.0	0.0	64.0	0.0	64.0
0	0	0.0	10.0	0.0	0.0	0.0168551127116	7.70071576224e-05	EnergyUnawareStrategyPlacement	1882.33333333	0.0	32.3199264835	0.0	1882.33333333	0.0	10.0	0.0	0.42158737597	0.0168551127116	12.0333333333	12.0333333333	10.0	67.9666666667	0.42158737597	67.9666666667	10.0	0.0	80.0	0.0	80.0
0	0	0.0	10.0	0.0	0.0	0.0204178174337	0.000123368005857	EnergyUnawareStrategyPlacement	1907.53866667	0.0	33.9386647702	0.0	1907.53866667	0.0	10.0	0.0	0.601300233438	0.0204178174337	12.4	12.4	10.0	83.6	0.601300233438	83.6	10.0	0.0	96.0	0.0	96.0
0	0	0.0	10.0	0.0	0.0	0.0235903263092	9.91053213417e-05	EnergyUnawareStrategyPlacement	1887.90933333	0.0	23.1311086732	0.0	1887.90933333	0.0	10.0	0.0	0.42158737597	0.0235903263092	12.0333333333	12.0333333333	10.0	99.9666666667	0.42158737597	99.9666666667	10.0	0.0	112.0	0.0	112.0
0	0	0.0	10.0	0.0	0.0	0.0268745978673	9.56039607855e-05	EnergyUnawareStrategyPlacement	1897.61066667	0.0	34.0094564552	0.0	1897.61066667	0.0	10.0	0.0	0.455747532055	0.0268745978673	12.4	12.4	10.0	115.6	0.455747532055	115.6	10.0	0.0	128.0	0.0	128.0
0	0	0.0	10.0	0.0	0.0	0.03015452226	0.000106055677118	EnergyUnawareStrategyPlacement	1906.81333333	0.0	28.7115694628	0.0	1906.81333333	0.0	10.0	0.0	0.46703656922	0.03015452226	12.2333333333	12.2333333333	10.0	131.766666667	0.46703656922	131.766666667	10.0	0.0	144.0	0.0	144.0
0	0	0.0	10.0	0.0	0.0	0.0335704962413	0.000123415117377	EnergyUnawareStrategyPlacement	1886.82133333	0.0	32.6603264381	0.0	1886.82133333	0.0	10.0	0.0	0.432841686344	0.0335704962413	11.9666666667	11.9666666667	10.0	148.033333333	0.432841686344	148.033333333	10.0	0.0	160.0	0.0	160.0
