#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
40	16	14	0	26	16	0	6066.879999999996	EnergyUnawareStrategyPlacement	0.0039479732513427734
40	32	28	0	12	32	0	6772.719999999995	EnergyUnawareStrategyPlacement	0.011490821838378906
40	48	40	0	0	47	1	7599.6	EnergyUnawareStrategyPlacement	0.024157047271728516
40	64	40	0	0	45	19	7426.880000000001	EnergyUnawareStrategyPlacement	0.039261817932128906
40	80	40	0	0	48	32	7720.640000000002	EnergyUnawareStrategyPlacement	0.05167102813720703
40	96	40	0	0	45	51	7486.72	EnergyUnawareStrategyPlacement	0.06677603721618652
40	112	40	0	0	48	64	7532.959999999998	EnergyUnawareStrategyPlacement	0.07939004898071289
40	128	40	0	0	50	78	7585.999999999998	EnergyUnawareStrategyPlacement	0.09167098999023438
40	144	40	0	0	50	94	7666.24	EnergyUnawareStrategyPlacement	0.10467195510864258
40	160	40	0	0	52	108	7590.079999999999	EnergyUnawareStrategyPlacement	0.11786007881164551
40	176	40	0	0	47	129	7371.120000000001	EnergyUnawareStrategyPlacement	0.13213419914245605
40	192	40	0	0	54	138	7664.88	EnergyUnawareStrategyPlacement	0.14356684684753418
40	208	40	0	0	47	161	7568.319999999998	EnergyUnawareStrategyPlacement	0.15827703475952148
40	224	40	0	0	48	176	7371.119999999999	EnergyUnawareStrategyPlacement	0.17361092567443848
40	240	40	0	0	49	191	7660.800000000001	EnergyUnawareStrategyPlacement	0.18778610229492188
40	256	40	0	0	48	208	7577.839999999999	EnergyUnawareStrategyPlacement	0.2057359218597412
40	272	40	0	0	48	224	7507.12	EnergyUnawareStrategyPlacement	0.2165520191192627
40	288	40	0	0	54	234	7795.439999999998	EnergyUnawareStrategyPlacement	0.22314095497131348
