#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
60	16	10	50	0	16	0	2366.48	EvolutionaryComputationStrategyPlacement	1.1661450862884521
60	32	23	37	0	32	0	4774.920000000001	EvolutionaryComputationStrategyPlacement	2.9924628734588623
60	48	33	27	0	48	0	6989.640000000001	EvolutionaryComputationStrategyPlacement	4.805275917053223
60	64	42	18	0	64	0	8940.320000000002	EvolutionaryComputationStrategyPlacement	6.809429168701172
60	80	54	6	0	80	0	11326.799999999996	EvolutionaryComputationStrategyPlacement	9.556304931640625
60	96	60	0	0	91	5	12522.08	EvolutionaryComputationStrategyPlacement	11.895365953445435
60	112	60	0	0	96	16	12889.28	EvolutionaryComputationStrategyPlacement	13.863019943237305
60	128	60	0	0	104	24	13109.600000000004	EvolutionaryComputationStrategyPlacement	15.743613004684448
60	144	60	0	0	107	37	13185.759999999997	EvolutionaryComputationStrategyPlacement	17.914520025253296
60	160	60	0	0	101	59	12757.36	EvolutionaryComputationStrategyPlacement	20.080283880233765
60	176	60	0	0	101	75	12667.6	EvolutionaryComputationStrategyPlacement	21.689597129821777
60	192	60	0	0	109	83	13289.120000000006	EvolutionaryComputationStrategyPlacement	23.42449188232422
60	208	60	0	0	107	101	13025.28	EvolutionaryComputationStrategyPlacement	25.30413293838501
60	224	60	0	0	111	113	13093.280000000002	EvolutionaryComputationStrategyPlacement	27.278328895568848
60	240	60	0	0	111	129	13104.16	EvolutionaryComputationStrategyPlacement	29.394277095794678
60	256	60	0	0	109	147	12832.160000000003	EvolutionaryComputationStrategyPlacement	31.45545792579651
60	272	60	0	0	111	161	12916.48	EvolutionaryComputationStrategyPlacement	33.47076201438904
60	288	60	0	0	114	174	13008.960000000005	EvolutionaryComputationStrategyPlacement	35.45738410949707
