strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	80.0	0.0	0.0	1.19673236211	0.0280124928814	EvolutionaryComputationStrategyPlacement	2502.81333333	0.246782081561	26.8992468901	69.6666666667	2502.81333333	69.6666666667	10.3333333333	0.0	0.0	1.19673236211	16.0	16.0	80.0	0.0	0.0	0.0	10.3333333333	0.0	16.0	0.246782081561	16.0
0	0	0.0	80.0	0.0	0.0	2.88380593459	0.0404288246775	EvolutionaryComputationStrategyPlacement	4769.55333333	0.301979845086	32.9158031144	57.9666666667	4769.55333333	57.9666666667	22.0333333333	0.0	0.0	2.88380593459	32.0	32.0	80.0	0.0	0.0	0.0	22.0333333333	0.0	32.0	0.301979845086	32.0
0	0	0.0	80.0	0.0	0.0	4.79031425317	0.0356973233166	EvolutionaryComputationStrategyPlacement	7078.74	0.265852727032	28.9779472465	47.1	7078.74	47.1	32.9	0.0	0.0	4.79031425317	48.0	48.0	80.0	0.0	0.0	0.0	32.9	0.0	48.0	0.265852727032	48.0
0	0	0.0	80.0	0.0	0.0	6.94460634391	0.0724872761715	EvolutionaryComputationStrategyPlacement	9182.02	0.440184732444	47.9801358364	36.7	9182.02	36.7	43.3	0.0	0.0	6.94460634391	64.0	64.0	80.0	0.0	0.0	0.0	43.3	0.0	64.0	0.440184732444	64.0
0	0	0.0	80.0	0.0	0.0	9.69931469758	0.0812325769883	EvolutionaryComputationStrategyPlacement	11557.6	0.420635925026	45.8493158278	24.8	11557.6	24.8	55.2	0.0	0.0	9.69931469758	80.0	80.0	80.0	0.0	0.0	0.0	55.2	0.0	80.0	0.420635925026	80.0
0	0	0.0	80.0	0.0	0.0	12.4773249547	0.12011198723	EvolutionaryComputationStrategyPlacement	13576.9266667	0.519662977546	56.6432645525	14.8333333333	13576.9266667	14.8333333333	65.1666666667	0.0	0.0	12.4773249547	96.0	96.0	80.0	0.0	0.0	0.0	65.1666666667	0.0	96.0	0.519662977546	96.0
0	0	0.0	80.0	0.0	0.0	16.0539607366	0.14801248064	EvolutionaryComputationStrategyPlacement	15850.9266667	0.549055469974	57.571373129	3.1	15850.9266667	3.1	76.9	0.0	0.0681743214044	16.0539607366	111.966666667	111.966666667	80.0	0.0333333333333	0.0681743214044	0.0333333333333	76.9	0.0	112.0	0.549055469974	112.0
0	0	0.0	80.0	0.0	0.0	18.6206154188	0.119936514668	EvolutionaryComputationStrategyPlacement	16685.136	0.0	44.6164748382	0.0	16685.136	0.0	80.0	0.0	0.648490681922	18.6206154188	121.533333333	121.533333333	80.0	6.46666666667	0.648490681922	6.46666666667	80.0	0.0	128.0	0.0	128.0
0	0	0.0	80.0	0.0	0.0	21.3656645854	0.145093888464	EvolutionaryComputationStrategyPlacement	16780.1093333	0.0	75.4217180937	0.0	16780.1093333	0.0	80.0	0.0	0.84630518593	21.3656645854	124.366666667	124.366666667	80.0	19.6333333333	0.84630518593	19.6333333333	80.0	0.0	144.0	0.0	144.0
0	0	0.0	80.0	0.0	0.0	23.7942013423	0.125981722281	EvolutionaryComputationStrategyPlacement	17006.5493333	0.0	63.3210239502	0.0	17006.5493333	0.0	80.0	0.0	0.810712201662	23.7942013423	131.1	131.1	80.0	28.9	0.810712201662	28.9	80.0	0.0	160.0	0.0	160.0
