strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	30.0	0.0	0.0	0.113217107455	0.000648449165748	OpenOptStrategyPlacement	2216.48	0.0	5.18124957187e-13	20.0	2216.48	20.0	10.0	0.0	0.0	0.113217107455	16.0	16.0	30.0	0.0	0.0	0.0	10.0	0.0	16.0	0.0	16.0
0	0	0.0	30.0	0.0	0.0	0.244179677963	0.00203883111763	OpenOptStrategyPlacement	4624.92	0.0	3.45416638125e-13	7.0	4624.92	7.0	23.0	0.0	0.0	0.244179677963	32.0	32.0	30.0	0.0	0.0	0.0	23.0	0.0	32.0	0.0	32.0
0	0	0.0	30.0	0.0	0.0	0.44661432902	0.00359748481202	OpenOptStrategyPlacement	6244.72	0.0	0.0	0.0	6244.72	0.0	30.0	0.0	0.0	0.44661432902	45.0	45.0	30.0	3.0	0.0	3.0	30.0	0.0	48.0	0.0	48.0
0	0	0.0	30.0	0.0	0.0	0.636007801692	0.00499605646647	OpenOptStrategyPlacement	6311.36	0.0	1.3816665525e-12	0.0	6311.36	0.0	30.0	0.0	0.0	0.636007801692	50.0	50.0	30.0	14.0	0.0	14.0	30.0	0.0	64.0	0.0	64.0
0	0	0.0	30.0	0.0	0.0	0.876924403509	0.00734578899985	OpenOptStrategyPlacement	6425.6	0.0	1.03624991437e-12	0.0	6425.6	0.0	30.0	0.0	0.0	0.876924403509	52.0	52.0	30.0	28.0	0.0	28.0	30.0	0.0	80.0	0.0	80.0
0	0	0.0	30.0	0.0	0.0	1.11293865045	0.0100376563708	OpenOptStrategyPlacement	6825.44	0.0	6.9083327625e-13	0.0	6825.44	0.0	30.0	0.0	0.0	1.11293865045	60.0	60.0	30.0	36.0	0.0	36.0	30.0	0.0	96.0	0.0	96.0
0	0	0.0	30.0	0.0	0.0	1.38301899433	0.0116905674227	OpenOptStrategyPlacement	6788.72	0.0	0.0	0.0	6788.72	0.0	30.0	0.0	0.0	1.38301899433	61.0	61.0	30.0	51.0	0.0	51.0	30.0	0.0	112.0	0.0	112.0
0	0	0.0	30.0	0.0	0.0	1.62065775394	0.0131220447759	OpenOptStrategyPlacement	6711.2	0.0	1.3816665525e-12	0.0	6711.2	0.0	30.0	0.0	0.0	1.62065775394	62.0	62.0	30.0	66.0	0.0	66.0	30.0	0.0	128.0	0.0	128.0
0	0	0.0	30.0	0.0	0.0	1.86860702038	0.0131828171967	OpenOptStrategyPlacement	6781.92	0.0	1.3816665525e-12	0.0	6781.92	0.0	30.0	0.0	0.0	1.86860702038	63.0	63.0	30.0	81.0	0.0	81.0	30.0	0.0	144.0	0.0	144.0
0	0	0.0	30.0	0.0	0.0	2.14618460337	0.0160925903107	OpenOptStrategyPlacement	6932.88	0.0	1.03624991437e-12	0.0	6932.88	0.0	30.0	0.0	0.0	2.14618460337	63.0	63.0	30.0	97.0	0.0	97.0	30.0	0.0	160.0	0.0	160.0
0	0	0.0	30.0	0.0	0.0	2.41694305738	0.0186808887097	OpenOptStrategyPlacement	6644.56	0.0	3.45416638125e-13	0.0	6644.56	0.0	30.0	0.0	0.0	2.41694305738	63.0	63.0	30.0	113.0	0.0	113.0	30.0	0.0	176.0	0.0	176.0
0	0	0.0	30.0	0.0	0.0	2.71085250378	0.0225755718012	OpenOptStrategyPlacement	6745.2	0.0	1.3816665525e-12	0.0	6745.2	0.0	30.0	0.0	0.0	2.71085250378	62.0	62.0	30.0	130.0	0.0	130.0	30.0	0.0	192.0	0.0	192.0
0	0	0.0	30.0	0.0	0.0	3.00247823397	0.0206151183185	OpenOptStrategyPlacement	6783.28	0.0	1.03624991437e-12	0.0	6783.28	0.0	30.0	0.0	0.0	3.00247823397	64.0	64.0	30.0	144.0	0.0	144.0	30.0	0.0	208.0	0.0	208.0
0	0	0.0	30.0	0.0	0.0	3.31524138451	0.0122866429986	OpenOptStrategyPlacement	6684.0	0.0	0.0	0.0	6684.0	0.0	30.0	0.0	0.0	3.31524138451	64.0	64.0	30.0	160.0	0.0	160.0	30.0	0.0	224.0	0.0	224.0
0	0	0.0	30.0	0.0	0.0	3.64723598957	0.0160394043933	OpenOptStrategyPlacement	6669.04	0.0	3.45416638125e-13	0.0	6669.04	0.0	30.0	0.0	0.0	3.64723598957	63.0	63.0	30.0	177.0	0.0	177.0	30.0	0.0	240.0	0.0	240.0
0	0	0.0	30.0	0.0	0.0	3.91417688529	0.0147518275749	OpenOptStrategyPlacement	6799.6	0.0	1.72708319062e-12	0.0	6799.6	0.0	30.0	0.0	0.0	3.91417688529	64.0	64.0	30.0	192.0	0.0	192.0	30.0	0.0	256.0	0.0	256.0
0	0	0.0	30.0	0.0	0.0	4.1563766559	0.0127359544037	OpenOptStrategyPlacement	6718.0	0.0	0.0	0.0	6718.0	0.0	30.0	0.0	0.0	4.1563766559	65.0	65.0	30.0	207.0	0.0	207.0	30.0	0.0	272.0	0.0	272.0
0	0	0.0	30.0	0.0	0.0	4.38262468974	0.0168412022105	OpenOptStrategyPlacement	6724.8	0.0	1.03624991437e-12	0.0	6724.8	0.0	30.0	0.0	0.0	4.38262468974	65.0	65.0	30.0	223.0	0.0	223.0	30.0	0.0	288.0	0.0	288.0
