strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	40.0	0.0	0.0	0.120383993785	0.000778430172041	OpenOptStrategyPlacement	2266.48	0.0	5.18124957187e-13	30.0	2266.48	30.0	10.0	0.0	0.0	0.128201961517	16.0	16.0	40.0	0.0	0.0	0.0	10.0	0.0	16.0	0.0	16.0
0	0	0.0	40.0	0.0	0.0	0.233937525749	0.0011973982925	OpenOptStrategyPlacement	4674.92	0.0	3.45416638125e-13	17.0	4674.92	17.0	23.0	0.0	0.0	0.245597839355	32.0	32.0	40.0	0.0	0.0	0.0	23.0	0.0	32.0	0.0	32.0
0	0	0.0	40.0	0.0	0.0	0.455040677389	0.00238191552372	OpenOptStrategyPlacement	6889.64	0.0	1.3816665525e-12	7.0	6889.64	7.0	33.0	0.0	0.0	0.471252202988	48.0	48.0	40.0	0.0	0.0	0.0	33.0	0.0	48.0	0.0	48.0
0	0	0.0	40.0	0.0	0.0	0.730177942912	0.00497533817553	OpenOptStrategyPlacement	8272.8	0.0	1.3816665525e-12	0.0	8272.8	0.0	40.0	0.0	0.0	0.766486883163	60.0	60.0	40.0	4.0	0.0	4.0	40.0	0.0	64.0	0.0	64.0
0	0	0.0	40.0	0.0	0.0	1.01978779634	0.0063117224746	OpenOptStrategyPlacement	8234.72	0.0	0.0	0.0	8234.72	0.0	40.0	0.0	0.0	1.05743408203	62.0	62.0	40.0	18.0	0.0	18.0	40.0	0.0	80.0	0.0	80.0
0	0	0.0	40.0	0.0	0.0	1.29292646249	0.00983288850585	OpenOptStrategyPlacement	8732.48	0.0	1.3816665525e-12	0.0	8732.48	0.0	40.0	0.0	0.0	1.34530615807	70.0	70.0	40.0	26.0	0.0	26.0	40.0	0.0	96.0	0.0	96.0
0	0	0.0	40.0	0.0	0.0	1.63409088453	0.0121917354516	OpenOptStrategyPlacement	8699.84	0.0	1.3816665525e-12	0.0	8699.84	0.0	40.0	0.0	0.0	1.68827700615	74.0	74.0	40.0	38.0	0.0	38.0	40.0	0.0	112.0	0.0	112.0
0	0	0.0	40.0	0.0	0.0	1.94790167014	0.0142075658149	OpenOptStrategyPlacement	9107.84	0.0	6.9083327625e-13	0.0	9107.84	0.0	40.0	0.0	0.0	2.00724506378	82.0	82.0	40.0	46.0	0.0	46.0	40.0	0.0	128.0	0.0	128.0
0	0	0.0	40.0	0.0	0.0	2.28649873734	0.0138265640136	OpenOptStrategyPlacement	9125.52	0.0	1.3816665525e-12	0.0	9125.52	0.0	40.0	0.0	0.0	2.33867502213	83.0	83.0	40.0	61.0	0.0	61.0	40.0	0.0	144.0	0.0	144.0
0	0	0.0	40.0	0.0	0.0	2.6503335158	0.0184405820684	OpenOptStrategyPlacement	9177.2	0.0	2.07249982875e-12	0.0	9177.2	0.0	40.0	0.0	0.0	2.73932504654	83.0	83.0	40.0	77.0	0.0	77.0	40.0	0.0	160.0	0.0	160.0
0	0	0.0	40.0	0.0	0.0	3.02115528584	0.026295313627	OpenOptStrategyPlacement	8875.28	0.0	0.0	0.0	8875.28	0.0	40.0	0.0	0.0	3.12980794907	83.0	83.0	40.0	93.0	0.0	93.0	40.0	0.0	176.0	0.0	176.0
0	0	0.0	40.0	0.0	0.0	3.4210600853	0.0316007916945	OpenOptStrategyPlacement	9019.44	0.0	6.9083327625e-13	0.0	9019.44	0.0	40.0	0.0	0.0	3.51844120026	82.0	82.0	40.0	110.0	0.0	110.0	40.0	0.0	192.0	0.0	192.0
0	0	0.0	40.0	0.0	0.0	3.79567790826	0.0105148071866	OpenOptStrategyPlacement	9015.36	0.0	2.763333105e-12	0.0	9015.36	0.0	40.0	0.0	0.0	3.85242009163	84.0	84.0	40.0	124.0	0.0	124.0	40.0	0.0	208.0	0.0	208.0
0	0	0.0	40.0	0.0	0.0	4.19477812449	0.0124751245679	OpenOptStrategyPlacement	8898.4	0.0	2.07249982875e-12	0.0	8898.4	0.0	40.0	0.0	0.0	4.25156879425	84.0	84.0	40.0	140.0	0.0	140.0	40.0	0.0	224.0	0.0	224.0
0	0	0.0	40.0	0.0	0.0	4.69120350679	0.0138731362874	OpenOptStrategyPlacement	8947.36	0.0	2.763333105e-12	0.0	8947.36	0.0	40.0	0.0	0.0	4.80473899841	83.0	83.0	40.0	157.0	0.0	157.0	40.0	0.0	240.0	0.0	240.0
0	0	0.0	40.0	0.0	0.0	4.97243098418	0.0165818593547	OpenOptStrategyPlacement	9103.76	0.0	1.3816665525e-12	0.0	9103.76	0.0	40.0	0.0	0.0	5.08893299103	84.0	84.0	40.0	172.0	0.0	172.0	40.0	0.0	256.0	0.0	256.0
0	0	0.0	40.0	0.0	0.0	5.31920305093	0.0172010366158	OpenOptStrategyPlacement	8965.04	0.0	2.07249982875e-12	0.0	8965.04	0.0	40.0	0.0	0.0	5.43053483963	85.0	85.0	40.0	187.0	0.0	187.0	40.0	0.0	272.0	0.0	272.0
0	0	0.0	40.0	0.0	0.0	5.6486265262	0.0164249401438	OpenOptStrategyPlacement	8916.08	0.0	2.763333105e-12	0.0	8916.08	0.0	40.0	0.0	0.0	5.7656481266	85.0	85.0	40.0	203.0	0.0	203.0	40.0	0.0	288.0	0.0	288.0
