#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
60	16	10	50	0	16	0	2366.48	OpenOptStrategyPlacement	0.11360001564025879
60	32	23	37	0	32	0	4774.920000000001	OpenOptStrategyPlacement	0.23658204078674316
60	48	33	27	0	48	0	6989.640000000001	OpenOptStrategyPlacement	0.45844602584838867
60	64	44	16	0	64	0	9158.32	OpenOptStrategyPlacement	0.7574460506439209
60	80	58	2	0	80	0	11762.799999999996	OpenOptStrategyPlacement	1.208056926727295
60	96	60	0	0	90	6	12440.479999999998	OpenOptStrategyPlacement	1.6012439727783203
60	112	60	0	0	94	18	12402.400000000001	OpenOptStrategyPlacement	2.0878560543060303
60	128	60	0	0	103	25	12770.959999999997	OpenOptStrategyPlacement	2.4621639251708984
60	144	60	0	0	108	36	13369.36	OpenOptStrategyPlacement	2.9075329303741455
60	160	60	0	0	116	44	13463.199999999999	OpenOptStrategyPlacement	3.5015671253204346
60	176	60	0	0	121	55	13610.080000000002	OpenOptStrategyPlacement	4.055559873580933
60	192	60	0	0	122	70	13664.479999999996	OpenOptStrategyPlacement	4.5900750160217285
60	208	60	0	0	124	84	13767.84	OpenOptStrategyPlacement	5.229755878448486
60	224	60	0	0	124	100	13523.039999999999	OpenOptStrategyPlacement	5.763998985290527
60	240	60	0	0	123	117	13630.48	OpenOptStrategyPlacement	6.444605827331543
60	256	60	0	0	124	132	13713.439999999997	OpenOptStrategyPlacement	6.826716184616089
60	272	60	0	0	125	147	13452.320000000002	OpenOptStrategyPlacement	7.416411876678467
60	288	60	0	0	125	163	13448.239999999998	OpenOptStrategyPlacement	8.010671138763428
