strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.31138630791	10.0	0.0	2.83333333333	0.00238597393036	0.000128995718869	EnergyUnawareStrategyPlacement	1443.96	0.0	6.35228068137	0.0	1443.96	0.0	7.16666666667	2.83333333333	0.0	0.00238597393036	16.0	16.0	10.0	0.0	0.0	0.0	7.16666666667	0.0	16.0	0.31138630791	16.0
0	0	0.0	10.0	0.0	0.0	0.00607523123423	9.59784459871e-05	EnergyUnawareStrategyPlacement	1612.01066667	0.0	32.1388785384	0.0	1612.01066667	0.0	10.0	0.0	0.902394463803	0.00607523123423	18.4333333333	18.4333333333	10.0	13.5666666667	0.902394463803	13.5666666667	10.0	0.0	32.0	0.0	32.0
0	0	0.0	10.0	0.0	0.0	0.00935270786285	0.000138077228983	EnergyUnawareStrategyPlacement	1755.128	0.0	45.045646112	0.0	1755.128	0.0	10.0	0.0	1.16606337486	0.00935270786285	22.2	22.2	10.0	25.8	1.16606337486	25.8	10.0	0.0	48.0	0.0	48.0
0	0	0.0	10.0	0.0	0.0	0.0129172404607	0.000142678442028	EnergyUnawareStrategyPlacement	1723.48533333	0.0	45.6265255378	0.0	1723.48533333	0.0	10.0	0.0	1.2315702532	0.0129172404607	21.5333333333	21.5333333333	10.0	42.4666666667	1.2315702532	42.4666666667	10.0	0.0	64.0	0.0	64.0
0	0	0.0	10.0	0.0	0.0	0.0163419644038	0.00013389869816	EnergyUnawareStrategyPlacement	1664.59733333	0.0	31.4479992571	0.0	1664.59733333	0.0	10.0	0.0	1.03073217796	0.0163419644038	20.6333333333	20.6333333333	10.0	59.3666666667	1.03073217796	59.3666666667	10.0	0.0	80.0	0.0	80.0
0	0	0.0	10.0	0.0	0.0	0.0198108990987	0.000109526559902	EnergyUnawareStrategyPlacement	1671.76	0.0	49.9217179324	0.0	1671.76	0.0	10.0	0.0	1.22059021009	0.0198108990987	20.9333333333	20.9333333333	10.0	75.0666666667	1.22059021009	75.0666666667	10.0	0.0	96.0	0.0	96.0
0	0	0.0	10.0	0.0	0.0	0.0232374191284	0.000121614047194	EnergyUnawareStrategyPlacement	1702.904	0.0	50.6222856341	0.0	1702.904	0.0	10.0	0.0	1.31836784782	0.0232374191284	20.5	20.5	10.0	91.5	1.31836784782	91.5	10.0	0.0	112.0	0.0	112.0
0	0	0.0	10.0	0.0	0.0	0.0265898784002	0.000185087662287	EnergyUnawareStrategyPlacement	1644.424	0.0	56.3564288567	0.0	1644.424	0.0	10.0	0.0	1.06069465616	0.0265898784002	21.0	21.0	10.0	107.0	1.06069465616	107.0	10.0	0.0	128.0	0.0	128.0
0	0	0.0	10.0	0.0	0.0	0.0298326253891	0.000183528212081	EnergyUnawareStrategyPlacement	1698.688	0.0	53.3740551295	0.0	1698.688	0.0	10.0	0.0	1.3100753769	0.0298326253891	21.3666666667	21.3666666667	10.0	122.633333333	1.3100753769	122.633333333	10.0	0.0	144.0	0.0	144.0
0	0	0.0	10.0	0.0	0.0	0.0331709543864	0.00022836647428	EnergyUnawareStrategyPlacement	1767.504	0.0	46.4777537098	0.0	1767.504	0.0	10.0	0.0	1.59310562603	0.0331709543864	21.9333333333	21.9333333333	10.0	138.066666667	1.59310562603	138.066666667	10.0	0.0	160.0	0.0	160.0
