#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
20	16	7	0	13	16	0	2791.360000000001	EnergyUnawareStrategyPlacement	0.00238800048828125
20	32	20	0	0	32	0	3180.3199999999997	EnergyUnawareStrategyPlacement	0.007972955703735352
20	48	20	0	0	44	4	3425.12	EnergyUnawareStrategyPlacement	0.012814998626708984
20	64	20	0	0	39	25	3498.56	EnergyUnawareStrategyPlacement	0.021747827529907227
20	80	20	0	0	37	43	3280.96	EnergyUnawareStrategyPlacement	0.02720808982849121
20	96	20	0	0	40	56	3608.72	EnergyUnawareStrategyPlacement	0.03435206413269043
20	112	20	0	0	36	76	3539.36	EnergyUnawareStrategyPlacement	0.04155707359313965
20	128	20	0	0	41	87	3176.2399999999993	EnergyUnawareStrategyPlacement	0.047666072845458984
20	144	20	0	0	50	94	3374.7999999999997	EnergyUnawareStrategyPlacement	0.05173993110656738
20	160	20	0	0	46	114	3657.68	EnergyUnawareStrategyPlacement	0.058187007904052734
20	176	20	0	0	40	136	3144.9599999999996	EnergyUnawareStrategyPlacement	0.0657808780670166
20	192	20	0	0	47	145	3525.76	EnergyUnawareStrategyPlacement	0.07241296768188477
20	208	20	0	0	44	164	3932.4	EnergyUnawareStrategyPlacement	0.07971692085266113
20	224	20	0	0	45	179	3498.56	EnergyUnawareStrategyPlacement	0.08753395080566406
20	240	20	0	0	43	197	3430.56	EnergyUnawareStrategyPlacement	0.09666705131530762
20	256	20	0	0	43	213	3278.2399999999993	EnergyUnawareStrategyPlacement	0.10348081588745117
20	272	20	0	0	46	226	3599.2000000000003	EnergyUnawareStrategyPlacement	0.1096181869506836
20	288	20	0	0	43	245	3252.4	EnergyUnawareStrategyPlacement	0.11488986015319824
