strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.326462007918	20.0	0.0	12.8333333333	0.00245074431101	0.000128842985179	EnergyUnawareStrategyPlacement	2787.96	0.0	6.65982496153	0.0	2832.16	0.0	9.0	15.0	0.0	0.00385594367981	16.0	16.0	20.0	0.0	0.0	0.0	7.16666666667	0.0	16.0	0.326462007918	16.0
0	0	0.464973069131	20.0	0.0	1.36666666667	0.00783745447795	0.000203367370551	EnergyUnawareStrategyPlacement	3207.70133333	0.0	9.74805806568	0.0	3282.32	0.0	20.0	5.0	0.204522964213	0.00947189331055	31.9	29.0	20.0	3.0	0.204522964213	0.1	18.6333333333	0.0	32.0	0.464973069131	32.0
0	0	0.0	20.0	0.0	0.0	0.0142746289571	0.000705652995867	EnergyUnawareStrategyPlacement	3382.64266667	0.0	47.1722973753	0.0	3627.76	0.0	20.0	0.0	1.29722847852	0.0227298736572	40.0	34.0	20.0	14.0	1.29722847852	8.0	20.0	0.0	48.0	0.0	48.0
0	0	0.0	20.0	0.0	0.0	0.0210741202037	0.000521132486848	EnergyUnawareStrategyPlacement	3384.68266667	0.0	50.6708501101	0.0	3683.52	0.0	20.0	0.0	1.28637281923	0.0251288414001	41.8333333333	34.0	20.0	30.0	1.28637281923	22.1666666667	20.0	0.0	64.0	0.0	64.0
0	0	0.0	20.0	0.0	0.0	0.027744269371	0.000338739190677	EnergyUnawareStrategyPlacement	3254.75733333	0.0	49.64142282	0.0	3505.36	0.0	20.0	0.0	1.43947554963	0.0292918682098	39.9666666667	30.0	20.0	50.0	1.43947554963	40.0333333333	20.0	0.0	80.0	0.0	80.0
0	0	0.0	20.0	0.0	0.0	0.0347177108129	0.00033996714974	EnergyUnawareStrategyPlacement	3340.34666667	0.0	68.0299727312	0.0	3608.72	0.0	20.0	0.0	1.64009709819	0.0364201068878	39.8666666667	32.0	20.0	64.0	1.64009709819	56.1333333333	20.0	0.0	96.0	0.0	96.0
0	0	0.0	20.0	0.0	0.0	0.0415042877197	0.00038766181275	EnergyUnawareStrategyPlacement	3418.27466667	0.0	66.4653188159	0.0	3759.68	0.0	20.0	0.0	1.59556842862	0.0438559055328	40.5	33.0	20.0	79.0	1.59556842862	71.5	20.0	0.0	112.0	0.0	112.0
0	0	0.0	20.0	0.0	0.0	0.048140891393	0.000282869708678	EnergyUnawareStrategyPlacement	3359.06933333	0.0	61.9038059918	0.0	3680.8	0.0	20.0	0.0	1.62891916743	0.0494070053101	40.2666666667	32.0	20.0	96.0	1.62891916743	87.7333333333	20.0	0.0	128.0	0.0	128.0
0	0	0.0	20.0	0.0	0.0	0.0549262523651	0.000642865310888	EnergyUnawareStrategyPlacement	3328.51466667	0.0	75.482628777	0.0	3622.32	0.0	20.0	0.0	1.57250021796	0.0621428489685	39.7	35.0	20.0	109.0	1.57250021796	104.3	20.0	0.0	144.0	0.0	144.0
0	0	0.0	20.0	0.0	0.0	0.0612340052923	0.000438726322724	EnergyUnawareStrategyPlacement	3435.184	0.0	82.2198149737	0.0	3921.52	0.0	20.0	0.0	1.41544892324	0.0636839866638	41.9	35.0	20.0	125.0	1.41544892324	118.1	20.0	0.0	160.0	0.0	160.0
0	0	0.0	20.0	0.0	0.0	0.0679460366567	0.00051280506484	EnergyUnawareStrategyPlacement	3492.44	0.0	70.590113373	0.0	3815.44	0.0	20.0	0.0	1.81969035697	0.0722780227661	40.9	31.0	20.0	145.0	1.81969035697	135.1	20.0	0.0	176.0	0.0	176.0
0	0	0.0	20.0	0.0	0.0	0.0746649821599	0.000456098228842	EnergyUnawareStrategyPlacement	3396.152	0.0	65.2597985421	0.0	3665.84	0.0	20.0	0.0	1.32558120652	0.0773148536682	42.1333333333	35.0	20.0	157.0	1.32558120652	149.866666667	20.0	0.0	192.0	0.0	192.0
0	0	0.0	20.0	0.0	0.0	0.0814546744029	0.000488820891548	EnergyUnawareStrategyPlacement	3497.744	0.0	82.429485971	0.0	4035.76	0.0	20.0	0.0	1.80855902692	0.0843589305878	42.7	36.0	20.0	172.0	1.80855902692	165.3	20.0	0.0	208.0	0.0	208.0
0	0	0.0	20.0	0.0	0.0	0.0893506765366	0.000517646966857	EnergyUnawareStrategyPlacement	3441.66666667	0.0	79.4928195378	0.0	3755.6	0.0	20.0	0.0	1.68539885861	0.0915939807892	41.8	32.0	20.0	192.0	1.68539885861	182.2	20.0	0.0	224.0	0.0	224.0
0	0	0.0	20.0	0.0	0.0	0.0964199781418	0.000520297039306	EnergyUnawareStrategyPlacement	3473.536	0.0	69.6936026152	0.0	3835.84	0.0	20.0	0.0	1.66920306042	0.098837852478	42.5	35.0	20.0	205.0	1.66920306042	197.5	20.0	0.0	240.0	0.0	240.0
0	0	0.0	20.0	0.0	0.0	0.103122464816	0.000796927290448	EnergyUnawareStrategyPlacement	3411.06666667	0.0	81.749568259	0.0	3852.16	0.0	20.0	0.0	1.47988048355	0.109400987625	40.5	34.0	20.0	222.0	1.47988048355	215.5	20.0	0.0	256.0	0.0	256.0
0	0	0.0	20.0	0.0	0.0	0.109771060944	0.000770591272951	EnergyUnawareStrategyPlacement	3466.14666667	0.0	81.4426346	0.0	3882.08	0.0	20.0	0.0	1.58037916156	0.11811208725	42.8666666667	35.0	20.0	237.0	1.58037916156	229.133333333	20.0	0.0	272.0	0.0	272.0
0	0	0.0	20.0	0.0	0.0	0.11734632651	0.000867929995079	EnergyUnawareStrategyPlacement	3425.84533333	0.0	76.6018376412	0.0	3808.64	0.0	20.0	0.0	1.99846176558	0.123428821564	41.6666666667	31.0	20.0	257.0	1.99846176558	246.333333333	20.0	0.0	288.0	0.0	288.0
