strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.349919789213	40.0	0.0	32.5333333333	0.00277376969655	0.000213518647973	EnergyUnawareStrategyPlacement	5469.84	0.0	7.13836369994	0.0	5438.56	0.0	6.0	31.0	0.0	0.00204300880432	16.0	16.0	40.0	0.0	0.0	0.0	7.46666666667	0.0	16.0	0.349919789213	16.0
0	0	0.591627212779	40.0	0.0	21.2	0.00850369135539	0.000309683714715	EnergyUnawareStrategyPlacement	5892.8	0.0	12.0691951407	0.0	5807.12	0.0	16.0	17.0	0.0	0.007493019104	32.0	32.0	40.0	0.0	0.0	0.0	18.8	0.0	32.0	0.591627212779	32.0
0	0	0.868732701797	40.0	0.0	13.9666666667	0.0157684485118	0.000653134297063	EnergyUnawareStrategyPlacement	6245.72	0.0	17.7221471167	0.0	6144.4	0.0	20.0	9.0	0.0	0.0123338699341	48.0	48.0	40.0	0.0	0.0	0.0	26.0333333333	0.0	48.0	0.868732701797	48.0
0	0	0.777925159543	40.0	0.0	5.93333333333	0.0255515972773	0.00105600967383	EnergyUnawareStrategyPlacement	6504.8	0.0	15.8696732547	0.0	6404.16	0.0	31.0	1.0	0.0	0.0215680599213	64.0	64.0	40.0	0.0	0.0	0.0	34.0666666667	0.0	64.0	0.777925159543	64.0
0	0	0.248077534459	40.0	0.0	0.2	0.0379473527273	0.00101089597852	EnergyUnawareStrategyPlacement	6621.80533333	0.0	63.8916707493	0.0	6200.16	0.0	37.0	0.0	1.57509699506	0.0342488288879	75.0	80.0	40.0	0.0	1.57509699506	5.0	39.8	0.0	80.0	0.248077534459	80.0
0	0	0.0	40.0	0.0	0.0	0.0525410652161	0.0011736524652	EnergyUnawareStrategyPlacement	6564.776	0.0	66.1779519539	0.0	6189.28	0.0	40.0	0.0	1.6506654397	0.0469970703125	77.1	86.0	40.0	10.0	1.6506654397	18.9	40.0	0.0	96.0	0.0	96.0
0	0	0.0	40.0	0.0	0.0	0.0649975458781	0.000875839435445	EnergyUnawareStrategyPlacement	6880.06933333	0.0	76.084314434	0.0	6507.52	0.0	40.0	0.0	1.57555480556	0.0593490600586	77.3	88.0	40.0	24.0	1.57555480556	34.7	40.0	0.0	112.0	0.0	112.0
0	0	0.0	40.0	0.0	0.0	0.0785453478495	0.000944587670112	EnergyUnawareStrategyPlacement	6708.16533333	0.0	65.5577631321	0.0	6148.48	0.0	40.0	0.0	1.69109471418	0.0737600326538	78.8	87.0	40.0	41.0	1.69109471418	49.2	40.0	0.0	128.0	0.0	128.0
0	0	0.0	40.0	0.0	0.0	0.0911945501963	0.00115408793626	EnergyUnawareStrategyPlacement	6774.85066667	0.0	90.5614127389	0.0	6197.44	0.0	40.0	0.0	1.87431292358	0.0861690044403	81.3333333333	90.0	40.0	54.0	1.87431292358	62.6666666667	40.0	0.0	144.0	0.0	144.0
0	0	0.0	40.0	0.0	0.0	0.10423309803	0.000980057700357	EnergyUnawareStrategyPlacement	6903.50666667	0.0	85.311569076	0.0	6484.4	0.0	40.0	0.0	2.32155406132	0.0994520187378	81.9666666667	94.0	40.0	66.0	2.32155406132	78.0333333333	40.0	0.0	160.0	0.0	160.0
