#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
10	16	6	4	0	16	0	950.16	EvolutionaryComputationStrategyPlacement	0.6366729736328125
10	32	10	0	0	28	4	1976.4	EvolutionaryComputationStrategyPlacement	1.2962090969085693
10	48	10	0	0	40	8	2138.24	EvolutionaryComputationStrategyPlacement	1.5270249843597412
10	64	10	0	0	48	16	2166.8	EvolutionaryComputationStrategyPlacement	1.8086600303649902
10	80	10	0	0	52	28	2164.08	EvolutionaryComputationStrategyPlacement	2.1788039207458496
10	96	10	0	0	47	49	2060.7200000000003	EvolutionaryComputationStrategyPlacement	2.581228017807007
10	112	10	0	0	42	70	1886.6399999999999	EvolutionaryComputationStrategyPlacement	3.0739550590515137
10	128	10	0	0	32	96	1754.7199999999998	EvolutionaryComputationStrategyPlacement	3.4248998165130615
10	144	10	0	0	29	115	1779.1999999999998	EvolutionaryComputationStrategyPlacement	3.8280060291290283
10	160	10	0	0	31	129	1840.4	EvolutionaryComputationStrategyPlacement	4.099230051040649
10	176	10	0	0	33	143	1601.04	EvolutionaryComputationStrategyPlacement	4.439008951187134
10	192	10	0	0	32	160	1829.52	EvolutionaryComputationStrategyPlacement	4.704452037811279
10	208	10	0	0	33	175	1866.2399999999998	EvolutionaryComputationStrategyPlacement	5.07354998588562
10	224	10	0	0	33	191	1809.1199999999997	EvolutionaryComputationStrategyPlacement	5.4425060749053955
10	240	10	0	0	39	201	1775.12	EvolutionaryComputationStrategyPlacement	5.645409107208252
10	256	10	0	0	37	219	1968.2399999999998	EvolutionaryComputationStrategyPlacement	6.057570934295654
10	272	10	0	0	37	235	1867.6	EvolutionaryComputationStrategyPlacement	6.296879053115845
10	288	10	0	0	36	252	1953.28	EvolutionaryComputationStrategyPlacement	6.720836877822876
