strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	50.0	0.0	0.0	0.0787940184275	0.0012948866606	OpenOptStrategyPlacement	1041.16	0.0	0.0	45.0	1041.16	45.0	5.0	0.0	0.0	0.0899631977081	16.0	16.0	50.0	0.0	0.0	0.0	5.0	0.0	16.0	0.0	16.0
0	0	0.0	50.0	0.0	0.0	0.126224652926	0.0018272275703	OpenOptStrategyPlacement	2567.32	0.0	3.45416638125e-13	37.0	2567.32	37.0	13.0	0.0	0.0	0.139360904694	32.0	32.0	50.0	0.0	0.0	0.0	13.0	0.0	32.0	0.0	32.0
0	0	0.0	50.0	0.0	0.0	0.187306467692	0.00289480341987	OpenOptStrategyPlacement	3394.8	0.0	8.63541595312e-13	34.0	3394.8	34.0	16.0	0.0	0.0	0.217461109161	48.0	48.0	50.0	0.0	0.0	0.0	16.0	0.0	48.0	0.0	48.0
0	0	0.0	50.0	0.0	0.0	0.30547396342	0.00474895003446	OpenOptStrategyPlacement	4471.76	0.0	6.9083327625e-13	28.0	4471.76	28.0	22.0	0.0	0.0	0.34167098999	64.0	64.0	50.0	0.0	0.0	0.0	22.0	0.0	64.0	0.0	64.0
0	0	0.0	50.0	0.0	0.0	0.460577297211	0.00622824207059	OpenOptStrategyPlacement	5531.04	0.0	1.72708319062e-12	22.0	5531.04	22.0	28.0	0.0	0.0	0.521039009094	80.0	80.0	50.0	0.0	0.0	0.0	28.0	0.0	80.0	0.0	80.0
0	0	0.0	50.0	0.0	0.0	0.673755629857	0.00927501784461	OpenOptStrategyPlacement	6578.08	0.0	6.9083327625e-13	16.0	6578.08	16.0	34.0	0.0	0.0	0.76677107811	96.0	96.0	50.0	0.0	0.0	0.0	34.0	0.0	96.0	0.0	96.0
0	0	0.0	50.0	0.0	0.0	0.879524556796	0.010035082887	OpenOptStrategyPlacement	8331.16	0.0	1.3816665525e-12	9.0	8331.16	9.0	41.0	0.0	0.0	0.967667102814	112.0	112.0	50.0	0.0	0.0	0.0	41.0	0.0	112.0	0.0	112.0
0	0	0.0	50.0	0.0	0.0	1.03467339675	0.0120790338156	OpenOptStrategyPlacement	8842.92	0.0	2.763333105e-12	7.0	8842.92	7.0	43.0	0.0	0.0	1.12527608871	128.0	128.0	50.0	0.0	0.0	0.0	43.0	0.0	128.0	0.0	128.0
0	0	0.0	50.0	0.0	0.0	1.54074524244	0.0129987267004	OpenOptStrategyPlacement	9998.56	0.0	0.0	2.0	9998.56	2.0	48.0	0.0	0.0	1.65511202812	144.0	144.0	50.0	0.0	0.0	0.0	48.0	0.0	144.0	0.0	144.0
0	0	0.0	50.0	0.0	0.0	1.77902953625	0.0137954375093	OpenOptStrategyPlacement	10640.88	0.0	1.3816665525e-12	0.0	10640.88	0.0	50.0	0.0	0.0	1.8839840889	159.0	159.0	50.0	1.0	0.0	1.0	50.0	0.0	160.0	0.0	160.0
0	0	0.0	50.0	0.0	0.0	2.17206258774	0.0169286883671	OpenOptStrategyPlacement	10609.6	0.0	6.9083327625e-13	0.0	10609.6	0.0	50.0	0.0	0.0	2.35138082504	166.0	166.0	50.0	10.0	0.0	10.0	50.0	0.0	176.0	0.0	176.0
0	0	0.0	50.0	0.0	0.0	2.32374434471	0.0169323524725	OpenOptStrategyPlacement	10934.64	0.0	2.07249982875e-12	0.0	10934.64	0.0	50.0	0.0	0.0	2.4754588604	179.0	179.0	50.0	13.0	0.0	13.0	50.0	0.0	192.0	0.0	192.0
0	0	0.0	50.0	0.0	0.0	2.49540459315	0.0213040430881	OpenOptStrategyPlacement	11127.76	0.0	2.07249982875e-12	0.0	11127.76	0.0	50.0	0.0	0.0	2.63814306259	192.0	192.0	50.0	16.0	0.0	16.0	50.0	0.0	208.0	0.0	208.0
0	0	0.0	50.0	0.0	0.0	3.57154808839	0.0308310540251	OpenOptStrategyPlacement	11169.92	0.0	0.0	0.0	11169.92	0.0	50.0	0.0	0.0	3.71653103828	200.0	200.0	50.0	24.0	0.0	24.0	50.0	0.0	224.0	0.0	224.0
0	0	0.0	50.0	0.0	0.0	3.23173123995	0.0278446520291	OpenOptStrategyPlacement	11074.72	0.0	1.3816665525e-12	0.0	11074.72	0.0	50.0	0.0	0.0	3.46904397011	208.0	208.0	50.0	32.0	0.0	32.0	50.0	0.0	240.0	0.0	240.0
0	0	0.0	50.0	0.0	0.0	3.74088814259	0.0580335442173	OpenOptStrategyPlacement	11233.84	0.0	6.9083327625e-13	0.0	11233.84	0.0	50.0	0.0	0.0	4.30887317657	214.0	214.0	50.0	42.0	0.0	42.0	50.0	0.0	256.0	0.0	256.0
0	0	0.0	50.0	0.0	0.0	4.28680036863	0.0684668062188	OpenOptStrategyPlacement	11233.84	0.0	0.0	0.0	11233.84	0.0	50.0	0.0	0.0	5.02781701088	222.0	222.0	50.0	50.0	0.0	50.0	50.0	0.0	272.0	0.0	272.0
0	0	0.0	50.0	0.0	0.0	4.61548545361	0.066040961493	OpenOptStrategyPlacement	11096.48	0.0	0.0	0.0	11096.48	0.0	50.0	0.0	0.0	5.12217402458	231.0	231.0	50.0	57.0	0.0	57.0	50.0	0.0	288.0	0.0	288.0
