strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.33874924501	30.0	0.0	16.7333333333	0.0038990577062	0.000291671646808	EnergyUnawareStrategyPlacement	4756.88	0.0	6.9104845982	0.0	4721.52	0.0	11.0	15.0	0.0	0.00322103500366	16.0	16.0	30.0	0.0	0.0	0.0	13.2666666667	0.0	16.0	0.33874924501	16.0
0	0	0.490306278256	30.0	0.0	5.0	0.0102539221446	0.00021193231406	EnergyUnawareStrategyPlacement	5232.88	0.0	10.0022480764	0.0	5171.68	0.0	22.0	2.0	0.0	0.00950002670288	32.0	32.0	30.0	0.0	0.0	0.0	25.0	0.0	32.0	0.490306278256	32.0
0	0	0.0	30.0	0.0	0.0	0.0207037528356	0.000590292719995	EnergyUnawareStrategyPlacement	5601.984	0.0	40.3195459907	0.0	5419.2	0.0	30.0	0.0	0.64861423926	0.0180559158325	39.5	43.0	30.0	5.0	0.64861423926	8.5	30.0	0.0	48.0	0.0	48.0
0	0	0.0	30.0	0.0	0.0	0.0308257897695	0.000618470824115	EnergyUnawareStrategyPlacement	5501.208	0.0	64.7580349814	0.0	5208.4	0.0	30.0	0.0	0.762106944948	0.0290758609772	40.2	45.0	30.0	19.0	0.762106944948	23.8	30.0	0.0	64.0	0.0	64.0
0	0	0.0	30.0	0.0	0.0	0.0399548689524	0.00047261164109	EnergyUnawareStrategyPlacement	5343.584	0.0	73.5228177799	0.0	4910.56	0.0	30.0	0.0	0.850084196402	0.0375158786774	42.7	46.0	30.0	34.0	0.850084196402	37.3	30.0	0.0	80.0	0.0	80.0
0	0	0.0	30.0	0.0	0.0	0.0500039339066	0.000493450883217	EnergyUnawareStrategyPlacement	5313.30133333	0.0	74.1149389416	0.0	4854.8	0.0	30.0	0.0	1.21723738547	0.0467898845673	43.1666666667	52.0	30.0	44.0	1.21723738547	52.8333333333	30.0	0.0	96.0	0.0	96.0
0	0	0.0	30.0	0.0	0.0	0.0605550686518	0.000448679382931	EnergyUnawareStrategyPlacement	5335.10666667	0.0	84.1983181484	0.0	4971.76	0.0	30.0	0.0	1.28131706332	0.0577750205994	42.4666666667	49.0	30.0	63.0	1.28131706332	69.5333333333	30.0	0.0	112.0	0.0	112.0
0	0	0.0	30.0	0.0	0.0	0.0700787623723	0.000449853540297	EnergyUnawareStrategyPlacement	5253.23466667	0.0	89.6479704274	0.0	4924.16	0.0	30.0	0.0	1.2470883401	0.0670599937439	43.1333333333	51.0	30.0	77.0	1.2470883401	84.8666666667	30.0	0.0	128.0	0.0	128.0
0	0	0.0	30.0	0.0	0.0	0.0800935427348	0.000503472833573	EnergyUnawareStrategyPlacement	5185.37066667	0.0	68.5013633717	0.0	4702.48	0.0	30.0	0.0	1.20931171865	0.0770330429077	43.1666666667	52.0	30.0	92.0	1.20931171865	100.833333333	30.0	0.0	144.0	0.0	144.0
0	0	0.0	30.0	0.0	0.0	0.0902191321055	0.00073657708997	EnergyUnawareStrategyPlacement	5285.24	0.0	77.5815466889	0.0	4775.92	0.0	30.0	0.0	1.20738854341	0.0873358249664	42.6	51.0	30.0	109.0	1.20738854341	117.4	30.0	0.0	160.0	0.0	160.0
0	0	0.0	30.0	0.0	0.0	0.100515055656	0.000543146233291	EnergyUnawareStrategyPlacement	5208.21866667	0.0	95.5451756086	0.0	4445.44	0.0	30.0	0.0	1.37804269908	0.0976638793945	42.6333333333	50.0	30.0	126.0	1.37804269908	133.366666667	30.0	0.0	176.0	0.0	176.0
0	0	0.0	30.0	0.0	0.0	0.109885414441	0.000502109178172	EnergyUnawareStrategyPlacement	5283.15466667	0.0	69.250299946	0.0	4784.08	0.0	30.0	0.0	0.922418888451	0.107272148132	42.0333333333	49.0	30.0	143.0	0.922418888451	149.966666667	30.0	0.0	192.0	0.0	192.0
0	0	0.0	30.0	0.0	0.0	0.120057201385	0.00076867375576	EnergyUnawareStrategyPlacement	5284.968	0.0	78.0684870787	0.0	4891.52	0.0	30.0	0.0	1.3613690292	0.114523887634	44.4666666667	51.0	30.0	157.0	1.3613690292	163.533333333	30.0	0.0	208.0	0.0	208.0
0	0	0.0	30.0	0.0	0.0	0.131928300858	0.00112541645989	EnergyUnawareStrategyPlacement	5182.288	0.0	62.5595321588	0.0	4853.44	0.0	30.0	0.0	0.993923913725	0.127447843552	43.4666666667	48.0	30.0	176.0	0.993923913725	180.533333333	30.0	0.0	224.0	0.0	224.0
0	0	0.0	30.0	0.0	0.0	0.142144481341	0.000984755124543	EnergyUnawareStrategyPlacement	5214.61066667	0.0	92.9612744386	0.0	4683.44	0.0	30.0	0.0	0.972736022883	0.137979984283	44.2	49.0	30.0	191.0	0.972736022883	195.8	30.0	0.0	240.0	0.0	240.0
0	0	0.0	30.0	0.0	0.0	0.152005441984	0.000750202292327	EnergyUnawareStrategyPlacement	5222.86133333	0.0	90.7150397608	0.0	4709.28	0.0	30.0	0.0	0.982979513565	0.147453069687	43.0333333333	48.0	30.0	208.0	0.982979513565	212.966666667	30.0	0.0	256.0	0.0	256.0
0	0	0.0	30.0	0.0	0.0	0.164693856239	0.000920540973406	EnergyUnawareStrategyPlacement	5112.02133333	0.0	89.6301378403	0.0	4673.92	0.0	30.0	0.0	1.16413758763	0.160121917725	44.2666666667	51.0	30.0	221.0	1.16413758763	227.733333333	30.0	0.0	272.0	0.0	272.0
