#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
50	16	14	0	36	16	0	7429.919999999992	EnergyUnawareStrategyPlacement	0.0037949085235595703
50	32	23	0	27	32	0	7961.67999999999	EnergyUnawareStrategyPlacement	0.009536981582641602
50	48	40	0	10	48	0	8653.919999999995	EnergyUnawareStrategyPlacement	0.022923946380615234
50	64	46	0	4	64	0	9274.08	EnergyUnawareStrategyPlacement	0.032926082611083984
50	80	50	0	0	70	10	8785.84	EnergyUnawareStrategyPlacement	0.050501108169555664
50	96	50	0	0	70	26	9110.88	EnergyUnawareStrategyPlacement	0.0658881664276123
50	112	50	0	0	71	41	9006.159999999998	EnergyUnawareStrategyPlacement	0.08395099639892578
50	128	50	0	0	65	63	8788.56	EnergyUnawareStrategyPlacement	0.10178208351135254
50	144	50	0	0	70	74	8485.28	EnergyUnawareStrategyPlacement	0.11404109001159668
50	160	50	0	0	75	85	8679.759999999998	EnergyUnawareStrategyPlacement	0.13164782524108887
50	176	50	0	0	72	104	8864.720000000001	EnergyUnawareStrategyPlacement	0.1482841968536377
50	192	50	0	0	72	120	8198.319999999998	EnergyUnawareStrategyPlacement	0.1639690399169922
50	208	50	0	0	65	143	8906.879999999996	EnergyUnawareStrategyPlacement	0.19724082946777344
50	224	50	0	0	75	149	8610.4	EnergyUnawareStrategyPlacement	0.2027599811553955
50	240	50	0	0	74	166	8716.480000000001	EnergyUnawareStrategyPlacement	0.22335481643676758
50	256	50	0	0	69	187	8697.440000000002	EnergyUnawareStrategyPlacement	0.246873140335083
50	272	50	0	0	73	199	8522.0	EnergyUnawareStrategyPlacement	0.25979113578796387
50	288	50	0	0	74	214	8723.28	EnergyUnawareStrategyPlacement	0.27390408515930176
