strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.445972126112	70.0	0.0	56.2333333333	0.00427494049072	0.000234646045001	EnergyUnawareStrategyPlacement	10122.68	0.0	9.09783137269	0.0	10179.12	0.0	16.0	59.0	0.0	0.00576496124268	16.0	16.0	70.0	0.0	0.0	0.0	13.7666666667	0.0	16.0	0.445972126112	16.0
0	0	0.538444702153	70.0	0.0	45.7	0.0111982981364	0.000735239564318	EnergyUnawareStrategyPlacement	10623.16	0.0	10.9842719239	0.0	10670.08	0.0	28.0	48.0	0.0	0.0179948806763	32.0	32.0	70.0	0.0	0.0	0.0	24.3	0.0	32.0	0.538444702153	32.0
0	0	0.379789610046	70.0	0.0	33.0	0.0217134952545	0.000693752602165	EnergyUnawareStrategyPlacement	11403.12	0.0	7.74770804493	0.0	11443.92	0.0	39.0	35.0	0.0	0.0299370288849	48.0	48.0	70.0	0.0	0.0	0.0	37.0	0.0	48.0	0.379789610046	48.0
0	0	0.639155812158	70.0	0.0	21.0333333333	0.0367431402206	0.000523073691116	EnergyUnawareStrategyPlacement	11901.56	0.0	13.038778568	0.0	11982.48	0.0	54.0	25.0	0.0	0.0392301082611	64.0	64.0	70.0	0.0	0.0	0.0	48.9666666667	0.0	64.0	0.639155812158	64.0
0	0	0.836016536908	70.0	0.0	11.2333333333	0.0538906097412	0.0010921965534	EnergyUnawareStrategyPlacement	12111.0	0.0	17.0547373529	0.0	12208.24	0.0	62.0	16.0	0.0	0.0626389980316	80.0	80.0	70.0	0.0	0.0	0.0	58.7666666667	0.0	80.0	0.836016536908	80.0
0	0	0.354696295912	70.0	0.0	0.833333333333	0.075053580602	0.00116944231482	EnergyUnawareStrategyPlacement	12549.2373333	0.0	51.895282886	0.0	12697.84	0.0	70.0	3.0	0.641158655491	0.0813090801239	94.5	91.0	70.0	5.0	0.641158655491	1.5	69.1666666667	0.0	96.0	0.354696295912	96.0
0	0	0.0	70.0	0.0	0.0	0.101064221064	0.00128159624512	EnergyUnawareStrategyPlacement	12361.24	0.0	76.1429451731	0.0	12763.12	0.0	70.0	0.0	1.11584632008	0.10967707634	93.9666666667	86.0	70.0	26.0	1.11584632008	18.0333333333	70.0	0.0	112.0	0.0	112.0
0	0	0.0	70.0	0.0	0.0	0.123834466934	0.00175700957307	EnergyUnawareStrategyPlacement	12291.7893333	0.0	106.646767543	0.0	12997.04	0.0	70.0	0.0	1.70619070395	0.136343955994	95.5333333333	89.0	70.0	39.0	1.70619070395	32.4666666667	70.0	0.0	128.0	0.0	128.0
0	0	0.0	70.0	0.0	0.0	0.145070735614	0.0019575968539	EnergyUnawareStrategyPlacement	12273.792	0.0	94.2092036241	0.0	13041.92	0.0	70.0	0.0	1.4869570271	0.158617973328	98.2666666667	90.0	70.0	54.0	1.4869570271	45.7333333333	70.0	0.0	144.0	0.0	144.0
0	0	0.0	70.0	0.0	0.0	0.168730362256	0.00172471529313	EnergyUnawareStrategyPlacement	12387.896	0.0	115.40368262	0.0	13101.76	0.0	70.0	0.0	1.2033998026	0.175415039062	98.6	92.0	70.0	68.0	1.2033998026	61.4	70.0	0.0	160.0	0.0	160.0
