#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
20	16	11	9	0	16	0	2294.52	EvolutionaryComputationStrategyPlacement	1.243682861328125
20	32	19	1	0	32	0	3881.879999999999	EvolutionaryComputationStrategyPlacement	2.3805530071258545
20	48	20	0	0	37	11	3999.04	EvolutionaryComputationStrategyPlacement	3.10840106010437
20	64	20	0	0	47	17	4235.68	EvolutionaryComputationStrategyPlacement	3.5379159450531006
20	80	20	0	0	56	24	4106.479999999999	EvolutionaryComputationStrategyPlacement	4.223311901092529
20	96	20	0	0	56	40	4086.0799999999995	EvolutionaryComputationStrategyPlacement	4.9141809940338135
20	112	20	0	0	42	70	3344.879999999999	EvolutionaryComputationStrategyPlacement	5.997292995452881
20	128	20	0	0	44	84	3630.4799999999996	EvolutionaryComputationStrategyPlacement	6.603755950927734
20	144	20	0	0	47	97	3538.0000000000005	EvolutionaryComputationStrategyPlacement	7.258785009384155
20	160	20	0	0	46	114	3422.4	EvolutionaryComputationStrategyPlacement	7.968159198760986
20	176	20	0	0	46	130	3633.1999999999994	EvolutionaryComputationStrategyPlacement	8.729882955551147
20	192	20	0	0	46	146	3945.999999999999	EvolutionaryComputationStrategyPlacement	9.328069925308228
20	208	20	0	0	47	161	3831.7599999999998	EvolutionaryComputationStrategyPlacement	10.025160074234009
20	224	20	0	0	50	174	3646.8	EvolutionaryComputationStrategyPlacement	10.61758303642273
20	240	20	0	0	49	191	3525.76	EvolutionaryComputationStrategyPlacement	11.297470092773438
20	256	20	0	0	53	203	3810.0	EvolutionaryComputationStrategyPlacement	11.845057010650635
20	272	20	0	0	52	220	3708.0	EvolutionaryComputationStrategyPlacement	12.575304985046387
20	288	20	0	0	58	230	3926.96	EvolutionaryComputationStrategyPlacement	13.057340860366821
