strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	80.0	0.0	0.0	0.117089875539	0.000451431383099	OpenOptStrategyPlacement	2594.52	0.0	8.63541595312e-13	69.0	2594.52	69.0	11.0	0.0	0.0	0.119832038879	16.0	16.0	80.0	0.0	0.0	0.0	11.0	0.0	16.0	0.0	16.0
0	0	0.0	80.0	0.0	0.0	0.175587232908	0.000646941587652	OpenOptStrategyPlacement	4181.88	0.0	6.9083327625e-13	61.0	4181.88	61.0	19.0	0.0	0.0	0.179678916931	32.0	32.0	80.0	0.0	0.0	0.0	19.0	0.0	32.0	0.0	32.0
0	0	0.0	80.0	0.0	0.0	0.366173068682	0.00218336215131	OpenOptStrategyPlacement	6419.92	0.0	6.9083327625e-13	50.0	6419.92	50.0	30.0	0.0	0.0	0.389338970184	48.0	48.0	80.0	0.0	0.0	0.0	30.0	0.0	48.0	0.0	48.0
0	0	0.0	80.0	0.0	0.0	0.542412646612	0.00311722565583	OpenOptStrategyPlacement	7925.48	0.0	1.3816665525e-12	43.0	7925.48	43.0	37.0	0.0	0.0	0.560914993286	64.0	64.0	80.0	0.0	0.0	0.0	37.0	0.0	64.0	0.0	64.0
0	0	0.0	80.0	0.0	0.0	0.71412610213	0.00494749887585	OpenOptStrategyPlacement	8770.84	0.0	6.9083327625e-13	39.0	8770.84	39.0	41.0	0.0	0.0	0.752923965454	80.0	80.0	80.0	0.0	0.0	0.0	41.0	0.0	80.0	0.0	80.0
0	0	0.0	80.0	0.0	0.0	0.996457775434	0.0090485734431	OpenOptStrategyPlacement	10615.64	0.0	3.45416638125e-12	29.0	10615.64	29.0	51.0	0.0	0.0	1.05399990082	96.0	96.0	80.0	0.0	0.0	0.0	51.0	0.0	96.0	0.0	96.0
0	0	0.0	80.0	0.0	0.0	1.41702471574	0.0122919115703	OpenOptStrategyPlacement	12588.48	0.0	0.0	18.0	12588.48	18.0	62.0	0.0	0.0	1.47589015961	112.0	112.0	80.0	0.0	0.0	0.0	62.0	0.0	112.0	0.0	112.0
0	0	0.0	80.0	0.0	0.0	1.72940763632	0.0151120749546	OpenOptStrategyPlacement	13876.24	0.0	1.3816665525e-12	12.0	13876.24	12.0	68.0	0.0	0.0	1.7969121933	128.0	128.0	80.0	0.0	0.0	0.0	68.0	0.0	128.0	0.0	128.0
0	0	0.0	80.0	0.0	0.0	2.19718737602	0.0167053014576	OpenOptStrategyPlacement	15474.68	0.0	0.0	3.0	15474.68	3.0	77.0	0.0	0.0	2.27002477646	144.0	144.0	80.0	0.0	0.0	0.0	77.0	0.0	144.0	0.0	144.0
0	0	0.0	80.0	0.0	0.0	2.58527334531	0.0184989143009	OpenOptStrategyPlacement	16462.64	0.0	2.763333105e-12	0.0	16462.64	0.0	80.0	0.0	0.0	2.66987013817	156.0	156.0	80.0	4.0	0.0	4.0	80.0	0.0	160.0	0.0	160.0
0	0	0.0	80.0	0.0	0.0	3.06313725313	0.034693774871	OpenOptStrategyPlacement	16843.44	0.0	2.763333105e-12	0.0	16843.44	0.0	80.0	0.0	0.0	3.21092009544	164.0	164.0	80.0	12.0	0.0	12.0	80.0	0.0	176.0	0.0	176.0
0	0	0.0	80.0	0.0	0.0	3.59731768767	0.0405854571839	OpenOptStrategyPlacement	16167.52	0.0	2.07249982875e-12	0.0	16167.52	0.0	80.0	0.0	0.0	3.76560997963	170.0	170.0	80.0	22.0	0.0	22.0	80.0	0.0	192.0	0.0	192.0
0	0	0.0	80.0	0.0	0.0	4.2421088775	0.0241393957405	OpenOptStrategyPlacement	16212.4	0.0	4.1449996575e-12	0.0	16212.4	0.0	80.0	0.0	0.0	4.3436858654	177.0	177.0	80.0	31.0	0.0	31.0	80.0	0.0	208.0	0.0	208.0
0	0	0.0	80.0	0.0	0.0	4.72864453793	0.0170721445663	OpenOptStrategyPlacement	16145.76	0.0	2.07249982875e-12	0.0	16145.76	0.0	80.0	0.0	0.0	4.8202548027	186.0	186.0	80.0	38.0	0.0	38.0	80.0	0.0	224.0	0.0	224.0
0	0	0.0	80.0	0.0	0.0	5.17003401121	0.0161588295412	OpenOptStrategyPlacement	16886.96	0.0	2.763333105e-12	0.0	16886.96	0.0	80.0	0.0	0.0	5.25204706192	196.0	196.0	80.0	44.0	0.0	44.0	80.0	0.0	240.0	0.0	240.0
0	0	0.0	80.0	0.0	0.0	5.93125041326	0.0151765282834	OpenOptStrategyPlacement	16888.32	0.0	0.0	0.0	16888.32	0.0	80.0	0.0	0.0	6.02607703209	202.0	202.0	80.0	54.0	0.0	54.0	80.0	0.0	256.0	0.0	256.0
0	0	0.0	80.0	0.0	0.0	6.39963252544	0.0147387121448	OpenOptStrategyPlacement	16974.0	0.0	0.0	0.0	16974.0	0.0	80.0	0.0	0.0	6.48376703262	212.0	212.0	80.0	60.0	0.0	60.0	80.0	0.0	272.0	0.0	272.0
0	0	0.0	80.0	0.0	0.0	7.0225859642	0.0170207340424	OpenOptStrategyPlacement	17383.36	0.0	4.1449996575e-12	0.0	17383.36	0.0	80.0	0.0	0.0	7.15052103996	220.0	220.0	80.0	68.0	0.0	68.0	80.0	0.0	288.0	0.0	288.0
