strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	100.0	0.0	0.0	0.116931080818	0.00040915060828	OpenOptStrategyPlacement	2694.52	0.0	8.63541595312e-13	89.0	2694.52	89.0	11.0	0.0	0.0	0.116931080818	16.0	16.0	100.0	0.0	0.0	0.0	11.0	0.0	16.0	0.0	16.0
0	0	0.0	100.0	0.0	0.0	0.174739511808	0.000717846623818	OpenOptStrategyPlacement	4281.88	0.0	6.9083327625e-13	81.0	4281.88	81.0	19.0	0.0	0.0	0.174739511808	32.0	32.0	100.0	0.0	0.0	0.0	19.0	0.0	32.0	0.0	32.0
0	0	0.0	100.0	0.0	0.0	0.362774308523	0.00176092170718	OpenOptStrategyPlacement	6519.92	0.0	6.9083327625e-13	70.0	6519.92	70.0	30.0	0.0	0.0	0.362774308523	48.0	48.0	100.0	0.0	0.0	0.0	30.0	0.0	48.0	0.0	48.0
0	0	0.0	100.0	0.0	0.0	0.537207539876	0.00261961735231	OpenOptStrategyPlacement	8025.48	0.0	1.3816665525e-12	63.0	8025.48	63.0	37.0	0.0	0.0	0.537207539876	64.0	64.0	100.0	0.0	0.0	0.0	37.0	0.0	64.0	0.0	64.0
0	0	0.0	100.0	0.0	0.0	0.708246898651	0.00392844447336	OpenOptStrategyPlacement	8870.84	0.0	6.9083327625e-13	59.0	8870.84	59.0	41.0	0.0	0.0	0.708246898651	80.0	80.0	100.0	0.0	0.0	0.0	41.0	0.0	80.0	0.0	80.0
0	0	0.0	100.0	0.0	0.0	0.984292078018	0.00576849949807	OpenOptStrategyPlacement	10715.64	0.0	3.45416638125e-12	49.0	10715.64	49.0	51.0	0.0	0.0	0.984292078018	96.0	96.0	100.0	0.0	0.0	0.0	51.0	0.0	96.0	0.0	96.0
0	0	0.0	100.0	0.0	0.0	1.40576280753	0.0102696168238	OpenOptStrategyPlacement	12688.48	0.0	0.0	38.0	12688.48	38.0	62.0	0.0	0.0	1.40576280753	112.0	112.0	100.0	0.0	0.0	0.0	62.0	0.0	112.0	0.0	112.0
0	0	0.0	100.0	0.0	0.0	1.713529857	0.0137850284748	OpenOptStrategyPlacement	13976.24	0.0	1.3816665525e-12	32.0	13976.24	32.0	68.0	0.0	0.0	1.713529857	128.0	128.0	100.0	0.0	0.0	0.0	68.0	0.0	128.0	0.0	128.0
0	0	0.0	100.0	0.0	0.0	2.18072537581	0.0185364565191	OpenOptStrategyPlacement	15574.68	0.0	0.0	23.0	15574.68	23.0	77.0	0.0	0.0	2.18072537581	144.0	144.0	100.0	0.0	0.0	0.0	77.0	0.0	144.0	0.0	144.0
0	0	0.0	100.0	0.0	0.0	2.58450761636	0.0196981603746	OpenOptStrategyPlacement	17365.84	0.0	5.52666621e-12	16.0	17365.84	16.0	84.0	0.0	0.0	2.58450761636	160.0	160.0	100.0	0.0	0.0	0.0	84.0	0.0	160.0	0.0	160.0
0	0	0.0	100.0	0.0	0.0	3.11806097031	0.0299357359592	OpenOptStrategyPlacement	18866.16	0.0	2.763333105e-12	8.0	18866.16	8.0	92.0	0.0	0.0	3.11806097031	176.0	176.0	100.0	0.0	0.0	0.0	92.0	0.0	176.0	0.0	176.0
0	0	0.0	100.0	0.0	0.0	3.76021231016	0.0428661074285	OpenOptStrategyPlacement	20294.4	0.0	2.763333105e-12	0.0	20294.4	0.0	100.0	0.0	0.0	3.76021231016	190.0	190.0	100.0	2.0	0.0	2.0	100.0	0.0	192.0	0.0	192.0
0	0	0.0	100.0	0.0	0.0	4.55645239353	0.0266799606327	OpenOptStrategyPlacement	20219.6	0.0	4.1449996575e-12	0.0	20219.6	0.0	100.0	0.0	0.0	4.55645239353	197.0	197.0	100.0	11.0	0.0	11.0	100.0	0.0	208.0	0.0	208.0
0	0	0.0	100.0	0.0	0.0	5.11946747303	0.0196966945326	OpenOptStrategyPlacement	19992.48	0.0	2.763333105e-12	0.0	19992.48	0.0	100.0	0.0	0.0	5.11946747303	206.0	206.0	100.0	18.0	0.0	18.0	100.0	0.0	224.0	0.0	224.0
0	0	0.0	100.0	0.0	0.0	5.63719480038	0.0196702614477	OpenOptStrategyPlacement	20472.56	0.0	1.3816665525e-12	0.0	20472.56	0.0	100.0	0.0	0.0	5.63719480038	216.0	216.0	100.0	24.0	0.0	24.0	100.0	0.0	240.0	0.0	240.0
0	0	0.0	100.0	0.0	0.0	6.48271884123	0.0214138882467	OpenOptStrategyPlacement	20520.16	0.0	5.52666621e-12	0.0	20520.16	0.0	100.0	0.0	0.0	6.48271884123	222.0	222.0	100.0	34.0	0.0	34.0	100.0	0.0	256.0	0.0	256.0
0	0	0.0	100.0	0.0	0.0	7.04039357503	0.0246612310699	OpenOptStrategyPlacement	20495.68	0.0	2.763333105e-12	0.0	20495.68	0.0	100.0	0.0	0.0	7.04039357503	232.0	232.0	100.0	40.0	0.0	40.0	100.0	0.0	272.0	0.0	272.0
0	0	0.0	100.0	0.0	0.0	7.71464936733	0.0283390221168	OpenOptStrategyPlacement	21130.8	0.0	0.0	0.0	21130.8	0.0	100.0	0.0	0.0	7.71464936733	240.0	240.0	100.0	48.0	0.0	48.0	100.0	0.0	288.0	0.0	288.0
