#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
80	16	13	0	67	16	0	11805.99999999998	EnergyUnawareStrategyPlacement	0.004044055938720703
80	32	30	0	50	32	0	12616.559999999983	EnergyUnawareStrategyPlacement	0.013632059097290039
80	48	46	0	34	48	0	13686.879999999988	EnergyUnawareStrategyPlacement	0.027975082397460938
80	64	60	0	20	64	0	14354.639999999992	EnergyUnawareStrategyPlacement	0.04456782341003418
80	80	75	0	5	80	0	15390.959999999994	EnergyUnawareStrategyPlacement	0.0684058666229248
80	96	80	0	0	87	9	15490.239999999996	EnergyUnawareStrategyPlacement	0.0969851016998291
80	112	80	0	0	87	25	15589.519999999999	EnergyUnawareStrategyPlacement	0.1197199821472168
80	128	80	0	0	87	41	15324.319999999996	EnergyUnawareStrategyPlacement	0.1495048999786377
80	144	80	0	0	88	56	15464.4	EnergyUnawareStrategyPlacement	0.17325592041015625
80	160	80	0	0	89	71	15139.36	EnergyUnawareStrategyPlacement	0.19936394691467285
80	176	80	0	0	89	87	15203.279999999999	EnergyUnawareStrategyPlacement	0.22742795944213867
80	192	80	0	0	87	105	14647.039999999999	EnergyUnawareStrategyPlacement	0.2554779052734375
80	208	80	0	0	90	118	14800.72	EnergyUnawareStrategyPlacement	0.28069591522216797
80	224	80	0	0	88	136	15294.399999999998	EnergyUnawareStrategyPlacement	0.31096410751342773
80	240	80	0	0	91	149	14882.320000000003	EnergyUnawareStrategyPlacement	0.33750295639038086
80	256	80	0	0	88	168	14550.48	EnergyUnawareStrategyPlacement	0.372387170791626
80	272	80	0	0	88	184	14683.760000000002	EnergyUnawareStrategyPlacement	0.4022560119628906
80	288	80	0	0	86	202	13923.519999999995	EnergyUnawareStrategyPlacement	0.4328639507293701
