strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	50.0	0.0	0.0	1.41358114878	0.02191495422	EvolutionaryComputationStrategyPlacement	2906.26666667	0.167949284773	18.3064720402	37.7333333333	2877.2	38.0	12.0	0.0	0.0	1.341588974	16.0	16.0	50.0	0.0	0.0	0.0	12.2666666667	0.0	16.0	0.167949284773	16.0
0	0	0.0	50.0	0.0	0.0	3.28793075085	0.034218877669	EvolutionaryComputationStrategyPlacement	5469.72666667	0.198154923216	21.5988866305	24.8333333333	5342.56	26.0	24.0	0.0	0.0	3.09586501122	32.0	32.0	50.0	0.0	0.0	0.0	25.1666666667	0.0	32.0	0.198154923216	32.0
0	0	0.0	50.0	0.0	0.0	5.5848716259	0.05382910986	EvolutionaryComputationStrategyPlacement	8287.08	0.300650116719	32.7708627224	11.8	8156.28	13.0	37.0	0.0	0.0	5.35642886162	48.0	48.0	50.0	0.0	0.0	0.0	38.2	0.0	48.0	0.300650116719	48.0
0	0	0.0	50.0	0.0	0.0	7.7924232165	0.0763753441137	EvolutionaryComputationStrategyPlacement	10366.78	0.349232098167	36.6142825551	1.43333333333	10090.64	4.0	46.0	0.0	0.0681743214044	7.17918014526	63.9666666667	64.0	50.0	0.0	0.0681743214044	0.0333333333333	48.5666666667	0.0	64.0	0.349232098167	64.0
0	0	0.0	50.0	0.0	0.0	9.69671181838	0.0571665292326	EvolutionaryComputationStrategyPlacement	10588.6106667	0.0	48.3087635284	0.0	10337.6	0.0	50.0	0.0	0.388962579771	9.27610898018	66.8666666667	69.0	50.0	11.0	0.388962579771	13.1333333333	50.0	0.0	80.0	0.0	80.0
0	0	0.0	50.0	0.0	0.0	11.435791413	0.0588382494547	EvolutionaryComputationStrategyPlacement	10411.4026667	0.0	67.7640388309	0.0	10073.76	0.0	50.0	0.0	0.479732393438	11.1236069202	70.0666666667	72.0	50.0	24.0	0.479732393438	25.9333333333	50.0	0.0	96.0	0.0	96.0
0	0	0.0	50.0	0.0	0.0	13.2917721589	0.0889545415933	EvolutionaryComputationStrategyPlacement	10178.2533333	0.0	132.367774586	0.0	9483.52	0.0	50.0	0.0	0.991987067622	12.8750081062	70.6666666667	75.0	50.0	37.0	0.991987067622	41.3333333333	50.0	0.0	112.0	0.0	112.0
0	0	0.0	50.0	0.0	0.0	14.8931430101	0.0908467640643	EvolutionaryComputationStrategyPlacement	10076.888	0.0	93.7792677185	0.0	9569.2	0.0	50.0	0.0	0.916405038415	14.4087810516	71.6666666667	76.0	50.0	52.0	0.916405038415	56.3333333333	50.0	0.0	128.0	0.0	128.0
0	0	0.0	50.0	0.0	0.0	16.5567761103	0.0782338471135	EvolutionaryComputationStrategyPlacement	10005.488	0.0	110.51074668	0.0	9323.04	0.0	50.0	0.0	0.782546842844	16.2480168343	71.4333333333	75.0	50.0	69.0	0.782546842844	72.5666666667	50.0	0.0	144.0	0.0	144.0
0	0	0.0	50.0	0.0	0.0	18.1530205886	0.0819889723211	EvolutionaryComputationStrategyPlacement	9837.664	0.0	89.9460718986	0.0	9216.96	0.0	50.0	0.0	0.945329492636	17.7895429134	72.9333333333	77.0	50.0	83.0	0.945329492636	87.0666666667	50.0	0.0	160.0	0.0	160.0
