#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
60	16	12	48	0	16	0	2927.2	EvolutionaryComputationStrategyPlacement	1.3979651927947998
60	32	26	34	0	32	0	5610.5599999999995	EvolutionaryComputationStrategyPlacement	3.4377689361572266
60	48	39	21	0	48	0	8424.279999999999	EvolutionaryComputationStrategyPlacement	5.7377400398254395
60	64	48	12	0	64	0	10358.64	EvolutionaryComputationStrategyPlacement	7.818974018096924
60	80	60	0	0	77	3	12686.639999999998	EvolutionaryComputationStrategyPlacement	11.013000011444092
60	96	60	0	0	80	16	12312.64	EvolutionaryComputationStrategyPlacement	12.805477857589722
60	112	60	0	0	84	28	12581.920000000002	EvolutionaryComputationStrategyPlacement	14.907812118530273
60	128	60	0	0	81	47	11933.199999999995	EvolutionaryComputationStrategyPlacement	17.280027866363525
60	144	60	0	0	81	63	11895.120000000004	EvolutionaryComputationStrategyPlacement	19.177683115005493
60	160	60	0	0	90	70	12002.56	EvolutionaryComputationStrategyPlacement	20.77616786956787
60	176	60	0	0	86	90	12046.08	EvolutionaryComputationStrategyPlacement	23.238579988479614
60	192	60	0	0	90	102	11846.159999999993	EvolutionaryComputationStrategyPlacement	25.01646900177002
60	208	60	0	0	84	124	11249.119999999999	EvolutionaryComputationStrategyPlacement	27.353199005126953
60	224	60	0	0	89	135	11821.679999999997	EvolutionaryComputationStrategyPlacement	28.839735984802246
60	240	60	0	0	95	145	11836.639999999998	EvolutionaryComputationStrategyPlacement	30.82355499267578
60	256	60	0	0	95	161	12047.439999999999	EvolutionaryComputationStrategyPlacement	32.58620595932007
60	272	60	0	0	93	179	11087.279999999999	EvolutionaryComputationStrategyPlacement	34.727885007858276
60	288	60	0	0	94	194	11673.440000000002	EvolutionaryComputationStrategyPlacement	36.53339910507202
