strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	90.0	0.0	0.0	1.43443277677	0.0235420258633	EvolutionaryComputationStrategyPlacement	3113.53333333	0.179034539125	19.5147647646	77.6666666667	3186.2	77.0	13.0	0.0	0.0	1.54588699341	16.0	16.0	90.0	0.0	0.0	0.0	12.3333333333	0.0	16.0	0.179034539125	16.0
0	0	0.0	90.0	0.0	0.0	3.31763937473	0.0331400875422	EvolutionaryComputationStrategyPlacement	5669.72666667	0.198154923216	21.5988866305	64.8333333333	5760.56	64.0	26.0	0.0	0.0	3.51201701164	32.0	32.0	90.0	0.0	0.0	0.0	25.1666666667	0.0	32.0	0.198154923216	32.0
0	0	0.0	90.0	0.0	0.0	5.65457816919	0.066241667895	EvolutionaryComputationStrategyPlacement	8505.24666667	0.317502498727	34.6077723613	51.6333333333	8683.28	50.0	40.0	0.0	0.0	5.97055482864	48.0	48.0	90.0	0.0	0.0	0.0	38.3666666667	0.0	48.0	0.317502498727	48.0
0	0	0.0	90.0	0.0	0.0	7.77723781268	0.104527555322	EvolutionaryComputationStrategyPlacement	10537.7066667	0.536506503663	58.4792088993	41.7333333333	10835.64	39.0	51.0	0.0	0.0	8.28643202782	64.0	64.0	90.0	0.0	0.0	0.0	48.2666666667	0.0	64.0	0.536506503663	64.0
0	0	0.0	90.0	0.0	0.0	11.3512927532	0.125474444337	EvolutionaryComputationStrategyPlacement	13525.9266667	0.475200973144	51.7969060727	26.6333333333	13921.96	23.0	67.0	0.0	0.0	12.3923230171	80.0	80.0	90.0	0.0	0.0	0.0	63.3666666667	0.0	80.0	0.475200973144	80.0
0	0	0.0	90.0	0.0	0.0	14.864125816	0.135137745168	EvolutionaryComputationStrategyPlacement	15846.76	0.522584615179	56.9617230545	14.2	16304.56	10.0	80.0	0.0	0.0	15.5334601402	96.0	96.0	90.0	0.0	0.0	0.0	75.8	0.0	96.0	0.522584615179	96.0
0	0	0.0	90.0	0.0	0.0	18.965428853	0.177317541633	EvolutionaryComputationStrategyPlacement	18406.084	0.53125313118	53.373689463	0.9	18551.92	0.0	90.0	0.0	0.305934354565	19.5834870338	111.466666667	110.0	90.0	2.0	0.305934354565	0.533333333333	89.1	0.0	112.0	0.53125313118	112.0
0	0	0.0	90.0	0.0	0.0	21.9421213627	0.122743602433	EvolutionaryComputationStrategyPlacement	18397.3786667	0.0	72.2403917299	0.0	18760.0	0.0	90.0	0.0	0.693975379354	22.5969429016	115.833333333	112.0	90.0	16.0	0.693975379354	12.1666666667	90.0	0.0	128.0	0.0	128.0
0	0	0.0	90.0	0.0	0.0	25.0963264306	0.174938757201	EvolutionaryComputationStrategyPlacement	18132.5866667	0.0	109.61233484	0.0	18857.92	0.0	90.0	0.0	0.982571824313	26.1461219788	117.2	112.0	90.0	32.0	0.982571824313	26.8	90.0	0.0	144.0	0.0	144.0
0	0	0.0	90.0	0.0	0.0	27.7845233838	0.188206755234	EvolutionaryComputationStrategyPlacement	18090.472	0.0	103.743637641	0.0	18656.64	0.0	90.0	0.0	1.08282599506	29.2870578766	121.733333333	116.0	90.0	44.0	1.08282599506	38.2666666667	90.0	0.0	160.0	0.0	160.0
