strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	20.0	0.0	0.0	0.132347679138	0.000612073731303	OpenOptStrategyPlacement	2836.2	0.0	6.9083327625e-13	7.0	2836.2	7.0	13.0	0.0	0.0	0.132347679138	16.0	16.0	20.0	0.0	0.0	0.0	13.0	0.0	16.0	0.0	16.0
0	0	0.0	20.0	0.0	0.0	0.236960577965	0.00182357456437	OpenOptStrategyPlacement	4262.88	0.0	6.9083327625e-13	0.0	4262.88	0.0	20.0	0.0	0.0	0.236960577965	27.0	27.0	20.0	5.0	0.0	5.0	20.0	0.0	32.0	0.0	32.0
0	0	0.0	20.0	0.0	0.0	0.359272869428	0.00264313567523	OpenOptStrategyPlacement	4343.12	0.0	6.9083327625e-13	0.0	4343.12	0.0	20.0	0.0	0.0	0.359272869428	30.0	30.0	20.0	18.0	0.0	18.0	20.0	0.0	48.0	0.0	48.0
0	0	0.0	20.0	0.0	0.0	0.515554523468	0.00437193583356	OpenOptStrategyPlacement	3974.56	0.0	5.18124957187e-13	0.0	3974.56	0.0	20.0	0.0	0.0	0.515554523468	35.0	35.0	20.0	29.0	0.0	29.0	20.0	0.0	64.0	0.0	64.0
0	0	0.0	20.0	0.0	0.0	0.653897794088	0.00626321857008	OpenOptStrategyPlacement	4041.2	0.0	8.63541595312e-13	0.0	4041.2	0.0	20.0	0.0	0.0	0.653897794088	37.0	37.0	20.0	43.0	0.0	43.0	20.0	0.0	80.0	0.0	80.0
0	0	0.0	20.0	0.0	0.0	0.799524307251	0.00690069257167	OpenOptStrategyPlacement	4390.72	0.0	0.0	0.0	4390.72	0.0	20.0	0.0	0.0	0.799524307251	42.0	42.0	20.0	54.0	0.0	54.0	20.0	0.0	96.0	0.0	96.0
0	0	0.0	20.0	0.0	0.0	0.943199356397	0.00794092344008	OpenOptStrategyPlacement	4449.2	0.0	6.9083327625e-13	0.0	4449.2	0.0	20.0	0.0	0.0	0.943199356397	47.0	47.0	20.0	65.0	0.0	65.0	20.0	0.0	112.0	0.0	112.0
0	0	0.0	20.0	0.0	0.0	1.11177326043	0.00950689264941	OpenOptStrategyPlacement	4360.8	0.0	6.9083327625e-13	0.0	4360.8	0.0	20.0	0.0	0.0	1.11177326043	48.0	48.0	20.0	80.0	0.0	80.0	20.0	0.0	128.0	0.0	128.0
0	0	0.0	20.0	0.0	0.0	1.31418735981	0.0127893517558	OpenOptStrategyPlacement	4449.2	0.0	1.03624991437e-12	0.0	4449.2	0.0	20.0	0.0	0.0	1.31418735981	49.0	49.0	20.0	95.0	0.0	95.0	20.0	0.0	144.0	0.0	144.0
0	0	0.0	20.0	0.0	0.0	1.46104755402	0.0121410095403	OpenOptStrategyPlacement	4524.0	0.0	0.0	0.0	4524.0	0.0	20.0	0.0	0.0	1.46104755402	52.0	52.0	20.0	108.0	0.0	108.0	20.0	0.0	160.0	0.0	160.0
0	0	0.0	20.0	0.0	0.0	1.62474043369	0.0103092316365	OpenOptStrategyPlacement	4458.72	0.0	3.45416638125e-13	0.0	4458.72	0.0	20.0	0.0	0.0	1.62474043369	53.0	53.0	20.0	123.0	0.0	123.0	20.0	0.0	176.0	0.0	176.0
0	0	0.0	20.0	0.0	0.0	1.81889433066	0.00936773440542	OpenOptStrategyPlacement	4381.2	0.0	6.9083327625e-13	0.0	4381.2	0.0	20.0	0.0	0.0	1.81889433066	54.0	54.0	20.0	138.0	0.0	138.0	20.0	0.0	192.0	0.0	192.0
0	0	0.0	20.0	0.0	0.0	2.01790223122	0.0127526072026	OpenOptStrategyPlacement	4541.68	0.0	1.3816665525e-12	0.0	4541.68	0.0	20.0	0.0	0.0	2.01790223122	57.0	57.0	20.0	151.0	0.0	151.0	20.0	0.0	208.0	0.0	208.0
0	0	0.0	20.0	0.0	0.0	2.18357199828	0.0147549256521	OpenOptStrategyPlacement	4249.28	0.0	3.45416638125e-13	0.0	4249.28	0.0	20.0	0.0	0.0	2.18357199828	56.0	56.0	20.0	168.0	0.0	168.0	20.0	0.0	224.0	0.0	224.0
0	0	0.0	20.0	0.0	0.0	2.34610976378	0.0141044520007	OpenOptStrategyPlacement	4519.92	0.0	0.0	0.0	4519.92	0.0	20.0	0.0	0.0	2.34610976378	60.0	60.0	20.0	180.0	0.0	180.0	20.0	0.0	240.0	0.0	240.0
0	0	0.0	20.0	0.0	0.0	2.579854695	0.0124871621888	OpenOptStrategyPlacement	4409.76	0.0	6.9083327625e-13	0.0	4409.76	0.0	20.0	0.0	0.0	2.579854695	60.0	60.0	20.0	196.0	0.0	196.0	20.0	0.0	256.0	0.0	256.0
0	0	0.0	20.0	0.0	0.0	2.70161155065	0.0133025738177	OpenOptStrategyPlacement	4552.56	0.0	3.45416638125e-13	0.0	4552.56	0.0	20.0	0.0	0.0	2.70161155065	62.0	62.0	20.0	210.0	0.0	210.0	20.0	0.0	272.0	0.0	272.0
0	0	0.0	20.0	0.0	0.0	2.95241700808	0.0121148116376	OpenOptStrategyPlacement	4333.6	0.0	6.9083327625e-13	0.0	4333.6	0.0	20.0	0.0	0.0	2.95241700808	62.0	62.0	20.0	226.0	0.0	226.0	20.0	0.0	288.0	0.0	288.0
