#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
30	16	13	17	0	16	0	2886.2000000000003	OpenOptStrategyPlacement	0.13160300254821777
30	32	25	5	0	32	0	5351.560000000001	OpenOptStrategyPlacement	0.2591118812561035
30	48	30	0	0	40	8	6518.079999999999	OpenOptStrategyPlacement	0.46846795082092285
30	64	30	0	0	45	19	6285.519999999999	OpenOptStrategyPlacement	0.6465790271759033
30	80	30	0	0	47	33	6146.8	OpenOptStrategyPlacement	0.8984618186950684
30	96	30	0	0	52	44	6568.400000000001	OpenOptStrategyPlacement	1.0694150924682617
30	112	30	0	0	57	55	5938.719999999999	OpenOptStrategyPlacement	1.252375841140747
30	128	30	0	0	58	70	6382.079999999999	OpenOptStrategyPlacement	1.5230891704559326
30	144	30	0	0	65	79	6537.120000000002	OpenOptStrategyPlacement	1.7536900043487549
30	160	30	0	0	69	91	6552.08	OpenOptStrategyPlacement	2.0316829681396484
30	176	30	0	0	73	103	6741.119999999999	OpenOptStrategyPlacement	2.298213005065918
30	192	30	0	0	74	118	6681.280000000001	OpenOptStrategyPlacement	2.5537831783294678
30	208	30	0	0	77	131	6760.159999999999	OpenOptStrategyPlacement	2.8218488693237305
30	224	30	0	0	76	148	6567.04	OpenOptStrategyPlacement	3.132662057876587
30	240	30	0	0	80	160	6756.08	OpenOptStrategyPlacement	3.3431689739227295
30	256	30	0	0	80	176	6611.919999999999	OpenOptStrategyPlacement	3.6170859336853027
30	272	30	0	0	82	190	6719.36	OpenOptStrategyPlacement	3.901912212371826
30	288	30	0	0	82	206	6543.92	OpenOptStrategyPlacement	4.214975833892822
