strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	50.0	0.0	0.0	0.133888832728	0.001073745477	OpenOptStrategyPlacement	2986.2	0.0	6.9083327625e-13	37.0	2986.2	37.0	13.0	0.0	0.0	0.145015954971	16.0	16.0	50.0	0.0	0.0	0.0	13.0	0.0	16.0	0.0	16.0
0	0	0.0	50.0	0.0	0.0	0.257416558266	0.00193834235621	OpenOptStrategyPlacement	5451.56	0.0	1.03624991437e-12	25.0	5451.56	25.0	25.0	0.0	0.0	0.268119096756	32.0	32.0	50.0	0.0	0.0	0.0	25.0	0.0	32.0	0.0	32.0
0	0	0.0	50.0	0.0	0.0	0.531600689888	0.00421964165927	OpenOptStrategyPlacement	8265.28	0.0	0.0	12.0	8265.28	12.0	38.0	0.0	0.0	0.567694187164	48.0	48.0	50.0	0.0	0.0	0.0	38.0	0.0	48.0	0.0	48.0
0	0	0.0	50.0	0.0	0.0	0.816539533933	0.00599925045882	OpenOptStrategyPlacement	10417.64	0.0	2.07249982875e-12	1.0	10417.64	1.0	49.0	0.0	0.0	0.877855062485	64.0	64.0	50.0	0.0	0.0	0.0	49.0	0.0	64.0	0.0	64.0
0	0	0.0	50.0	0.0	0.0	1.22310100396	0.0118789506656	OpenOptStrategyPlacement	10589.2	0.0	2.763333105e-12	0.0	10589.2	0.0	50.0	0.0	0.0	1.29008603096	67.0	67.0	50.0	13.0	0.0	13.0	50.0	0.0	80.0	0.0	80.0
0	0	0.0	50.0	0.0	0.0	1.53981328011	0.0160442110643	OpenOptStrategyPlacement	10284.56	0.0	0.0	0.0	10284.56	0.0	50.0	0.0	0.0	1.62369704247	72.0	72.0	50.0	24.0	0.0	24.0	50.0	0.0	96.0	0.0	96.0
0	0	0.0	50.0	0.0	0.0	1.848148489	0.0185157169681	OpenOptStrategyPlacement	10296.8	0.0	2.07249982875e-12	0.0	10296.8	0.0	50.0	0.0	0.0	1.93702697754	77.0	77.0	50.0	35.0	0.0	35.0	50.0	0.0	112.0	0.0	112.0
0	0	0.0	50.0	0.0	0.0	2.31155738036	0.0195236244531	OpenOptStrategyPlacement	10707.52	0.0	0.0	0.0	10707.52	0.0	50.0	0.0	0.0	2.39847898483	78.0	78.0	50.0	50.0	0.0	50.0	50.0	0.0	128.0	0.0	128.0
0	0	0.0	50.0	0.0	0.0	2.64303762913	0.0198560143332	OpenOptStrategyPlacement	10643.6	0.0	0.0	0.0	10643.6	0.0	50.0	0.0	0.0	2.77568292618	85.0	85.0	50.0	59.0	0.0	59.0	50.0	0.0	144.0	0.0	144.0
0	0	0.0	50.0	0.0	0.0	3.03672536214	0.030430105296	OpenOptStrategyPlacement	10440.96	0.0	0.0	0.0	10440.96	0.0	50.0	0.0	0.0	3.20152902603	89.0	89.0	50.0	71.0	0.0	71.0	50.0	0.0	160.0	0.0	160.0
0	0	0.0	50.0	0.0	0.0	3.47294940154	0.032049516191	OpenOptStrategyPlacement	10756.48	0.0	0.0	0.0	10756.48	0.0	50.0	0.0	0.0	3.64060997963	93.0	93.0	50.0	83.0	0.0	83.0	50.0	0.0	176.0	0.0	176.0
0	0	0.0	50.0	0.0	0.0	3.8621107022	0.0195569765563	OpenOptStrategyPlacement	10502.16	0.0	6.9083327625e-13	0.0	10502.16	0.0	50.0	0.0	0.0	3.99937796593	97.0	97.0	50.0	95.0	0.0	95.0	50.0	0.0	192.0	0.0	192.0
0	0	0.0	50.0	0.0	0.0	4.30627009074	0.0190158401475	OpenOptStrategyPlacement	10451.84	0.0	6.9083327625e-13	0.0	10451.84	0.0	50.0	0.0	0.0	4.40098905563	104.0	104.0	50.0	104.0	0.0	104.0	50.0	0.0	208.0	0.0	208.0
0	0	0.0	50.0	0.0	0.0	4.77251734734	0.0199804501614	OpenOptStrategyPlacement	10167.6	0.0	0.0	0.0	10167.6	0.0	50.0	0.0	0.0	4.87228989601	105.0	105.0	50.0	119.0	0.0	119.0	50.0	0.0	224.0	0.0	224.0
0	0	0.0	50.0	0.0	0.0	5.09490460555	0.0173813663488	OpenOptStrategyPlacement	10991.76	0.0	1.3816665525e-12	0.0	10991.76	0.0	50.0	0.0	0.0	5.20206212997	111.0	111.0	50.0	129.0	0.0	129.0	50.0	0.0	240.0	0.0	240.0
0	0	0.0	50.0	0.0	0.0	5.52787779967	0.0213263379006	OpenOptStrategyPlacement	11061.12	0.0	0.0	0.0	11061.12	0.0	50.0	0.0	0.0	5.63737201691	116.0	116.0	50.0	140.0	0.0	140.0	50.0	0.0	256.0	0.0	256.0
0	0	0.0	50.0	0.0	0.0	5.86615160306	0.0243959171091	OpenOptStrategyPlacement	11224.32	0.0	2.07249982875e-12	0.0	11224.32	0.0	50.0	0.0	0.0	5.99088001251	122.0	122.0	50.0	150.0	0.0	150.0	50.0	0.0	272.0	0.0	272.0
0	0	0.0	50.0	0.0	0.0	6.37985171477	0.0246057351348	OpenOptStrategyPlacement	11067.92	0.0	2.07249982875e-12	0.0	11067.92	0.0	50.0	0.0	0.0	6.54799294472	122.0	122.0	50.0	166.0	0.0	166.0	50.0	0.0	288.0	0.0	288.0
