strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	70.0	0.0	0.0	0.133103609085	0.000864153948879	OpenOptStrategyPlacement	3086.2	0.0	6.9083327625e-13	57.0	3086.2	57.0	13.0	0.0	0.0	0.129862070084	16.0	16.0	70.0	0.0	0.0	0.0	13.0	0.0	16.0	0.0	16.0
0	0	0.0	70.0	0.0	0.0	0.264283625285	0.0018529961248	OpenOptStrategyPlacement	5551.56	0.0	1.03624991437e-12	45.0	5551.56	45.0	25.0	0.0	0.0	0.257629156113	32.0	32.0	70.0	0.0	0.0	0.0	25.0	0.0	32.0	0.0	32.0
0	0	0.0	70.0	0.0	0.0	0.523132022222	0.00354857052685	OpenOptStrategyPlacement	8365.28	0.0	0.0	32.0	8365.28	32.0	38.0	0.0	0.0	0.511235952377	48.0	48.0	70.0	0.0	0.0	0.0	38.0	0.0	48.0	0.0	48.0
0	0	0.0	70.0	0.0	0.0	0.833727542559	0.0054595286771	OpenOptStrategyPlacement	10517.64	0.0	2.07249982875e-12	21.0	10517.64	21.0	49.0	0.0	0.0	0.815120220184	64.0	64.0	70.0	0.0	0.0	0.0	49.0	0.0	64.0	0.0	64.0
0	0	0.0	70.0	0.0	0.0	1.30581653913	0.00944122167102	OpenOptStrategyPlacement	13385.96	0.0	2.07249982875e-12	7.0	13385.96	7.0	63.0	0.0	0.0	1.27054786682	80.0	80.0	70.0	0.0	0.0	0.0	63.0	0.0	80.0	0.0	80.0
0	0	0.0	70.0	0.0	0.0	1.74837327003	0.0134789489132	OpenOptStrategyPlacement	14698.4	0.0	3.45416638125e-12	0.0	14698.4	0.0	70.0	0.0	0.0	1.68993210793	92.0	92.0	70.0	4.0	0.0	4.0	70.0	0.0	96.0	0.0	96.0
0	0	0.0	70.0	0.0	0.0	2.19928253492	0.0182512139175	OpenOptStrategyPlacement	14586.88	0.0	0.0	0.0	14586.88	0.0	70.0	0.0	0.0	2.10223507881	97.0	97.0	70.0	15.0	0.0	15.0	70.0	0.0	112.0	0.0	112.0
0	0	0.0	70.0	0.0	0.0	2.83241785367	0.0190809863906	OpenOptStrategyPlacement	15015.28	0.0	3.45416638125e-12	0.0	15015.28	0.0	70.0	0.0	0.0	2.71715712547	98.0	98.0	70.0	30.0	0.0	30.0	70.0	0.0	128.0	0.0	128.0
0	0	0.0	70.0	0.0	0.0	3.30174615383	0.0227387978606	OpenOptStrategyPlacement	14929.6	0.0	2.763333105e-12	0.0	14929.6	0.0	70.0	0.0	0.0	3.16378092766	105.0	105.0	70.0	39.0	0.0	39.0	70.0	0.0	144.0	0.0	144.0
0	0	0.0	70.0	0.0	0.0	3.80510579745	0.0326802703937	OpenOptStrategyPlacement	14593.68	0.0	0.0	0.0	14593.68	0.0	70.0	0.0	0.0	3.60488390923	109.0	109.0	70.0	51.0	0.0	51.0	70.0	0.0	160.0	0.0	160.0
0	0	0.0	70.0	0.0	0.0	4.47884354591	0.0230629498511	OpenOptStrategyPlacement	15057.44	0.0	0.0	0.0	15057.44	0.0	70.0	0.0	0.0	4.29906415939	113.0	113.0	70.0	63.0	0.0	63.0	70.0	0.0	176.0	0.0	176.0
0	0	0.0	70.0	0.0	0.0	4.96540006797	0.021527510185	OpenOptStrategyPlacement	13700.16	0.0	1.3816665525e-12	0.0	13700.16	0.0	70.0	0.0	0.0	4.85993099213	117.0	117.0	70.0	75.0	0.0	75.0	70.0	0.0	192.0	0.0	192.0
0	0	0.0	70.0	0.0	0.0	5.52464888891	0.0216817424388	OpenOptStrategyPlacement	14104.08	0.0	1.3816665525e-12	0.0	14104.08	0.0	70.0	0.0	0.0	5.42960190773	124.0	124.0	70.0	84.0	0.0	84.0	70.0	0.0	208.0	0.0	208.0
0	0	0.0	70.0	0.0	0.0	6.11475176811	0.0213686476636	OpenOptStrategyPlacement	13392.8	0.0	2.763333105e-12	0.0	13392.8	0.0	70.0	0.0	0.0	6.0164000988	125.0	125.0	70.0	99.0	0.0	99.0	70.0	0.0	224.0	0.0	224.0
0	0	0.0	70.0	0.0	0.0	6.62564222813	0.0237736580953	OpenOptStrategyPlacement	14499.84	0.0	2.07249982875e-12	0.0	14499.84	0.0	70.0	0.0	0.0	6.52641797066	131.0	131.0	70.0	109.0	0.0	109.0	70.0	0.0	240.0	0.0	240.0
0	0	0.0	70.0	0.0	0.0	7.21405727069	0.0262504688058	OpenOptStrategyPlacement	14895.6	0.0	2.763333105e-12	0.0	14895.6	0.0	70.0	0.0	0.0	7.09490680695	136.0	136.0	70.0	120.0	0.0	120.0	70.0	0.0	256.0	0.0	256.0
0	0	0.0	70.0	0.0	0.0	7.57236162027	0.0282086864162	OpenOptStrategyPlacement	15231.52	0.0	2.763333105e-12	0.0	15231.52	0.0	70.0	0.0	0.0	7.45360898972	145.0	145.0	70.0	127.0	0.0	127.0	70.0	0.0	272.0	0.0	272.0
0	0	0.0	70.0	0.0	0.0	8.33700325489	0.0279678613038	OpenOptStrategyPlacement	15224.72	0.0	3.45416638125e-12	0.0	15224.72	0.0	70.0	0.0	0.0	8.21623015404	147.0	147.0	70.0	141.0	0.0	141.0	70.0	0.0	288.0	0.0	288.0
