strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.404316914831	70.0	0.0	60.0	0.00390854676565	0.000658706349475	EnergyUnawareStrategyPlacement	9665.04	0.0	8.24806506255	0.0	9603.84	0.0	8.0	57.0	0.0	0.00259590148926	16.0	16.0	70.0	0.0	0.0	0.0	10.0	0.0	16.0	0.404316914831	16.0
0	0	0.515948840767	70.0	0.0	48.5666666667	0.00949796835581	0.000409195493066	EnergyUnawareStrategyPlacement	9911.88	0.0	10.5253563516	0.0	9859.52	0.0	19.0	46.0	0.0	0.00742197036743	32.0	32.0	70.0	0.0	0.0	0.0	21.4333333333	0.0	32.0	0.515948840767	32.0
0	0	0.560609717707	70.0	0.0	42.5666666667	0.0173049052556	0.001307191462	EnergyUnawareStrategyPlacement	10279.08	0.0	11.4364382412	0.0	10226.72	0.0	24.0	40.0	0.0	0.0142278671265	48.0	48.0	70.0	0.0	0.0	0.0	27.4333333333	0.0	48.0	0.560609717707	48.0
0	0	0.569684415068	70.0	0.0	33.5	0.0272944132487	0.000619634542946	EnergyUnawareStrategyPlacement	10250.52	0.0	11.6215620674	0.0	10179.12	0.0	34.0	30.0	0.0	0.0238478183746	64.0	64.0	70.0	0.0	0.0	0.0	36.5	0.0	64.0	0.569684415068	64.0
0	0	0.895530693118	70.0	0.0	22.8	0.0424077510834	0.00149862151515	EnergyUnawareStrategyPlacement	10572.16	0.0	18.2688261396	0.0	10474.24	0.0	40.0	18.0	0.0	0.0348081588745	80.0	80.0	70.0	0.0	0.0	0.0	47.2	0.0	80.0	0.895530693118	80.0
0	0	0.832558733104	70.0	0.0	14.8333333333	0.0575440327326	0.00127958139026	EnergyUnawareStrategyPlacement	11005.32	0.0	16.9841981553	0.0	10906.72	0.0	51.0	10.0	0.0	0.0497999191284	96.0	96.0	70.0	0.0	0.0	0.0	55.1666666667	0.0	96.0	0.832558733104	96.0
0	0	1.08193758305	70.0	0.0	6.13333333333	0.0769949515661	0.00132112211646	EnergyUnawareStrategyPlacement	11652.0	0.0	22.0715266942	0.0	11526.88	0.0	58.0	0.0	0.0	0.0686960220337	112.0	112.0	70.0	0.0	0.0	0.0	63.8666666667	0.0	112.0	1.08193758305	112.0
0	0	0.399531930732	70.0	0.0	0.4	0.0959839026133	0.00166693261152	EnergyUnawareStrategyPlacement	11819.008	0.0	57.5019219474	0.0	11292.96	0.0	66.0	0.0	1.25732733247	0.0866839885712	124.8	128.0	70.0	0.0	1.25732733247	3.2	69.6	0.0	128.0	0.399531930732	128.0
0	0	0.0	70.0	0.0	0.0	0.119898279508	0.00244092963663	EnergyUnawareStrategyPlacement	11901.0613333	0.0	64.864728585	0.0	11541.84	0.0	70.0	0.0	1.42689516819	0.107919931412	128.866666667	136.0	70.0	8.0	1.42689516819	15.1333333333	70.0	0.0	144.0	0.0	144.0
0	0	0.0	70.0	0.0	0.0	0.141801126798	0.00249791454777	EnergyUnawareStrategyPlacement	12069.9733333	0.0	97.5121401788	0.0	11374.56	0.0	70.0	0.0	2.08234948544	0.125382900238	132.066666667	140.0	70.0	20.0	2.08234948544	27.9333333333	70.0	0.0	160.0	0.0	160.0
