#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
100	16	11	0	89	16	0	13676.639999999976	EnergyUnawareStrategyPlacement	0.0052340030670166016
100	32	21	0	79	32	0	13952.719999999974	EnergyUnawareStrategyPlacement	0.010145902633666992
100	48	29	0	71	48	0	14279.119999999975	EnergyUnawareStrategyPlacement	0.024702072143554688
100	64	38	0	62	64	0	14251.919999999976	EnergyUnawareStrategyPlacement	0.025213003158569336
100	80	48	0	52	80	0	14587.83999999998	EnergyUnawareStrategyPlacement	0.042649030685424805
100	96	51	0	49	96	0	15122.31999999998	EnergyUnawareStrategyPlacement	0.05173516273498535
100	112	62	0	38	112	0	15722.079999999984	EnergyUnawareStrategyPlacement	0.07498002052307129
100	128	75	0	25	128	0	15864.879999999992	EnergyUnawareStrategyPlacement	0.09781503677368164
100	144	79	0	21	144	0	16363.999999999989	EnergyUnawareStrategyPlacement	0.1183938980102539
100	160	85	0	15	160	0	17004.559999999998	EnergyUnawareStrategyPlacement	0.13512611389160156
100	176	100	0	0	173	3	17056.24	EnergyUnawareStrategyPlacement	0.17602801322937012
100	192	100	0	0	191	1	17476.479999999992	EnergyUnawareStrategyPlacement	0.19846510887145996
100	208	100	0	0	178	30	16213.039999999999	EnergyUnawareStrategyPlacement	0.23834800720214844
100	224	100	0	0	173	51	16857.680000000004	EnergyUnawareStrategyPlacement	0.2919180393218994
100	240	100	0	0	180	60	16884.87999999999	EnergyUnawareStrategyPlacement	0.31868600845336914
100	256	100	0	0	187	69	17279.279999999995	EnergyUnawareStrategyPlacement	0.34813690185546875
100	272	100	0	0	190	82	17160.96	EnergyUnawareStrategyPlacement	0.37212204933166504
100	288	100	0	0	194	94	16748.88	EnergyUnawareStrategyPlacement	0.4101591110229492
