strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	40.0	0.0	0.0	0.918979430199	0.0344837767271	EvolutionaryComputationStrategyPlacement	1551.20666667	0.29554259066	32.214142382	31.8333333333	1642.04	31.0	9.0	0.0	0.0	1.06397294998	16.0	16.0	40.0	0.0	0.0	0.0	8.16666666667	0.0	16.0	0.29554259066	16.0
0	0	0.0	40.0	0.0	0.0	2.07604930401	0.0385298389811	EvolutionaryComputationStrategyPlacement	2957.78666667	0.283078461737	30.8555523293	23.3333333333	3103.12	22.0	18.0	0.0	0.0	2.31171298027	32.0	32.0	40.0	0.0	0.0	0.0	16.6666666667	0.0	32.0	0.283078461737	32.0
0	0	0.0	40.0	0.0	0.0	2.65858762264	0.0311821411339	EvolutionaryComputationStrategyPlacement	3807.08666667	0.229625319594	25.0291598357	20.0333333333	3919.72	19.0	21.0	0.0	0.0	2.84983491898	48.0	48.0	40.0	0.0	0.0	0.0	19.9666666667	0.0	48.0	0.229625319594	48.0
0	0	0.0	40.0	0.0	0.0	3.71184062958	0.0628617208093	EvolutionaryComputationStrategyPlacement	4602.95333333	0.42837544455	46.6929234559	14.1666666667	4839.12	12.0	28.0	0.0	0.0	4.08662390709	64.0	64.0	40.0	0.0	0.0	0.0	25.8333333333	0.0	64.0	0.42837544455	64.0
0	0	0.0	40.0	0.0	0.0	5.272610116	0.0509033216929	EvolutionaryComputationStrategyPlacement	6029.40666667	0.317502498727	34.6077723613	6.03333333333	6251.04	4.0	36.0	0.0	0.0	5.60249090195	80.0	80.0	40.0	0.0	0.0	0.0	33.9666666667	0.0	80.0	0.317502498727	80.0
0	0	0.0	40.0	0.0	0.0	6.47338112195	0.0879495141563	EvolutionaryComputationStrategyPlacement	7129.93866667	0.455747532055	49.5974559262	1.4	7282.72	0.0	40.0	0.0	0.0681743214044	6.86986589432	95.9666666667	95.0	40.0	1.0	0.0681743214044	0.0333333333333	38.6	0.0	96.0	0.455747532055	96.0
0	0	0.0	40.0	0.0	0.0	7.75515549183	0.0620799983685	EvolutionaryComputationStrategyPlacement	7774.94933333	0.0	41.7399314846	0.0	7981.76	0.0	40.0	0.0	0.415267516373	8.1395509243	106.933333333	105.0	40.0	7.0	0.415267516373	5.06666666667	40.0	0.0	112.0	0.0	112.0
0	0	0.0	40.0	0.0	0.0	9.00590927601	0.0893867985193	EvolutionaryComputationStrategyPlacement	7806.90933333	0.0	50.8692626635	0.0	8045.68	0.0	40.0	0.0	0.691198541091	9.36024689674	115.433333333	112.0	40.0	16.0	0.691198541091	12.5666666667	40.0	0.0	128.0	0.0	128.0
0	0	0.0	40.0	0.0	0.0	10.5513278564	0.121119835782	EvolutionaryComputationStrategyPlacement	7794.12533333	0.0	85.5523782415	0.0	8223.84	0.0	40.0	0.0	0.928911523287	11.1114139557	123.533333333	116.0	40.0	28.0	0.928911523287	20.4666666667	40.0	0.0	144.0	0.0	144.0
0	0	0.0	40.0	0.0	0.0	12.2975949526	0.112608256153	EvolutionaryComputationStrategyPlacement	7519.94933333	0.0	111.509166644	0.0	8067.44	0.0	40.0	0.0	1.52258323595	12.9609949589	124.166666667	115.0	40.0	45.0	1.52258323595	35.8333333333	40.0	0.0	160.0	0.0	160.0
0	0	0.0	40.0	0.0	0.0	13.9585684617	0.0846982605007	EvolutionaryComputationStrategyPlacement	7382.544	0.0	102.503093812	0.0	7931.44	0.0	40.0	0.0	1.16062169312	14.3189508915	121.833333333	114.0	40.0	62.0	1.16062169312	54.1666666667	40.0	0.0	176.0	0.0	176.0
