strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	80.0	0.0	0.0	0.885104846954	0.0231371457134	EvolutionaryComputationStrategyPlacement	1707.60666667	0.212214465837	23.1313767763	72.2333333333	1707.60666667	72.2333333333	7.76666666667	0.0	0.0	0.885104846954	16.0	16.0	80.0	0.0	0.0	0.0	7.76666666667	0.0	16.0	0.212214465837	16.0
0	0	0.0	80.0	0.0	0.0	2.09331947962	0.0414472821342	EvolutionaryComputationStrategyPlacement	3150.52	0.319264317635	34.7998106222	63.4	3150.52	63.4	16.6	0.0	0.0	2.09331947962	32.0	32.0	80.0	0.0	0.0	0.0	16.6	0.0	32.0	0.319264317635	32.0
0	0	0.0	80.0	0.0	0.0	2.68644892375	0.0400663564756	EvolutionaryComputationStrategyPlacement	4021.62	0.299849449208	32.6835899636	59.9	4021.62	59.9	20.1	0.0	0.0	2.68644892375	48.0	48.0	80.0	0.0	0.0	0.0	20.1	0.0	48.0	0.299849449208	48.0
0	0	0.0	80.0	0.0	0.0	3.77724800905	0.0428902862534	EvolutionaryComputationStrategyPlacement	4835.65333333	0.321265994408	35.0179933905	53.8666666667	4835.65333333	53.8666666667	26.1333333333	0.0	0.0	3.77724800905	64.0	64.0	80.0	0.0	0.0	0.0	26.1333333333	0.0	64.0	0.321265994408	64.0
0	0	0.0	80.0	0.0	0.0	5.32363179525	0.0734407271274	EvolutionaryComputationStrategyPlacement	6251.20666667	0.439455949275	47.900698471	45.8333333333	6251.20666667	45.8333333333	34.1666666667	0.0	0.0	5.32363179525	80.0	80.0	80.0	0.0	0.0	0.0	34.1666666667	0.0	80.0	0.439455949275	80.0
0	0	0.0	80.0	0.0	0.0	6.59721976121	0.0797153955553	EvolutionaryComputationStrategyPlacement	7380.98666667	0.35265714349	38.4396286404	40.9333333333	7380.98666667	40.9333333333	39.0666666667	0.0	0.0	6.59721976121	96.0	96.0	80.0	0.0	0.0	0.0	39.0666666667	0.0	96.0	0.35265714349	96.0
0	0	0.0	80.0	0.0	0.0	8.37379581134	0.0928665353173	EvolutionaryComputationStrategyPlacement	8873.68	0.442906989268	48.2768618302	34.8	8873.68	34.8	45.2	0.0	0.0	8.37379581134	112.0	112.0	80.0	0.0	0.0	0.0	45.2	0.0	112.0	0.442906989268	112.0
0	0	0.0	80.0	0.0	0.0	10.4040176471	0.144714510836	EvolutionaryComputationStrategyPlacement	10062.8466667	0.600366640409	65.4399638045	27.6333333333	10062.8466667	27.6333333333	52.3666666667	0.0	0.0	10.4040176471	128.0	128.0	80.0	0.0	0.0	0.0	52.3666666667	0.0	128.0	0.600366640409	128.0
0	0	0.0	80.0	0.0	0.0	12.9686134259	0.165791585186	EvolutionaryComputationStrategyPlacement	11413.8333333	0.617734024162	67.3330086336	20.5666666667	11413.8333333	20.5666666667	59.4333333333	0.0	0.0	12.9686134259	144.0	144.0	80.0	0.0	0.0	0.0	59.4333333333	0.0	144.0	0.617734024162	144.0
0	0	0.0	80.0	0.0	0.0	16.1109604597	0.229002252252	EvolutionaryComputationStrategyPlacement	13146.8933333	0.952423363558	103.814146628	11.6666666667	13146.8933333	11.6666666667	68.3333333333	0.0	0.0	16.1109604597	160.0	160.0	80.0	0.0	0.0	0.0	68.3333333333	0.0	160.0	0.952423363558	160.0
0	0	0.0	80.0	0.0	0.0	19.825649031	0.208143676785	EvolutionaryComputationStrategyPlacement	14883.352	0.745093485798	77.0811762373	1.86666666667	14883.352	1.86666666667	78.1333333333	0.0	0.141539230868	19.825649031	175.833333333	175.833333333	80.0	0.166666666667	0.141539230868	0.166666666667	78.1333333333	0.0	176.0	0.745093485798	176.0
0	0	0.0	80.0	0.0	0.0	22.1395952463	0.17027225321	EvolutionaryComputationStrategyPlacement	14913.6386667	0.0681743214044	64.0330531972	0.0333333333333	14913.6386667	0.0333333333333	79.9666666667	0.0	0.818091856853	22.1395952463	187.6	187.6	80.0	4.4	0.818091856853	4.4	79.9666666667	0.0	192.0	0.0681743214044	192.0
0	0	0.0	80.0	0.0	0.0	24.5211114963	0.167513504739	EvolutionaryComputationStrategyPlacement	15050.008	0.0	79.7626477027	0.0	15050.008	0.0	80.0	0.0	1.00291307268	24.5211114963	196.6	196.6	80.0	11.4	1.00291307268	11.4	80.0	0.0	208.0	0.0	208.0
0	0	0.0	80.0	0.0	0.0	27.0686559121	0.189506920988	EvolutionaryComputationStrategyPlacement	15176.9413333	0.0	100.505024021	0.0	15176.9413333	0.0	80.0	0.0	1.01908246225	27.0686559121	203.0	203.0	80.0	21.0	1.01908246225	21.0	80.0	0.0	224.0	0.0	224.0
0	0	0.0	80.0	0.0	0.0	29.4610151052	0.186346546644	EvolutionaryComputationStrategyPlacement	15255.1866667	0.0	124.543485641	0.0	15255.1866667	0.0	80.0	0.0	1.01245575265	29.4610151052	210.6	210.6	80.0	29.4	1.01245575265	29.4	80.0	0.0	240.0	0.0	240.0
0	0	0.0	80.0	0.0	0.0	31.7987790902	0.202760071982	EvolutionaryComputationStrategyPlacement	15220.0986667	0.0	169.380666807	0.0	15220.0986667	0.0	80.0	0.0	1.83612991286	31.7987790902	214.4	214.4	80.0	41.6	1.83612991286	41.6	80.0	0.0	256.0	0.0	256.0
0	0	0.0	80.0	0.0	0.0	34.0036007007	0.154409596601	EvolutionaryComputationStrategyPlacement	14904.9866667	0.0	118.324322836	0.0	14904.9866667	0.0	80.0	0.0	1.44614033818	34.0036007007	216.366666667	216.366666667	80.0	55.6333333333	1.44614033818	55.6333333333	80.0	0.0	272.0	0.0	272.0
0	0	0.0	80.0	0.0	0.0	36.2829601367	0.189875579756	EvolutionaryComputationStrategyPlacement	14916.728	0.0	146.0319176	0.0	14916.728	0.0	80.0	0.0	1.24322697773	36.2829601367	219.133333333	219.133333333	80.0	68.8666666667	1.24322697773	68.8666666667	80.0	0.0	288.0	0.0	288.0
