#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
100	16	7	93	0	16	0	1724.0400000000002	EvolutionaryComputationStrategyPlacement	0.806732177734375
100	32	18	82	0	32	0	3403.1200000000003	EvolutionaryComputationStrategyPlacement	2.2516820430755615
100	48	20	80	0	48	0	4110.719999999999	EvolutionaryComputationStrategyPlacement	2.6451900005340576
100	64	26	74	0	64	0	4921.12	EvolutionaryComputationStrategyPlacement	3.775130033493042
100	80	33	67	0	80	0	6224.040000000001	EvolutionaryComputationStrategyPlacement	5.113518953323364
100	96	38	62	0	96	0	7364.719999999999	EvolutionaryComputationStrategyPlacement	6.558318853378296
100	112	45	55	0	112	0	8951.88	EvolutionaryComputationStrategyPlacement	8.353827953338623
100	128	50	50	0	128	0	9904.879999999997	EvolutionaryComputationStrategyPlacement	9.768980026245117
100	144	59	41	0	144	0	11466.599999999995	EvolutionaryComputationStrategyPlacement	13.03980302810669
100	160	69	31	0	160	0	13319.559999999994	EvolutionaryComputationStrategyPlacement	15.948221921920776
100	176	79	21	0	176	0	15092.279999999993	EvolutionaryComputationStrategyPlacement	19.89271593093872
100	192	86	14	0	192	0	15953.199999999992	EvolutionaryComputationStrategyPlacement	22.641748189926147
100	208	90	10	0	208	0	16994.399999999998	EvolutionaryComputationStrategyPlacement	25.64144802093506
100	224	100	0	0	219	5	18673.280000000002	EvolutionaryComputationStrategyPlacement	30.68058681488037
100	240	100	0	0	235	5	19336.960000000003	EvolutionaryComputationStrategyPlacement	32.03642797470093
100	256	100	0	0	242	14	19093.519999999997	EvolutionaryComputationStrategyPlacement	34.84265494346619
100	272	100	0	0	252	20	19168.319999999996	EvolutionaryComputationStrategyPlacement	37.74085998535156
100	288	100	0	0	261	27	19308.399999999987	EvolutionaryComputationStrategyPlacement	40.10933780670166
