strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	40.0	0.0	0.0	0.0922121524811	0.000491719622912	OpenOptStrategyPlacement	1533.04	0.0	2.59062478594e-13	32.0	1533.04	32.0	8.0	0.0	0.0	0.0922121524811	16.0	16.0	40.0	0.0	0.0	0.0	8.0	0.0	16.0	0.0	16.0
0	0	0.0	40.0	0.0	0.0	0.157972828547	0.00142162627413	OpenOptStrategyPlacement	2994.12	0.0	1.72708319062e-13	23.0	2994.12	23.0	17.0	0.0	0.0	0.157972828547	32.0	32.0	40.0	0.0	0.0	0.0	17.0	0.0	32.0	0.0	32.0
0	0	0.0	40.0	0.0	0.0	0.208456714948	0.00133030451229	OpenOptStrategyPlacement	3810.72	0.0	5.18124957187e-13	20.0	3810.72	20.0	20.0	0.0	0.0	0.208456714948	48.0	48.0	40.0	0.0	0.0	0.0	20.0	0.0	48.0	0.0	48.0
0	0	0.0	40.0	0.0	0.0	0.340986728668	0.00269962835577	OpenOptStrategyPlacement	4621.12	0.0	6.9083327625e-13	14.0	4621.12	14.0	26.0	0.0	0.0	0.340986728668	64.0	64.0	40.0	0.0	0.0	0.0	26.0	0.0	64.0	0.0	64.0
0	0	0.0	40.0	0.0	0.0	0.517976554235	0.00341041219898	OpenOptStrategyPlacement	6142.04	0.0	3.45416638125e-13	5.0	6142.04	5.0	35.0	0.0	0.0	0.517976554235	80.0	80.0	40.0	0.0	0.0	0.0	35.0	0.0	80.0	0.0	80.0
0	0	0.0	40.0	0.0	0.0	0.678658723831	0.0050977185408	OpenOptStrategyPlacement	7282.72	0.0	0.0	0.0	7282.72	0.0	40.0	0.0	0.0	0.678658723831	96.0	96.0	40.0	0.0	0.0	0.0	40.0	0.0	96.0	0.0	96.0
0	0	0.0	40.0	0.0	0.0	0.816588290532	0.00643530010891	OpenOptStrategyPlacement	7998.08	0.0	2.41791646687e-12	0.0	7998.08	0.0	40.0	0.0	0.0	0.816588290532	109.0	109.0	40.0	3.0	0.0	3.0	40.0	0.0	112.0	0.0	112.0
0	0	0.0	40.0	0.0	0.0	0.990814844767	0.00779547773972	OpenOptStrategyPlacement	8060.64	0.0	1.3816665525e-12	0.0	8060.64	0.0	40.0	0.0	0.0	0.990814844767	118.0	118.0	40.0	10.0	0.0	10.0	40.0	0.0	128.0	0.0	128.0
0	0	0.0	40.0	0.0	0.0	1.18339877923	0.00879124799853	OpenOptStrategyPlacement	8302.72	0.0	0.0	0.0	8302.72	0.0	40.0	0.0	0.0	1.18339877923	129.0	129.0	40.0	15.0	0.0	15.0	40.0	0.0	144.0	0.0	144.0
0	0	0.0	40.0	0.0	0.0	1.37203749021	0.0108064591627	OpenOptStrategyPlacement	8421.04	0.0	2.07249982875e-12	0.0	8421.04	0.0	40.0	0.0	0.0	1.37203749021	139.0	139.0	40.0	21.0	0.0	21.0	40.0	0.0	160.0	0.0	160.0
0	0	0.0	40.0	0.0	0.0	1.64171381791	0.0123500963197	OpenOptStrategyPlacement	8807.28	0.0	0.0	0.0	8807.28	0.0	40.0	0.0	0.0	1.64171381791	149.0	149.0	40.0	27.0	0.0	27.0	40.0	0.0	176.0	0.0	176.0
0	0	0.0	40.0	0.0	0.0	1.85976509253	0.0107736550964	OpenOptStrategyPlacement	8887.52	0.0	1.3816665525e-12	0.0	8887.52	0.0	40.0	0.0	0.0	1.85976509253	162.0	162.0	40.0	30.0	0.0	30.0	40.0	0.0	192.0	0.0	192.0
0	0	0.0	40.0	0.0	0.0	2.17534257571	0.0157035579849	OpenOptStrategyPlacement	8826.32	0.0	1.3816665525e-12	0.0	8826.32	0.0	40.0	0.0	0.0	2.17534257571	170.0	170.0	40.0	38.0	0.0	38.0	40.0	0.0	208.0	0.0	208.0
0	0	0.0	40.0	0.0	0.0	2.41780623595	0.0187241597284	OpenOptStrategyPlacement	8909.28	0.0	0.0	0.0	8909.28	0.0	40.0	0.0	0.0	2.41780623595	174.0	174.0	40.0	50.0	0.0	50.0	40.0	0.0	224.0	0.0	224.0
0	0	0.0	40.0	0.0	0.0	2.59800814788	0.0220150792324	OpenOptStrategyPlacement	9175.84	0.0	1.3816665525e-12	0.0	9175.84	0.0	40.0	0.0	0.0	2.59800814788	184.0	184.0	40.0	56.0	0.0	56.0	40.0	0.0	240.0	0.0	240.0
0	0	0.0	40.0	0.0	0.0	2.80298512777	0.0219458268419	OpenOptStrategyPlacement	9122.8	0.0	2.763333105e-12	0.0	9122.8	0.0	40.0	0.0	0.0	2.80298512777	191.0	191.0	40.0	65.0	0.0	65.0	40.0	0.0	256.0	0.0	256.0
0	0	0.0	40.0	0.0	0.0	3.11672635078	0.0113770953111	OpenOptStrategyPlacement	9148.64	0.0	2.763333105e-12	0.0	9148.64	0.0	40.0	0.0	0.0	3.11672635078	200.0	200.0	40.0	72.0	0.0	72.0	40.0	0.0	272.0	0.0	272.0
0	0	0.0	40.0	0.0	0.0	3.37208788395	0.011921186282	OpenOptStrategyPlacement	8861.68	0.0	1.3816665525e-12	0.0	8861.68	0.0	40.0	0.0	0.0	3.37208788395	207.0	207.0	40.0	81.0	0.0	81.0	40.0	0.0	288.0	0.0	288.0
