strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	60.0	0.0	0.0	0.132891861598	0.044935567565	OpenOptStrategyPlacement	1633.04	0.0	2.59062478594e-13	52.0	1633.04	52.0	8.0	0.0	0.0	0.0910999774933	16.0	16.0	60.0	0.0	0.0	0.0	8.0	0.0	16.0	0.0	16.0
0	0	0.0	60.0	0.0	0.0	0.196632464727	0.0224656247135	OpenOptStrategyPlacement	3094.12	0.0	1.72708319062e-13	43.0	3094.12	43.0	17.0	0.0	0.0	0.156722784042	32.0	32.0	60.0	0.0	0.0	0.0	17.0	0.0	32.0	0.0	32.0
0	0	0.0	60.0	0.0	0.0	0.252943221728	0.0267483607628	OpenOptStrategyPlacement	3910.72	0.0	5.18124957187e-13	40.0	3910.72	40.0	20.0	0.0	0.0	0.204551935196	48.0	48.0	60.0	0.0	0.0	0.0	20.0	0.0	48.0	0.0	48.0
0	0	0.0	60.0	0.0	0.0	0.416764322917	0.0440287646395	OpenOptStrategyPlacement	4721.12	0.0	6.9083327625e-13	34.0	4721.12	34.0	26.0	0.0	0.0	0.336874961853	64.0	64.0	60.0	0.0	0.0	0.0	26.0	0.0	64.0	0.0	64.0
0	0	0.0	60.0	0.0	0.0	0.659534414609	0.0862292229886	OpenOptStrategyPlacement	6242.04	0.0	6.9083327625e-13	25.0	6242.04	25.0	35.0	0.0	0.0	0.511726856232	80.0	80.0	60.0	0.0	0.0	0.0	35.0	0.0	80.0	0.0	80.0
0	0	0.0	60.0	0.0	0.0	0.890439653397	0.148449249749	OpenOptStrategyPlacement	7382.72	0.0	0.0	20.0	7382.72	20.0	40.0	0.0	0.0	0.666484117508	96.0	96.0	60.0	0.0	0.0	0.0	40.0	0.0	96.0	0.0	96.0
0	0	0.0	60.0	0.0	0.0	1.04689881007	0.13503294519	OpenOptStrategyPlacement	8533.88	0.0	6.9083327625e-13	17.0	8533.88	17.0	43.0	0.0	0.0	0.818232059479	112.0	112.0	60.0	0.0	0.0	0.0	43.0	0.0	112.0	0.0	112.0
0	0	0.0	60.0	0.0	0.0	1.3333422184	0.194873711713	OpenOptStrategyPlacement	9704.88	0.0	6.9083327625e-13	10.0	9704.88	10.0	50.0	0.0	0.0	1.03378510475	128.0	128.0	60.0	0.0	0.0	0.0	50.0	0.0	128.0	0.0	128.0
0	0	0.0	60.0	0.0	0.0	1.60956765811	0.220559823784	OpenOptStrategyPlacement	10830.6	0.0	0.0	5.0	10830.6	5.0	55.0	0.0	0.0	1.26276493073	144.0	144.0	60.0	0.0	0.0	0.0	55.0	0.0	144.0	0.0	144.0
0	0	0.0	60.0	0.0	0.0	1.92944484552	0.209957332863	OpenOptStrategyPlacement	12133.12	0.0	0.0	0.0	12133.12	0.0	60.0	0.0	0.0	1.52398109436	159.0	159.0	60.0	1.0	0.0	1.0	60.0	0.0	160.0	0.0	160.0
0	0	0.0	60.0	0.0	0.0	2.31176030636	0.244338156327	OpenOptStrategyPlacement	12260.96	0.0	1.3816665525e-12	0.0	12260.96	0.0	60.0	0.0	0.0	1.84039092064	169.0	169.0	60.0	7.0	0.0	7.0	60.0	0.0	176.0	0.0	176.0
0	0	0.0	60.0	0.0	0.0	2.63962237835	0.307533046247	OpenOptStrategyPlacement	12436.4	0.0	2.07249982875e-12	0.0	12436.4	0.0	60.0	0.0	0.0	2.10019302368	182.0	182.0	60.0	10.0	0.0	10.0	60.0	0.0	192.0	0.0	192.0
0	0	0.0	60.0	0.0	0.0	3.15310296218	0.394946917846	OpenOptStrategyPlacement	12375.2	0.0	6.9083327625e-13	0.0	12375.2	0.0	60.0	0.0	0.0	2.52911901474	191.0	191.0	60.0	17.0	0.0	17.0	60.0	0.0	208.0	0.0	208.0
0	0	0.0	60.0	0.0	0.0	3.5491241614	0.443221156306	OpenOptStrategyPlacement	13072.88	0.0	2.07249982875e-12	0.0	13072.88	0.0	60.0	0.0	0.0	2.79364609718	203.0	203.0	60.0	21.0	0.0	21.0	60.0	0.0	224.0	0.0	224.0
0	0	0.0	60.0	0.0	0.0	3.72150785923	0.378572378586	OpenOptStrategyPlacement	13172.16	0.0	2.763333105e-12	0.0	13172.16	0.0	60.0	0.0	0.0	3.02654004097	214.0	214.0	60.0	26.0	0.0	26.0	60.0	0.0	240.0	0.0	240.0
0	0	0.0	60.0	0.0	0.0	4.1754251798	0.518405765924	OpenOptStrategyPlacement	13652.24	0.0	3.45416638125e-12	0.0	13652.24	0.0	60.0	0.0	0.0	3.41792607307	226.0	226.0	60.0	30.0	0.0	30.0	60.0	0.0	256.0	0.0	256.0
0	0	0.0	60.0	0.0	0.0	4.49211830298	0.441676786533	OpenOptStrategyPlacement	13725.68	0.0	6.9083327625e-13	0.0	13725.68	0.0	60.0	0.0	0.0	3.77047801018	239.0	239.0	60.0	33.0	0.0	33.0	60.0	0.0	272.0	0.0	272.0
0	0	0.0	60.0	0.0	0.0	4.95496110916	0.536889355014	OpenOptStrategyPlacement	13446.88	0.0	1.3816665525e-12	0.0	13446.88	0.0	60.0	0.0	0.0	4.1580350399	247.0	247.0	60.0	41.0	0.0	41.0	60.0	0.0	288.0	0.0	288.0
