strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.417000613469	30.0	0.0	17.1666666667	0.00467383066813	0.000540606344214	EnergyUnawareStrategyPlacement	4481.48	0.0	8.50681251476	0.0	4437.28	0.0	11.0	15.0	0.0	0.00321817398071	16.0	16.0	30.0	0.0	0.0	0.0	12.8333333333	0.0	16.0	0.417000613469	16.0
0	0	0.554140097983	30.0	0.0	5.93333333333	0.011679204305	0.00117309333558	EnergyUnawareStrategyPlacement	4895.6	0.0	11.3044579989	0.0	4835.76	0.0	21.0	3.0	0.0	0.00901699066162	32.0	32.0	30.0	0.0	0.0	0.0	24.0666666667	0.0	32.0	0.554140097983	32.0
0	0	0.0	30.0	0.0	0.0	0.0238256613413	0.0018624231558	EnergyUnawareStrategyPlacement	5144.48	0.0	53.5446621855	0.0	4714.72	0.0	30.0	0.0	0.623929589373	0.0181200504303	41.0333333333	45.0	30.0	3.0	0.623929589373	6.96666666667	30.0	0.0	48.0	0.0	48.0
0	0	0.0	30.0	0.0	0.0	0.0365070899328	0.00396304768988	EnergyUnawareStrategyPlacement	5074.21333333	0.0	82.9063311281	0.0	4654.88	0.0	30.0	0.0	0.891674687643	0.0281929969788	40.4333333333	46.0	30.0	18.0	0.891674687643	23.5666666667	30.0	0.0	64.0	0.0	64.0
0	0	0.0	30.0	0.0	0.0	0.0474441925685	0.00452021776698	EnergyUnawareStrategyPlacement	5191.89866667	0.0	104.529079541	0.0	4635.84	0.0	30.0	0.0	1.18764825585	0.0370121002197	42.7666666667	50.0	30.0	30.0	1.18764825585	37.2333333333	30.0	0.0	80.0	0.0	80.0
0	0	0.0	30.0	0.0	0.0	0.0605015357335	0.00529323738886	EnergyUnawareStrategyPlacement	5168.91466667	0.0	103.674209929	0.0	4654.88	0.0	30.0	0.0	1.20473085024	0.0478951931	42.2666666667	50.0	30.0	46.0	1.20473085024	53.7333333333	30.0	0.0	96.0	0.0	96.0
0	0	0.0	30.0	0.0	0.0	0.0718440532684	0.0071691874223	EnergyUnawareStrategyPlacement	5229.752	0.0	73.9935819496	0.0	4774.56	0.0	30.0	0.0	1.24457981729	0.057156085968	44.1666666667	50.0	30.0	62.0	1.24457981729	67.8333333333	30.0	0.0	112.0	0.0	112.0
0	0	0.0	30.0	0.0	0.0	0.0840000549952	0.00709415046941	EnergyUnawareStrategyPlacement	5248.42933333	0.0	96.8055656907	0.0	4709.28	0.0	30.0	0.0	1.20393239825	0.0668199062347	43.1333333333	50.0	30.0	78.0	1.20393239825	84.8666666667	30.0	0.0	128.0	0.0	128.0
0	0	0.0	30.0	0.0	0.0	0.0942370971044	0.00727870042059	EnergyUnawareStrategyPlacement	5238.27466667	0.0	100.653564021	0.0	4533.84	0.0	30.0	0.0	1.56283924459	0.07639503479	43.0	51.0	30.0	93.0	1.56283924459	101.0	30.0	0.0	144.0	0.0	144.0
0	0	0.0	30.0	0.0	0.0	0.106385771434	0.00871380002639	EnergyUnawareStrategyPlacement	5277.57866667	0.0	87.3187265145	0.0	4834.4	0.0	30.0	0.0	1.18764825585	0.0878648757935	43.4333333333	51.0	30.0	109.0	1.18764825585	116.566666667	30.0	0.0	160.0	0.0	160.0
0	0	0.0	30.0	0.0	0.0	0.124208307266	0.0117459950383	EnergyUnawareStrategyPlacement	5272.41066667	0.0	84.068079794	0.0	4805.84	0.0	30.0	0.0	1.09460258932	0.0982890129089	42.6	49.0	30.0	127.0	1.09460258932	133.4	30.0	0.0	176.0	0.0	176.0
