strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.301979845086	60.0	0.0	46.9666666667	0.00399541854858	0.000217039775407	EnergyUnawareStrategyPlacement	8509.4	0.0	6.16038883975	0.0	8530.48	0.0	15.0	48.0	0.0	0.00557994842529	16.0	16.0	60.0	0.0	0.0	0.0	13.0333333333	0.0	16.0	0.301979845086	16.0
0	0	0.563319026287	60.0	0.0	36.0	0.0105075438817	0.000306504017523	EnergyUnawareStrategyPlacement	8928.96	0.0	11.4917081363	0.0	8990.16	0.0	27.0	39.0	0.0	0.0119431018829	32.0	32.0	60.0	0.0	0.0	0.0	24.0	0.0	32.0	0.563319026287	32.0
0	0	0.720155167385	60.0	0.0	24.7333333333	0.0209982236226	0.000750799458532	EnergyUnawareStrategyPlacement	9433.52	0.0	14.6911654146	0.0	9500.16	0.0	39.0	28.0	0.0	0.0286281108856	48.0	48.0	60.0	0.0	0.0	0.0	35.2666666667	0.0	48.0	0.720155167385	48.0
0	0	0.756301738616	60.0	0.0	10.6333333333	0.0370265642802	0.00107635535987	EnergyUnawareStrategyPlacement	9785.08	0.0	15.4285554678	0.0	9874.16	0.0	54.0	15.0	0.0	0.0481059551239	64.0	64.0	60.0	0.0	0.0	0.0	49.3666666667	0.0	64.0	0.756301738616	64.0
0	0	0.504642442187	60.0	0.0	0.966666666667	0.0533319393794	0.00105888075808	EnergyUnawareStrategyPlacement	10392.9546667	0.0	41.0979180177	0.0	10551.44	0.0	60.0	6.0	0.584130193703	0.0582640171051	79.0333333333	74.0	60.0	6.0	0.584130193703	0.966666666667	59.0333333333	0.0	80.0	0.504642442187	80.0
0	0	0.0	60.0	0.0	0.0	0.0741954565048	0.00103489963142	EnergyUnawareStrategyPlacement	10435.704	0.0	63.4868668872	0.0	10839.76	0.0	60.0	0.0	0.939291703703	0.0824799537659	81.5	76.0	60.0	20.0	0.939291703703	14.5	60.0	0.0	96.0	0.0	96.0
0	0	0.0	60.0	0.0	0.0	0.092578291893	0.00126489981482	EnergyUnawareStrategyPlacement	10424.3253333	0.0	99.5067898452	0.0	10914.56	0.0	60.0	0.0	1.31538614386	0.100273132324	83.9333333333	76.0	60.0	36.0	1.31538614386	28.0666666667	60.0	0.0	112.0	0.0	112.0
0	0	0.0	60.0	0.0	0.0	0.113748844465	0.00153446770959	EnergyUnawareStrategyPlacement	10397.352	0.0	112.731298751	0.0	11027.44	0.0	60.0	0.0	1.66034627714	0.122709989548	83.7666666667	74.0	60.0	54.0	1.66034627714	44.2333333333	60.0	0.0	128.0	0.0	128.0
0	0	0.0	60.0	0.0	0.0	0.13406633536	0.00151935126449	EnergyUnawareStrategyPlacement	10528.3653333	0.0	143.290262225	0.0	11519.76	0.0	60.0	0.0	1.6477014648	0.14316701889	84.3333333333	75.0	60.0	69.0	1.6477014648	59.6666666667	60.0	0.0	144.0	0.0	144.0
0	0	0.0	60.0	0.0	0.0	0.154420804977	0.00120270751455	EnergyUnawareStrategyPlacement	10504.248	0.0	127.585488361	0.0	11488.48	0.0	60.0	0.0	1.42014006397	0.161158084869	83.1333333333	74.0	60.0	86.0	1.42014006397	76.8666666667	60.0	0.0	160.0	0.0	160.0
0	0	0.0	60.0	0.0	0.0	0.174075484276	0.00126876370753	EnergyUnawareStrategyPlacement	10688.392	0.0	101.976996864	0.0	11215.12	0.0	60.0	0.0	1.53202733003	0.183887004852	84.1666666667	76.0	60.0	100.0	1.53202733003	91.8333333333	60.0	0.0	176.0	0.0	176.0
0	0	0.0	60.0	0.0	0.0	0.191236480077	0.001490735081	EnergyUnawareStrategyPlacement	10716.6346667	0.0	136.099770053	0.0	11612.24	0.0	60.0	0.0	1.634811816	0.202152013779	86.0666666667	75.0	60.0	117.0	1.634811816	105.933333333	60.0	0.0	192.0	0.0	192.0
0	0	0.0	60.0	0.0	0.0	0.213923255603	0.00153474345733	EnergyUnawareStrategyPlacement	10627.736	0.0	162.804666455	0.0	11530.64	0.0	60.0	0.0	1.69303640611	0.223037958145	84.1666666667	74.0	60.0	134.0	1.69303640611	123.833333333	60.0	0.0	208.0	0.0	208.0
