#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
90	16	11	0	79	16	0	12582.87999999998	EnergyUnawareStrategyPlacement	0.00488591194152832
90	32	24	0	66	32	0	12960.959999999977	EnergyUnawareStrategyPlacement	0.011981964111328125
90	48	35	0	55	48	0	13470.95999999998	EnergyUnawareStrategyPlacement	0.022980928421020508
90	64	51	0	39	64	0	13783.759999999987	EnergyUnawareStrategyPlacement	0.04114389419555664
90	80	63	0	27	80	0	14399.83999999999	EnergyUnawareStrategyPlacement	0.056054115295410156
90	96	71	0	19	96	0	14973.759999999991	EnergyUnawareStrategyPlacement	0.07489800453186035
90	112	82	0	8	112	0	15476.960000000001	EnergyUnawareStrategyPlacement	0.11266779899597168
90	128	90	0	0	122	6	15870.000000000002	EnergyUnawareStrategyPlacement	0.12905621528625488
90	144	90	0	0	121	23	15686.399999999998	EnergyUnawareStrategyPlacement	0.16385197639465332
90	160	90	0	0	120	40	15082.560000000005	EnergyUnawareStrategyPlacement	0.19174599647521973
90	176	90	0	0	134	42	16575.840000000004	EnergyUnawareStrategyPlacement	0.20438194274902344
90	192	90	0	0	124	68	15912.160000000002	EnergyUnawareStrategyPlacement	0.2477431297302246
90	208	90	0	0	124	84	15512.320000000002	EnergyUnawareStrategyPlacement	0.27912402153015137
90	224	90	0	0	127	97	15641.520000000004	EnergyUnawareStrategyPlacement	0.3012678623199463
90	240	90	0	0	129	111	16159.680000000002	EnergyUnawareStrategyPlacement	0.33106517791748047
90	256	90	0	0	126	130	15451.12	EnergyUnawareStrategyPlacement	0.3686819076538086
90	272	90	0	0	134	138	16416.72	EnergyUnawareStrategyPlacement	0.3801259994506836
90	288	90	0	0	136	152	16292.960000000001	EnergyUnawareStrategyPlacement	0.43050289154052734
