strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	10.0	0.0	0.0	1.11195643743	0.00730344665713	EvolutionaryComputationStrategyPlacement	1742.02666667	0.0	18.9930764487	0.0	1851.28	0.0	10.0	0.0	0.179034539125	1.1515648365	14.6666666667	14.0	10.0	2.0	0.179034539125	1.33333333333	10.0	0.0	16.0	0.0	16.0
0	0	0.0	10.0	0.0	0.0	1.33723225594	0.00925720099222	EvolutionaryComputationStrategyPlacement	1959.944	0.0	33.2329883249	0.0	2132.8	0.0	10.0	0.0	0.258207284358	1.38942408562	23.2666666667	22.0	10.0	10.0	0.258207284358	8.73333333333	10.0	0.0	32.0	0.0	32.0
0	0	0.0	10.0	0.0	0.0	1.61958165169	0.0113161561911	EvolutionaryComputationStrategyPlacement	2157.73333333	0.0	29.6598717026	0.0	2297.36	0.0	10.0	0.0	0.265852727032	1.67006111145	30.9	29.0	10.0	19.0	0.265852727032	17.1	10.0	0.0	48.0	0.0	48.0
0	0	0.0	10.0	0.0	0.0	1.97604183356	0.013725192706	EvolutionaryComputationStrategyPlacement	2045.30666667	0.0	36.3845640066	0.0	2229.36	0.0	10.0	0.0	0.35265714349	2.06455993652	31.9333333333	30.0	10.0	34.0	0.35265714349	32.0666666667	10.0	0.0	64.0	0.0	64.0
0	0	0.0	10.0	0.0	0.0	2.36386187077	0.0191082772563	EvolutionaryComputationStrategyPlacement	2077.40266667	0.0	38.7109677016	0.0	2276.96	0.0	10.0	0.0	0.666167287575	2.49239516258	34.7	31.0	10.0	49.0	0.666167287575	45.3	10.0	0.0	80.0	0.0	80.0
0	0	0.0	10.0	0.0	0.0	2.78070422014	0.0199814124893	EvolutionaryComputationStrategyPlacement	1934.784	0.0	65.3312257178	0.0	2179.04	0.0	10.0	0.0	0.897050588564	2.86883997917	28.5666666667	23.0	10.0	73.0	0.897050588564	67.4333333333	10.0	0.0	96.0	0.0	96.0
0	0	0.0	10.0	0.0	0.0	3.15796024005	0.0203533764485	EvolutionaryComputationStrategyPlacement	1862.11466667	0.0	68.2402574446	0.0	2249.76	0.0	10.0	0.0	1.03127624355	3.29433202744	25.4	22.0	10.0	90.0	1.03127624355	86.6	10.0	0.0	112.0	0.0	112.0
0	0	0.0	10.0	0.0	0.0	3.55412050883	0.0167681635503	EvolutionaryComputationStrategyPlacement	1820.136	0.0	50.775765412	0.0	2124.64	0.0	10.0	0.0	0.630572761628	3.64858102798	22.9	20.0	10.0	108.0	0.630572761628	105.1	10.0	0.0	128.0	0.0	128.0
0	0	0.0	10.0	0.0	0.0	3.88270640373	0.0155077039414	EvolutionaryComputationStrategyPlacement	1793.29866667	0.0	54.8587795313	0.0	2051.2	0.0	10.0	0.0	0.725587031189	3.99997210503	23.5	19.0	10.0	125.0	0.725587031189	120.5	10.0	0.0	144.0	0.0	144.0
0	0	0.0	10.0	0.0	0.0	4.22698718707	0.0216250205512	EvolutionaryComputationStrategyPlacement	1799.464	0.0	54.390382005	0.0	2092.0	0.0	10.0	0.0	0.630572761628	4.37337493896	23.9	21.0	10.0	139.0	0.630572761628	136.1	10.0	0.0	160.0	0.0	160.0
0	0	0.0	10.0	0.0	0.0	4.54098424117	0.016851567326	EvolutionaryComputationStrategyPlacement	1898.10933333	0.0	62.1506902244	0.0	2242.96	0.0	10.0	0.0	0.61186870913	4.69446396828	24.7333333333	22.0	10.0	154.0	0.61186870913	151.266666667	10.0	0.0	176.0	0.0	176.0
0	0	0.0	10.0	0.0	0.0	4.88091307481	0.0201462646823	EvolutionaryComputationStrategyPlacement	1834.96	0.0	61.2470173814	0.0	2026.72	0.0	10.0	0.0	0.731197749046	5.00680398941	25.4	21.0	10.0	171.0	0.731197749046	166.6	10.0	0.0	192.0	0.0	192.0
0	0	0.0	10.0	0.0	0.0	5.2053795894	0.0205033212622	EvolutionaryComputationStrategyPlacement	1849.82933333	0.0	49.8632429997	0.0	2179.04	0.0	10.0	0.0	0.731745503823	5.35366010666	25.5666666667	22.0	10.0	186.0	0.731745503823	182.433333333	10.0	0.0	208.0	0.0	208.0
0	0	0.0	10.0	0.0	0.0	5.54678818385	0.0202550865339	EvolutionaryComputationStrategyPlacement	1827.29866667	0.0	61.8389541957	0.0	2134.16	0.0	10.0	0.0	0.672869822158	5.68177103996	26.1666666667	23.0	10.0	201.0	0.672869822158	197.833333333	10.0	0.0	224.0	0.0	224.0
0	0	0.0	10.0	0.0	0.0	5.86097376347	0.0275634704312	EvolutionaryComputationStrategyPlacement	1863.56533333	0.0	48.144058639	0.0	2136.88	0.0	10.0	0.0	0.624827976576	6.0714571476	26.4	24.0	10.0	216.0	0.624827976576	213.6	10.0	0.0	240.0	0.0	240.0
0	0	0.0	10.0	0.0	0.0	6.19898151557	0.0268724706179	EvolutionaryComputationStrategyPlacement	1849.46666667	0.0	62.5910722033	0.0	2168.16	0.0	10.0	0.0	0.691198541091	6.41199684143	26.5666666667	23.0	10.0	233.0	0.691198541091	229.433333333	10.0	0.0	256.0	0.0	256.0
0	0	0.0	10.0	0.0	0.0	6.5290858984	0.0306702389218	EvolutionaryComputationStrategyPlacement	1838.36	0.0	59.3418391766	0.0	2098.8	0.0	10.0	0.0	0.869838898385	6.7362370491	26.7666666667	23.0	10.0	249.0	0.869838898385	245.233333333	10.0	0.0	272.0	0.0	272.0
0	0	0.0	10.0	0.0	0.0	6.83617475033	0.0332825270215	EvolutionaryComputationStrategyPlacement	1869.86666667	0.0	53.9324470107	0.0	2117.84	0.0	10.0	0.0	0.733386313501	7.10043287277	27.9333333333	23.0	10.0	265.0	0.733386313501	260.066666667	10.0	0.0	288.0	0.0	288.0
