#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
30	16	12	18	0	16	0	2169.28	EvolutionaryComputationStrategyPlacement	1.7399351596832275
30	32	19	11	0	32	0	3575.56	EvolutionaryComputationStrategyPlacement	2.669667959213257
30	48	26	4	0	48	0	5072.959999999999	EvolutionaryComputationStrategyPlacement	4.586039066314697
30	64	30	0	0	56	8	5585.12	EvolutionaryComputationStrategyPlacement	5.57959508895874
30	80	30	0	0	66	14	6069.2800000000025	EvolutionaryComputationStrategyPlacement	6.864081859588623
30	96	30	0	0	72	24	6222.96	EvolutionaryComputationStrategyPlacement	8.458070039749146
30	112	30	0	0	72	40	5982.24	EvolutionaryComputationStrategyPlacement	9.916799068450928
30	128	30	0	0	66	62	5953.680000000001	EvolutionaryComputationStrategyPlacement	11.432662963867188
30	144	30	0	0	65	79	5946.88	EvolutionaryComputationStrategyPlacement	12.013461112976074
30	160	30	0	0	64	96	5390.639999999999	EvolutionaryComputationStrategyPlacement	13.473926782608032
30	176	30	0	0	64	112	5563.36	EvolutionaryComputationStrategyPlacement	15.017127990722656
30	192	30	0	0	70	122	5907.439999999999	EvolutionaryComputationStrategyPlacement	16.536136865615845
30	208	30	0	0	71	137	5740.160000000001	EvolutionaryComputationStrategyPlacement	16.539111852645874
30	224	30	0	0	68	156	5163.52	EvolutionaryComputationStrategyPlacement	18.448933839797974
30	240	30	0	0	74	166	5440.96	EvolutionaryComputationStrategyPlacement	19.518795013427734
30	256	30	0	0	72	184	5567.439999999999	EvolutionaryComputationStrategyPlacement	20.4594669342041
30	272	30	0	0	69	203	5454.5599999999995	EvolutionaryComputationStrategyPlacement	21.91343593597412
30	288	30	0	0	74	214	5975.4400000000005	EvolutionaryComputationStrategyPlacement	23.836568117141724
