strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	90.0	0.0	0.0	1.31323178609	0.0222422848275	EvolutionaryComputationStrategyPlacement	2411.14666667	0.189472346646	20.6524857844	78.5333333333	2411.14666667	78.5333333333	11.4666666667	0.0	0.0	1.31323178609	16.0	16.0	90.0	0.0	0.0	0.0	11.4666666667	0.0	16.0	0.189472346646	16.0
0	0	0.0	90.0	0.0	0.0	2.35791033109	0.0373156562791	EvolutionaryComputationStrategyPlacement	3842.86	0.279947281391	30.5142536716	71.3	3842.86	71.3	18.7	0.0	0.0	2.35791033109	32.0	32.0	90.0	0.0	0.0	0.0	18.7	0.0	32.0	0.279947281391	32.0
0	0	0.0	90.0	0.0	0.0	3.71812985738	0.0333434224988	EvolutionaryComputationStrategyPlacement	5456.52666667	0.23377551063	25.4815306587	63.2333333333	5456.52666667	63.2333333333	26.7666666667	0.0	0.0	3.71812985738	48.0	48.0	90.0	0.0	0.0	0.0	26.7666666667	0.0	48.0	0.23377551063	48.0
0	0	0.0	90.0	0.0	0.0	5.81347114245	0.0447223201081	EvolutionaryComputationStrategyPlacement	7352.86	0.222536403266	24.256467956	51.7	7352.86	51.7	38.3	0.0	0.0	5.81347114245	64.0	64.0	90.0	0.0	0.0	0.0	38.3	0.0	64.0	0.222536403266	64.0
0	0	0.0	90.0	0.0	0.0	7.28923815091	0.0797047580706	EvolutionaryComputationStrategyPlacement	8864.10666667	0.43781175164	47.7214809288	45.7333333333	8864.10666667	45.7333333333	44.2666666667	0.0	0.0	7.28923815091	80.0	80.0	90.0	0.0	0.0	0.0	44.2666666667	0.0	80.0	0.43781175164	80.0
0	0	0.0	90.0	0.0	0.0	9.8985303243	0.0828047565993	EvolutionaryComputationStrategyPlacement	10691.2266667	0.469603193615	51.1867481041	35.7333333333	10691.2266667	35.7333333333	54.2666666667	0.0	0.0	9.8985303243	96.0	96.0	90.0	0.0	0.0	0.0	54.2666666667	0.0	96.0	0.469603193615	96.0
0	0	0.0	90.0	0.0	0.0	12.6701254368	0.140473295263	EvolutionaryComputationStrategyPlacement	12417.9933333	0.633109267289	69.0089101345	26.5666666667	12417.9933333	26.5666666667	63.4333333333	0.0	0.0	12.6701254368	112.0	112.0	90.0	0.0	0.0	0.0	63.4333333333	0.0	112.0	0.633109267289	112.0
0	0	0.0	90.0	0.0	0.0	16.0801939567	0.206859202153	EvolutionaryComputationStrategyPlacement	14427.94	0.856844415751	93.3960413169	15.9	14427.94	15.9	74.1	0.0	0.0	16.0801939567	128.0	128.0	90.0	0.0	0.0	0.0	74.1	0.0	128.0	0.856844415751	128.0
0	0	0.0	90.0	0.0	0.0	19.8672820568	0.188081153415	EvolutionaryComputationStrategyPlacement	16520.9666667	0.863180454663	94.0866695582	4.63333333333	16520.9666667	4.63333333333	85.3666666667	0.0	0.0	19.8672820568	144.0	144.0	90.0	0.0	0.0	0.0	85.3666666667	0.0	144.0	0.863180454663	144.0
0	0	0.0	90.0	0.0	0.0	23.124699982	0.179810335278	EvolutionaryComputationStrategyPlacement	17299.36	0.0	83.2737195474	0.0	17299.36	0.0	90.0	0.0	1.07121916989	23.124699982	153.666666667	153.666666667	90.0	6.33333333333	1.07121916989	6.33333333333	90.0	0.0	160.0	0.0	160.0
