strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	20.0	0.0	0.0	0.115910331408	0.000438562743359	OpenOptStrategyPlacement	2010.28	0.0	2.59062478594e-13	9.0	2010.28	9.0	11.0	0.0	0.0	0.118230104446	16.0	16.0	20.0	0.0	0.0	0.0	11.0	0.0	16.0	0.0	16.0
0	0	0.0	20.0	0.0	0.0	0.173042853673	0.00152670858108	OpenOptStrategyPlacement	3525.56	0.0	5.18124957187e-13	1.0	3525.56	1.0	19.0	0.0	0.0	0.191253185272	32.0	32.0	20.0	0.0	0.0	0.0	19.0	0.0	32.0	0.0	32.0
0	0	0.0	20.0	0.0	0.0	0.284782799085	0.00201351839403	OpenOptStrategyPlacement	3914.72	0.0	3.45416638125e-13	0.0	3914.72	0.0	20.0	0.0	0.0	0.301201105118	41.0	41.0	20.0	7.0	0.0	7.0	20.0	0.0	48.0	0.0	48.0
0	0	0.0	20.0	0.0	0.0	0.406452862422	0.00260021204917	OpenOptStrategyPlacement	4117.36	0.0	0.0	0.0	4117.36	0.0	20.0	0.0	0.0	0.421681165695	47.0	47.0	20.0	17.0	0.0	17.0	20.0	0.0	64.0	0.0	64.0
0	0	0.0	20.0	0.0	0.0	0.517157387733	0.00296087158986	OpenOptStrategyPlacement	4218.0	0.0	0.0	0.0	4218.0	0.0	20.0	0.0	0.0	0.536267995834	57.0	57.0	20.0	23.0	0.0	23.0	20.0	0.0	80.0	0.0	80.0
0	0	0.0	20.0	0.0	0.0	0.666300868988	0.00403005200672	OpenOptStrategyPlacement	4349.92	0.0	0.0	0.0	4349.92	0.0	20.0	0.0	0.0	0.695182085037	63.0	63.0	20.0	33.0	0.0	33.0	20.0	0.0	96.0	0.0	96.0
0	0	0.0	20.0	0.0	0.0	0.805917239189	0.00550455506503	OpenOptStrategyPlacement	4315.92	0.0	3.45416638125e-13	0.0	4315.92	0.0	20.0	0.0	0.0	0.835327863693	68.0	68.0	20.0	44.0	0.0	44.0	20.0	0.0	112.0	0.0	112.0
0	0	0.0	20.0	0.0	0.0	0.963008292516	0.00751164820511	OpenOptStrategyPlacement	4265.6	0.0	6.9083327625e-13	0.0	4265.6	0.0	20.0	0.0	0.0	1.0003080368	70.0	70.0	20.0	58.0	0.0	58.0	20.0	0.0	128.0	0.0	128.0
0	0	0.0	20.0	0.0	0.0	1.09557122389	0.0100142573351	OpenOptStrategyPlacement	4563.44	0.0	6.9083327625e-13	0.0	4563.44	0.0	20.0	0.0	0.0	1.14773702621	76.0	76.0	20.0	68.0	0.0	68.0	20.0	0.0	144.0	0.0	144.0
0	0	0.0	20.0	0.0	0.0	1.23817794323	0.00992408033071	OpenOptStrategyPlacement	4393.44	0.0	3.45416638125e-13	0.0	4393.44	0.0	20.0	0.0	0.0	1.28061509132	80.0	80.0	20.0	80.0	0.0	80.0	20.0	0.0	160.0	0.0	160.0
0	0	0.0	20.0	0.0	0.0	1.45852432251	0.0102980575431	OpenOptStrategyPlacement	4492.72	0.0	3.45416638125e-13	0.0	4492.72	0.0	20.0	0.0	0.0	1.50018501282	85.0	85.0	20.0	91.0	0.0	91.0	20.0	0.0	176.0	0.0	176.0
0	0	0.0	20.0	0.0	0.0	1.63822056452	0.00866116914084	OpenOptStrategyPlacement	4590.64	0.0	3.45416638125e-13	0.0	4590.64	0.0	20.0	0.0	0.0	1.67138195038	89.0	89.0	20.0	103.0	0.0	103.0	20.0	0.0	192.0	0.0	192.0
0	0	0.0	20.0	0.0	0.0	1.79948848883	0.00827068241232	OpenOptStrategyPlacement	4579.76	0.0	3.45416638125e-13	0.0	4579.76	0.0	20.0	0.0	0.0	1.87429213524	90.0	90.0	20.0	118.0	0.0	118.0	20.0	0.0	208.0	0.0	208.0
0	0	0.0	20.0	0.0	0.0	2.03630554676	0.00991136775443	OpenOptStrategyPlacement	4577.04	0.0	1.03624991437e-12	0.0	4577.04	0.0	20.0	0.0	0.0	2.11469888687	97.0	97.0	20.0	127.0	0.0	127.0	20.0	0.0	224.0	0.0	224.0
0	0	0.0	20.0	0.0	0.0	2.18229304949	0.0126781387465	OpenOptStrategyPlacement	4719.84	0.0	1.03624991437e-12	0.0	4719.84	0.0	20.0	0.0	0.0	2.25318288803	102.0	102.0	20.0	138.0	0.0	138.0	20.0	0.0	240.0	0.0	240.0
0	0	0.0	20.0	0.0	0.0	2.36468013922	0.013428810615	OpenOptStrategyPlacement	4572.96	0.0	1.03624991437e-12	0.0	4572.96	0.0	20.0	0.0	0.0	2.4256529808	105.0	105.0	20.0	151.0	0.0	151.0	20.0	0.0	256.0	0.0	256.0
0	0	0.0	20.0	0.0	0.0	2.56698872248	0.0109724633713	OpenOptStrategyPlacement	4737.52	0.0	3.45416638125e-13	0.0	4737.52	0.0	20.0	0.0	0.0	2.62136101723	107.0	107.0	20.0	165.0	0.0	165.0	20.0	0.0	272.0	0.0	272.0
0	0	0.0	20.0	0.0	0.0	2.71130797863	0.00939811533114	OpenOptStrategyPlacement	4732.08	0.0	0.0	0.0	4732.08	0.0	20.0	0.0	0.0	2.77548313141	111.0	111.0	20.0	177.0	0.0	177.0	20.0	0.0	288.0	0.0	288.0
