strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	40.0	0.0	0.0	0.124867184957	0.00145609838633	OpenOptStrategyPlacement	2110.28	0.0	1.72708319062e-13	29.0	2110.28	29.0	11.0	0.0	0.0	0.124867184957	16.0	16.0	40.0	0.0	0.0	0.0	11.0	0.0	16.0	0.0	16.0
0	0	0.0	40.0	0.0	0.0	0.171723461151	0.000775064361475	OpenOptStrategyPlacement	3625.56	0.0	5.18124957187e-13	21.0	3625.56	21.0	19.0	0.0	0.0	0.171723461151	32.0	32.0	40.0	0.0	0.0	0.0	19.0	0.0	32.0	0.0	32.0
0	0	0.0	40.0	0.0	0.0	0.323006526629	0.00324679315464	OpenOptStrategyPlacement	5231.96	0.0	6.9083327625e-13	13.0	5231.96	13.0	27.0	0.0	0.0	0.323006526629	48.0	48.0	40.0	0.0	0.0	0.0	27.0	0.0	48.0	0.0	48.0
0	0	0.0	40.0	0.0	0.0	0.543520418803	0.00409513206171	OpenOptStrategyPlacement	6961.16	0.0	1.03624991437e-12	3.0	6961.16	3.0	37.0	0.0	0.0	0.543520418803	64.0	64.0	40.0	0.0	0.0	0.0	37.0	0.0	64.0	0.0	64.0
0	0	0.0	40.0	0.0	0.0	0.717257785797	0.00487712252686	OpenOptStrategyPlacement	7815.84	0.0	1.03624991437e-12	0.0	7815.84	0.0	40.0	0.0	0.0	0.717257785797	77.0	77.0	40.0	3.0	0.0	3.0	40.0	0.0	80.0	0.0	80.0
0	0	0.0	40.0	0.0	0.0	0.952589384715	0.00679735381854	OpenOptStrategyPlacement	8044.32	0.0	1.03624991437e-12	0.0	8044.32	0.0	40.0	0.0	0.0	0.952589384715	84.0	84.0	40.0	12.0	0.0	12.0	40.0	0.0	96.0	0.0	96.0
0	0	0.0	40.0	0.0	0.0	1.18530715307	0.00872193065723	OpenOptStrategyPlacement	8294.56	0.0	0.0	0.0	8294.56	0.0	40.0	0.0	0.0	1.18530715307	93.0	93.0	40.0	19.0	0.0	19.0	40.0	0.0	112.0	0.0	112.0
0	0	0.0	40.0	0.0	0.0	1.46122359435	0.0113079892511	OpenOptStrategyPlacement	8499.92	0.0	2.07249982875e-12	0.0	8499.92	0.0	40.0	0.0	0.0	1.46122359435	102.0	102.0	40.0	26.0	0.0	26.0	40.0	0.0	128.0	0.0	128.0
0	0	0.0	40.0	0.0	0.0	1.67105547587	0.0127519514575	OpenOptStrategyPlacement	8801.84	0.0	0.0	0.0	8801.84	0.0	40.0	0.0	0.0	1.67105547587	111.0	111.0	40.0	33.0	0.0	33.0	40.0	0.0	144.0	0.0	144.0
0	0	0.0	40.0	0.0	0.0	1.95229825974	0.0148121284863	OpenOptStrategyPlacement	8801.84	0.0	6.9083327625e-13	0.0	8801.84	0.0	40.0	0.0	0.0	1.95229825974	116.0	116.0	40.0	44.0	0.0	44.0	40.0	0.0	160.0	0.0	160.0
0	0	0.0	40.0	0.0	0.0	2.26245923837	0.0150500197735	OpenOptStrategyPlacement	9042.56	0.0	0.0	0.0	9042.56	0.0	40.0	0.0	0.0	2.26245923837	125.0	125.0	40.0	51.0	0.0	51.0	40.0	0.0	176.0	0.0	176.0
0	0	0.0	40.0	0.0	0.0	2.61023155053	0.0209500371332	OpenOptStrategyPlacement	9064.32	0.0	2.07249982875e-12	0.0	9064.32	0.0	40.0	0.0	0.0	2.61023155053	129.0	129.0	40.0	63.0	0.0	63.0	40.0	0.0	192.0	0.0	192.0
0	0	0.0	40.0	0.0	0.0	2.93770112991	0.0261084841024	OpenOptStrategyPlacement	8951.44	0.0	1.3816665525e-12	0.0	8951.44	0.0	40.0	0.0	0.0	2.93770112991	130.0	130.0	40.0	78.0	0.0	78.0	40.0	0.0	208.0	0.0	208.0
0	0	0.0	40.0	0.0	0.0	3.30722224712	0.0262656100144	OpenOptStrategyPlacement	9048.0	0.0	0.0	0.0	9048.0	0.0	40.0	0.0	0.0	3.30722224712	137.0	137.0	40.0	87.0	0.0	87.0	40.0	0.0	224.0	0.0	224.0
0	0	0.0	40.0	0.0	0.0	3.58977351983	0.0128812304805	OpenOptStrategyPlacement	8936.48	0.0	1.3816665525e-12	0.0	8936.48	0.0	40.0	0.0	0.0	3.58977351983	142.0	142.0	40.0	98.0	0.0	98.0	40.0	0.0	240.0	0.0	240.0
0	0	0.0	40.0	0.0	0.0	3.95414705276	0.0131567834449	OpenOptStrategyPlacement	8948.72	0.0	0.0	0.0	8948.72	0.0	40.0	0.0	0.0	3.95414705276	146.0	146.0	40.0	110.0	0.0	110.0	40.0	0.0	256.0	0.0	256.0
0	0	0.0	40.0	0.0	0.0	4.21641685168	0.0145258544191	OpenOptStrategyPlacement	8959.6	0.0	1.3816665525e-12	0.0	8959.6	0.0	40.0	0.0	0.0	4.21641685168	150.0	150.0	40.0	122.0	0.0	122.0	40.0	0.0	272.0	0.0	272.0
0	0	0.0	40.0	0.0	0.0	4.56523679892	0.0113933656886	OpenOptStrategyPlacement	8861.68	0.0	1.3816665525e-12	0.0	8861.68	0.0	40.0	0.0	0.0	4.56523679892	154.0	154.0	40.0	134.0	0.0	134.0	40.0	0.0	288.0	0.0	288.0
