strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	50.0	0.0	0.0	0.119318826993	0.00200505054137	OpenOptStrategyPlacement	2160.28	0.0	1.72708319062e-13	39.0	2160.28	39.0	11.0	0.0	0.0	0.114243984222	16.0	16.0	50.0	0.0	0.0	0.0	11.0	0.0	16.0	0.0	16.0
0	0	0.0	50.0	0.0	0.0	0.173377855619	0.00097080685843	OpenOptStrategyPlacement	3675.56	0.0	5.18124957187e-13	31.0	3675.56	31.0	19.0	0.0	0.0	0.168630838394	32.0	32.0	50.0	0.0	0.0	0.0	19.0	0.0	32.0	0.0	32.0
0	0	0.0	50.0	0.0	0.0	0.325794068972	0.0019293992082	OpenOptStrategyPlacement	5281.96	0.0	3.45416638125e-13	23.0	5281.96	23.0	27.0	0.0	0.0	0.317692995071	48.0	48.0	50.0	0.0	0.0	0.0	27.0	0.0	48.0	0.0	48.0
0	0	0.0	50.0	0.0	0.0	0.543264245987	0.00406072651646	OpenOptStrategyPlacement	7011.16	0.0	1.03624991437e-12	13.0	7011.16	13.0	37.0	0.0	0.0	0.529535055161	64.0	64.0	50.0	0.0	0.0	0.0	37.0	0.0	64.0	0.0	64.0
0	0	0.0	50.0	0.0	0.0	0.739057771365	0.00588292769889	OpenOptStrategyPlacement	8526.04	0.0	2.07249982875e-12	7.0	8526.04	7.0	43.0	0.0	0.0	0.719029903412	80.0	80.0	50.0	0.0	0.0	0.0	43.0	0.0	80.0	0.0	80.0
0	0	0.0	50.0	0.0	0.0	1.04569996993	0.00921093565046	OpenOptStrategyPlacement	9926.88	0.0	6.9083327625e-13	0.0	9926.88	0.0	50.0	0.0	0.0	1.00873398781	94.0	94.0	50.0	2.0	0.0	2.0	50.0	0.0	96.0	0.0	96.0
0	0	0.0	50.0	0.0	0.0	1.30863336722	0.0108033563462	OpenOptStrategyPlacement	10260.08	0.0	3.45416638125e-12	0.0	10260.08	0.0	50.0	0.0	0.0	1.27132296562	103.0	103.0	50.0	9.0	0.0	9.0	50.0	0.0	112.0	0.0	112.0
0	0	0.0	50.0	0.0	0.0	1.63348561923	0.0119522212398	OpenOptStrategyPlacement	10334.88	0.0	6.9083327625e-13	0.0	10334.88	0.0	50.0	0.0	0.0	1.5731408596	112.0	112.0	50.0	16.0	0.0	16.0	50.0	0.0	128.0	0.0	128.0
0	0	0.0	50.0	0.0	0.0	1.88948876858	0.0147026296088	OpenOptStrategyPlacement	10658.56	0.0	0.0	0.0	10658.56	0.0	50.0	0.0	0.0	1.80117702484	121.0	121.0	50.0	23.0	0.0	23.0	50.0	0.0	144.0	0.0	144.0
0	0	0.0	50.0	0.0	0.0	2.2226092577	0.0153665502177	OpenOptStrategyPlacement	10834.0	0.0	6.9083327625e-13	0.0	10834.0	0.0	50.0	0.0	0.0	2.13901686668	126.0	126.0	50.0	34.0	0.0	34.0	50.0	0.0	160.0	0.0	160.0
0	0	0.0	50.0	0.0	0.0	2.610070467	0.024180157977	OpenOptStrategyPlacement	11054.32	0.0	1.3816665525e-12	0.0	11054.32	0.0	50.0	0.0	0.0	2.51829886436	136.0	136.0	50.0	40.0	0.0	40.0	50.0	0.0	176.0	0.0	176.0
0	0	0.0	50.0	0.0	0.0	2.98444399834	0.0294476912959	OpenOptStrategyPlacement	11048.88	0.0	1.3816665525e-12	0.0	11048.88	0.0	50.0	0.0	0.0	2.84556508064	145.0	145.0	50.0	47.0	0.0	47.0	50.0	0.0	192.0	0.0	192.0
0	0	0.0	50.0	0.0	0.0	3.43322188854	0.0334432610491	OpenOptStrategyPlacement	11146.8	0.0	1.3816665525e-12	0.0	11146.8	0.0	50.0	0.0	0.0	3.24866008759	147.0	147.0	50.0	61.0	0.0	61.0	50.0	0.0	208.0	0.0	208.0
0	0	0.0	50.0	0.0	0.0	3.87655758858	0.0180796413856	OpenOptStrategyPlacement	11129.12	0.0	6.9083327625e-13	0.0	11129.12	0.0	50.0	0.0	0.0	3.78856396675	157.0	157.0	50.0	67.0	0.0	67.0	50.0	0.0	224.0	0.0	224.0
0	0	0.0	50.0	0.0	0.0	4.17157766819	0.0174060777142	OpenOptStrategyPlacement	11240.64	0.0	6.9083327625e-13	0.0	11240.64	0.0	50.0	0.0	0.0	4.09250187874	162.0	162.0	50.0	78.0	0.0	78.0	50.0	0.0	240.0	0.0	240.0
0	0	0.0	50.0	0.0	0.0	4.59671275616	0.0168893466519	OpenOptStrategyPlacement	11244.72	0.0	1.3816665525e-12	0.0	11244.72	0.0	50.0	0.0	0.0	4.50080800056	166.0	166.0	50.0	90.0	0.0	90.0	50.0	0.0	256.0	0.0	256.0
0	0	0.0	50.0	0.0	0.0	4.96595480442	0.0178116968684	OpenOptStrategyPlacement	11251.52	0.0	0.0	0.0	11251.52	0.0	50.0	0.0	0.0	4.86121702194	170.0	170.0	50.0	102.0	0.0	102.0	50.0	0.0	272.0	0.0	272.0
0	0	0.0	50.0	0.0	0.0	5.34649095535	0.0171644348866	OpenOptStrategyPlacement	11150.88	0.0	1.3816665525e-12	0.0	11150.88	0.0	50.0	0.0	0.0	5.25066995621	174.0	174.0	50.0	114.0	0.0	114.0	50.0	0.0	288.0	0.0	288.0
