#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
20	16	14	0	6	16	0	3761.0400000000004	EnergyUnawareStrategyPlacement	0.003582000732421875
20	32	20	0	0	22	10	3589.6800000000003	EnergyUnawareStrategyPlacement	0.010689973831176758
20	48	20	0	0	26	22	3572.0	EnergyUnawareStrategyPlacement	0.016390085220336914
20	64	20	0	0	25	39	3876.64	EnergyUnawareStrategyPlacement	0.023287057876586914
20	80	20	0	0	24	56	3505.3599999999997	EnergyUnawareStrategyPlacement	0.030345916748046875
20	96	20	0	0	23	73	3778.72	EnergyUnawareStrategyPlacement	0.03692007064819336
20	112	20	0	0	26	86	3816.7999999999997	EnergyUnawareStrategyPlacement	0.04298901557922363
20	128	20	0	0	20	108	3370.7200000000003	EnergyUnawareStrategyPlacement	0.051232099533081055
20	144	20	0	0	31	113	3608.72	EnergyUnawareStrategyPlacement	0.0564579963684082
20	160	20	0	0	25	135	3747.4399999999996	EnergyUnawareStrategyPlacement	0.06334805488586426
20	176	20	0	0	23	153	4012.6400000000003	EnergyUnawareStrategyPlacement	0.0708308219909668
20	192	20	0	0	23	169	3403.36	EnergyUnawareStrategyPlacement	0.07732200622558594
20	208	20	0	0	25	183	4009.92	EnergyUnawareStrategyPlacement	0.08387994766235352
20	224	20	0	0	23	201	3263.2799999999997	EnergyUnawareStrategyPlacement	0.09202289581298828
20	240	20	0	0	22	218	3169.44	EnergyUnawareStrategyPlacement	0.09855389595031738
20	256	20	0	0	24	232	3823.6000000000004	EnergyUnawareStrategyPlacement	0.10493302345275879
20	272	20	0	0	26	246	3924.2399999999993	EnergyUnawareStrategyPlacement	0.11127185821533203
20	288	20	0	0	23	265	3580.16	EnergyUnawareStrategyPlacement	0.12193012237548828
