#PM	#VM	#PM-U	#PM-S	#PM-I	#VM-P	VM-U	KW	strategy	T
40	16	13	27	0	16	0	2975.64	EvolutionaryComputationStrategyPlacement	1.5041370391845703
40	32	23	17	0	32	0	4979.56	EvolutionaryComputationStrategyPlacement	2.9661970138549805
40	48	33	7	0	48	0	6871.960000000001	EvolutionaryComputationStrategyPlacement	4.602762937545776
40	64	40	0	0	60	4	8506.720000000001	EvolutionaryComputationStrategyPlacement	6.3161280155181885
40	80	40	0	0	66	14	8226.560000000001	EvolutionaryComputationStrategyPlacement	7.584176063537598
40	96	40	0	0	72	24	8310.880000000003	EvolutionaryComputationStrategyPlacement	8.952215909957886
40	112	40	0	0	71	41	8015.760000000001	EvolutionaryComputationStrategyPlacement	10.488678932189941
40	128	40	0	0	69	59	8384.320000000003	EvolutionaryComputationStrategyPlacement	12.137557983398438
40	144	40	0	0	68	76	7652.640000000001	EvolutionaryComputationStrategyPlacement	13.140496969223022
40	160	40	0	0	70	90	7735.600000000001	EvolutionaryComputationStrategyPlacement	14.596303939819336
40	176	40	0	0	76	100	7909.68	EvolutionaryComputationStrategyPlacement	15.751149892807007
40	192	40	0	0	73	119	7628.160000000002	EvolutionaryComputationStrategyPlacement	17.116695165634155
40	208	40	0	0	76	132	8403.36	EvolutionaryComputationStrategyPlacement	18.066434860229492
40	224	40	0	0	81	143	7867.520000000001	EvolutionaryComputationStrategyPlacement	19.337008953094482
40	240	40	0	0	78	162	8255.120000000003	EvolutionaryComputationStrategyPlacement	20.882200956344604
40	256	40	0	0	79	177	7735.6	EvolutionaryComputationStrategyPlacement	22.189929008483887
40	272	40	0	0	85	187	7712.4800000000005	EvolutionaryComputationStrategyPlacement	23.233598947525024
40	288	40	0	0	82	206	8030.720000000001	EvolutionaryComputationStrategyPlacement	24.459361791610718
