strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	80.0	0.0	0.0	1.47345066071	0.0240424819564	EvolutionaryComputationStrategyPlacement	3142.94	0.174041463619	18.9705195345	67.3	3175.64	67.0	13.0	0.0	0.0	1.56524705887	16.0	16.0	80.0	0.0	0.0	0.0	12.7	0.0	16.0	0.174041463619	16.0
0	0	0.0	80.0	0.0	0.0	3.11518009504	0.0356750783761	EvolutionaryComputationStrategyPlacement	5284.92666667	0.207633758186	22.6320796423	56.0333333333	5397.56	55.0	25.0	0.0	0.0	3.34153795242	32.0	32.0	80.0	0.0	0.0	0.0	23.9666666667	0.0	32.0	0.207633758186	32.0
0	0	0.0	80.0	0.0	0.0	4.6978891929	0.043236858796	EvolutionaryComputationStrategyPlacement	7079.22666667	0.238861867688	26.035943578	46.9333333333	7180.96	46.0	34.0	0.0	0.0	4.94329190254	48.0	48.0	80.0	0.0	0.0	0.0	33.0666666667	0.0	48.0	0.238861867688	48.0
0	0	0.0	80.0	0.0	0.0	6.96609328588	0.0745050844633	EvolutionaryComputationStrategyPlacement	9327.78	0.389168543556	42.4193712476	35.5	9491.28	34.0	46.0	0.0	0.0	7.36530804634	64.0	64.0	80.0	0.0	0.0	0.0	44.5	0.0	64.0	0.389168543556	64.0
0	0	0.0	80.0	0.0	0.0	9.35945272446	0.119973836883	EvolutionaryComputationStrategyPlacement	11227.8533333	0.599164169019	65.3088944231	25.6666666667	11518.52	23.0	57.0	0.0	0.0	9.95799589157	80.0	80.0	80.0	0.0	0.0	0.0	54.3333333333	0.0	80.0	0.599164169019	80.0
0	0	0.0	80.0	0.0	0.0	12.706470569	0.146706737877	EvolutionaryComputationStrategyPlacement	13318.42	0.46359229973	50.5315606706	13.1	13656.32	10.0	70.0	0.0	0.0	13.5621042252	96.0	96.0	80.0	0.0	0.0	0.0	66.9	0.0	96.0	0.46359229973	96.0
0	0	0.0	80.0	0.0	0.0	15.9051141739	0.188613609043	EvolutionaryComputationStrategyPlacement	15353.72	0.73774396512	80.414092198	2.6	15637.12	0.0	80.0	0.0	0.0681743214044	17.0999519825	111.966666667	111.0	80.0	1.0	0.0681743214044	0.0333333333333	77.4	0.0	112.0	0.73774396512	112.0
0	0	0.0	80.0	0.0	0.0	18.7400343418	0.136105551571	EvolutionaryComputationStrategyPlacement	15818.3173333	0.0	96.0834906185	0.0	16304.88	0.0	80.0	0.0	0.842033526849	19.4721009731	118.866666667	114.0	80.0	14.0	0.842033526849	9.13333333333	80.0	0.0	128.0	0.0	128.0
0	0	0.0	80.0	0.0	0.0	21.400533398	0.131966470424	EvolutionaryComputationStrategyPlacement	15841.3013333	0.0	124.08040252	0.0	16307.6	0.0	80.0	0.0	0.842128688009	22.1186711788	122.5	118.0	80.0	26.0	0.842128688009	21.5	80.0	0.0	144.0	0.0	144.0
0	0	0.0	80.0	0.0	0.0	23.9818958203	0.156229214995	EvolutionaryComputationStrategyPlacement	16085.648	0.0	137.758512908	0.0	16891.04	0.0	80.0	0.0	0.757043055348	24.8407449722	125.6	122.0	80.0	38.0	0.757043055348	34.4	80.0	0.0	160.0	0.0	160.0
