strategy-95m	strategy-95h	#PM-I-95h	#PM-95m	#PM-95h	#PM-I-95m	T-95m	T-95h	strategy	KW-95m	#PM-S-95h	KW-95h	#PM-S-95m	KW	#PM-S	#PM-U	#PM-I	#VM-P-95h	T	#VM-P-95m	#VM-P	#PM	VM-U	VM-U-95h	VM-U-95m	#PM-U-95m	#VM-95h	#VM	#PM-U-95h	#VM-95m
0	0	0.0	50.0	0.0	0.0	0.125727415085	0.00141029177076	OpenOptStrategyPlacement	2916.64	0.0	0.0	38.0	2916.64	38.0	12.0	0.0	0.0	0.122849941254	16.0	16.0	50.0	0.0	0.0	0.0	12.0	0.0	16.0	0.0	16.0
0	0	0.0	50.0	0.0	0.0	0.238980833689	0.00159314963664	OpenOptStrategyPlacement	5138.56	0.0	3.45416638125e-13	26.0	5138.56	26.0	24.0	0.0	0.0	0.233889102936	32.0	32.0	50.0	0.0	0.0	0.0	24.0	0.0	32.0	0.0	32.0
0	0	0.0	50.0	0.0	0.0	0.435434691111	0.00320876585229	OpenOptStrategyPlacement	7030.96	0.0	1.3816665525e-12	16.0	7030.96	16.0	34.0	0.0	0.0	0.424326181412	48.0	48.0	50.0	0.0	0.0	0.0	34.0	0.0	48.0	0.0	48.0
0	0	0.0	50.0	0.0	0.0	0.724505241712	0.00568915607701	OpenOptStrategyPlacement	9232.28	0.0	6.9083327625e-13	5.0	9232.28	5.0	45.0	0.0	0.0	0.704306840897	64.0	64.0	50.0	0.0	0.0	0.0	45.0	0.0	64.0	0.0	64.0
0	0	0.0	50.0	0.0	0.0	1.01306897799	0.00951431618014	OpenOptStrategyPlacement	10128.16	0.0	6.9083327625e-13	0.0	10128.16	0.0	50.0	0.0	0.0	0.984246969223	76.0	76.0	50.0	4.0	0.0	4.0	50.0	0.0	80.0	0.0	80.0
0	0	0.0	50.0	0.0	0.0	1.30902320544	0.0124394474974	OpenOptStrategyPlacement	10264.16	0.0	1.3816665525e-12	0.0	10264.16	0.0	50.0	0.0	0.0	1.26670408249	82.0	82.0	50.0	14.0	0.0	14.0	50.0	0.0	96.0	0.0	96.0
0	0	0.0	50.0	0.0	0.0	1.61145017942	0.0141295503603	OpenOptStrategyPlacement	10906.08	0.0	3.45416638125e-12	0.0	10906.08	0.0	50.0	0.0	0.0	1.5617210865	89.0	89.0	50.0	23.0	0.0	23.0	50.0	0.0	112.0	0.0	112.0
0	0	0.0	50.0	0.0	0.0	1.96026732922	0.0156509581662	OpenOptStrategyPlacement	10549.76	0.0	2.07249982875e-12	0.0	10549.76	0.0	50.0	0.0	0.0	1.88911700249	94.0	94.0	50.0	34.0	0.0	34.0	50.0	0.0	128.0	0.0	128.0
0	0	0.0	50.0	0.0	0.0	2.31121369203	0.0198246195764	OpenOptStrategyPlacement	10876.16	0.0	1.3816665525e-12	0.0	10876.16	0.0	50.0	0.0	0.0	2.22115111351	101.0	101.0	50.0	43.0	0.0	43.0	50.0	0.0	144.0	0.0	144.0
0	0	0.0	50.0	0.0	0.0	2.71753865878	0.021626793199	OpenOptStrategyPlacement	11107.36	0.0	2.763333105e-12	0.0	11107.36	0.0	50.0	0.0	0.0	2.61636900902	106.0	106.0	50.0	54.0	0.0	54.0	50.0	0.0	160.0	0.0	160.0
0	0	0.0	50.0	0.0	0.0	3.1206527551	0.0284234925627	OpenOptStrategyPlacement	11520.8	0.0	2.763333105e-12	0.0	11520.8	0.0	50.0	0.0	0.0	2.9751970768	111.0	111.0	50.0	65.0	0.0	65.0	50.0	0.0	176.0	0.0	176.0
0	0	0.0	50.0	0.0	0.0	3.50045908292	0.0323183139955	OpenOptStrategyPlacement	11590.16	0.0	1.3816665525e-12	0.0	11590.16	0.0	50.0	0.0	0.0	3.31224107742	120.0	120.0	50.0	72.0	0.0	72.0	50.0	0.0	192.0	0.0	192.0
0	0	0.0	50.0	0.0	0.0	3.88382366498	0.0200278305177	OpenOptStrategyPlacement	11405.2	0.0	2.07249982875e-12	0.0	11405.2	0.0	50.0	0.0	0.0	3.78636813164	126.0	126.0	50.0	82.0	0.0	82.0	50.0	0.0	208.0	0.0	208.0
0	0	0.0	50.0	0.0	0.0	4.29248673121	0.0171706909379	OpenOptStrategyPlacement	11554.8	0.0	3.45416638125e-12	0.0	11554.8	0.0	50.0	0.0	0.0	4.21821880341	131.0	131.0	50.0	93.0	0.0	93.0	50.0	0.0	224.0	0.0	224.0
0	0	0.0	50.0	0.0	0.0	4.70777444839	0.0148846296693	OpenOptStrategyPlacement	11546.64	0.0	1.3816665525e-12	0.0	11546.64	0.0	50.0	0.0	0.0	4.62819886208	133.0	133.0	50.0	107.0	0.0	107.0	50.0	0.0	240.0	0.0	240.0
0	0	0.0	50.0	0.0	0.0	5.12874053319	0.0134552753407	OpenOptStrategyPlacement	11579.28	0.0	2.07249982875e-12	0.0	11579.28	0.0	50.0	0.0	0.0	5.06431794167	136.0	136.0	50.0	120.0	0.0	120.0	50.0	0.0	256.0	0.0	256.0
0	0	0.0	50.0	0.0	0.0	5.54935530027	0.0155521835544	OpenOptStrategyPlacement	11564.32	0.0	1.3816665525e-12	0.0	11564.32	0.0	50.0	0.0	0.0	5.48275089264	138.0	138.0	50.0	134.0	0.0	134.0	50.0	0.0	272.0	0.0	272.0
0	0	0.0	50.0	0.0	0.0	6.03426159223	0.0159676649194	OpenOptStrategyPlacement	11558.88	0.0	0.0	0.0	11558.88	0.0	50.0	0.0	0.0	5.95342516899	140.0	140.0	50.0	148.0	0.0	148.0	50.0	0.0	288.0	0.0	288.0
